edges,indicator_value
深圳-厦门,2.1724
上海-厦门,2.1634
兴安盟-齐齐哈尔,2.1409
榆林-吕梁,2.1320
渭南-运城,2.1316
开封-许昌,2.1274
运城-三门峡,2.1273
上海-福州,2.1264
蚌埠-淮南,2.1244
新乡-开封,2.1240
忻州-朔州,2.1240
东莞-肇庆,2.1239
南阳-洛阳,2.1212
常德-荆州,2.1212
上海-大连,2.1212
郑州-济源,2.1211
长治-晋中,2.1211
江门-阳江,2.1203
信阳-南阳,2.1200
昆明-凉山彝族自治州,2.1199
杭州-舟山,2.1199
周口-开封,2.1199
宿州-商丘,2.1189
邵阳-衡阳,2.1187
衡阳-湘潭,2.1187
济南-日照,2.1186
青岛-济宁,2.1180
聊城-邯郸,2.1180
周口-亳州,2.1180
驻马店-阜阳,2.1180
天津-滨州,2.1177
淄博-临沂,2.1176
石家庄-太原,2.1174
北京-聊城,2.1174
保定-邯郸,2.1166
天津-济南,2.1162
常州-南通,2.1162
扬州-南通,2.1162
扬州-盐城,2.1161
北京-临沂,2.1161
镇江-泰州,2.1161
扬州-常州,2.1161
上海-临沂,2.1161
嘉兴-金华,2.1160
佛山-茂名,2.1160
大理白族自治州-临沧,2.1160
德州-潍坊,2.1160
哈尔滨-呼伦贝尔,2.1160
池州-铜陵,2.1160
昆明-德宏傣族景颇族自治州,2.1160
扬州-无锡,2.1160
楚雄彝族自治州-大理白族自治州,2.1160
渭南-铜川,2.1160
哈尔滨-鹤岗,2.1159
重庆-武汉,2.1159
太原-晋城,2.1159
宜春-赣州,2.1159
