edges,indicator_value
深圳-厦门,2.3960
自贡-乐山,2.3415
内江-眉山,2.3415
来宾-贵港,2.3410
梅州-河源,2.3399
信阳-六安,2.3395
深圳-肇庆,2.3391
东莞-肇庆,2.3391
郑州-济源,2.3360
哈尔滨-吉林,2.3360
荆州-仙桃,2.3360
百色-崇左,2.3360
洛阳-济源,2.3360
渭南-铜川,2.3360
抚州-赣州,2.3360
张家口-锡林郭勒盟,2.3353
新余-吉安,2.3348
济南-威海,2.3348
杭州-舟山,2.3348
北京-包头,2.3336
东营-青岛,2.3323
龙岩-泉州,2.3306
龙岩-三明,2.3306
扬州-常州,2.3306
梅州-惠州,2.3306
重庆-自贡,2.3306
湖州-宁波,2.3306
上海-临沂,2.3306
通化-白山,2.3305
安康-汉中,2.3305
北海-玉林,2.3305
梧州-玉林,2.3305
吉林-延边朝鲜族自治州,2.3305
石家庄-太原,2.3305
池州-铜陵,2.3305
天水-定西,2.3305
北京-临沂,2.3305
定西-临夏回族自治州,2.3305
孝感-随州,2.3305
黄冈-鄂州,2.3305
兰州-平凉,2.3212
