edges,indicator_value
上海-金华,2.4757
广州-揭阳,2.4757
深圳-揭阳,2.4757
重庆-武汉,2.4757
重庆-毕节,2.4757
桂林-梧州,2.4757
长沙-武汉,2.4757
扬州-盐城,2.4756
北海-玉林,2.4756
保定-邯郸,2.4756
平凉-兰州,2.4756
漳州-福州,2.4756
昆明-德宏傣族景颇族自治州,2.4756
北京-长春,2.4756
兰州-陇南,2.4756
厦门-莆田,2.4756
嘉兴-宁波,2.4756
苏州-扬州,2.4756
泰州-常州,2.4755
温州-宁波,2.4755
上海-台州,2.4755
上海-温州,2.4755
阜阳-上海,2.4754
重庆-荆州,2.4753
杭州-南京,2.4750
宿迁-苏州,2.4749
德州-天津,2.4749
周口-洛阳,2.4748
唐山-廊坊,2.4743
南阳-洛阳,2.4743
昭通-重庆,2.4737
北京-邢台,2.4737
广州-赣州,2.4737
北京-大同,2.4737
淮北-合肥,2.4736
信阳-南阳,2.4730
嘉兴-绍兴,2.4717
赤峰-承德,2.4710
抚州-鹰潭,2.4710
南昌-鹰潭,2.4710
广州-阳江,2.4710
贺州-永州,2.4705
苏州-宁波,2.4699
东莞-中山,2.4696
渭南-运城,2.4643
延安-渭南,2.4643
广州-汕头,2.4641
安康-十堰,2.4591
湖州-宣城,2.4515
赤峰-锡林郭勒盟,2.4138
