edges,indicator_value
安康-汉中,2.5040
石家庄-太原,2.5040
深圳-武汉,2.5040
桂林-梧州,2.5040
广州-武汉,2.5040
北京-临沂,2.5040
成都-贵阳,2.5040
深圳-茂名,2.5040
北京-苏州,2.5039
龙岩-福州,2.5039
佛山-茂名,2.5039
天津-济南,2.5039
龙岩-泉州,2.5039
扬州-无锡,2.5039
合肥-杭州,2.5039
梅州-惠州,2.5039
合肥-苏州,2.5039
上海-临沂,2.5039
沧州-唐山,2.5038
温州-绍兴,2.5038
成都-深圳,2.5038
扬州-常州,2.5038
锦州-朝阳,2.5038
扬州-南通,2.5038
常州-南通,2.5037
徐州-上海,2.5037
郑州-武汉,2.5035
张家口-天津,2.5034
保定-邯郸,2.5034
天津-滨州,2.5034
潍坊-济宁,2.5030
临沂-菏泽,2.5028
湖州-宁波,2.5027
上海-南昌,2.5023
蚌埠-南京,2.5023
石家庄-秦皇岛,2.5022
东营-青岛,2.5016
泰安-菏泽,2.5010
北京-包头,2.5008
东莞-肇庆,2.5007
深圳-肇庆,2.5007
北京-烟台,2.5007
南阳-洛阳,2.5005
信阳-南阳,2.5005
聊城-泰安,2.4997
淮北-合肥,2.4996
郑州-济源,2.4995
杭州-舟山,2.4995
苏州-宿迁,2.4995
洛阳-济源,2.4995
济南-威海,2.4995
新余-吉安,2.4995
张家口-锡林郭勒盟,2.4990
吉林-延边朝鲜族自治州,2.4981
百色-崇左,2.4981
抚州-赣州,2.4981
石家庄-阳泉,2.4962
自贡-乐山,2.4951
梅州-河源,2.4945
哈尔滨-吉林,2.4923
深圳-厦门,2.4374
