edges,indicator_value
湘西土家族苗族自治州-长沙,1.4921
成都-攀枝花,1.4920
青岛-威海,1.4920
北京-青岛,1.4906
北京-杭州,1.4901
杭州-南京,1.4897
唐山-石家庄,1.4889
济南-烟台,1.4889
北京-呼和浩特,1.4884
广州-南宁,1.4881
上海-芜湖,1.4880
石家庄-廊坊,1.4874
苏州-宁波,1.4874
北京-南京,1.4874
太原-朔州,1.4873
南京-连云港,1.4873
上海-镇江,1.4873
长沙-深圳,1.4872
温州-宁波,1.4871
徐州-上海,1.4871
成都-上海,1.4871
长沙-张家界,1.4871
上海-台州,1.4871
上海-深圳,1.4871
上海-武汉,1.4871
北京-重庆,1.4870
北京-武汉,1.4870
沈阳-长春,1.4870
北京-长春,1.4870
沈阳-哈尔滨,1.4870
北京-大同,1.4870
哈尔滨-黑河,1.4832
哈尔滨-鸡西,1.4832
武汉-十堰,1.4832
长春-延边朝鲜族自治州,1.4832
哈尔滨-伊春,1.4832
呼和浩特-锡林郭勒盟,1.4832
