edges,indicator_value
文山壮族苗族自治州-百色,2.0606
百色-黔西南布依族苗族自治州,2.0531
怀化-黔东南苗族侗族自治州,2.0224
铜仁-怀化,2.0222
韶关-郴州,1.9954
兴安盟-通辽,1.9915
湘西土家族苗族自治州-张家界,1.9812
芜湖-铜陵,1.9811
北海-玉林,1.9811
钦州-玉林,1.9811
石家庄-阳泉,1.9762
自贡-乐山,1.9759
宜春-吉安,1.9758
长治-邯郸,1.9749
株洲-萍乡,1.9743
益阳-娄底,1.9743
渭南-运城,1.9738
蚌埠-淮南,1.9728
来宾-贵港,1.9727
东莞-肇庆,1.9723
清远-肇庆,1.9723
深圳-肇庆,1.9723
揭阳-汕尾,1.9723
赤峰-承德,1.9709
信阳-六安,1.9709
乌兰察布-锡林郭勒盟,1.9708
鄂尔多斯-忻州,1.9708
郑州-济源,1.9707
百色-河池,1.9707
洛阳-济源,1.9707
通辽-阜新,1.9707
哈尔滨-吉林,1.9707
阜新-锦州,1.9707
渭南-铜川,1.9707
张家口-锡林郭勒盟,1.9697
天津-承德,1.9689
深圳-赣州,1.9689
葫芦岛-朝阳,1.9689
石家庄-承德,1.9689
南阳-洛阳,1.9688
蚌埠-亳州,1.9688
信阳-阜阳,1.9688
濮阳-菏泽,1.9688
聊城-泰安,1.9687
张家口-乌兰察布,1.9683
绍兴-台州,1.9682
驻马店-阜阳,1.9677
开封-菏泽,1.9677
邯郸-濮阳,1.9675
徐州-淮北,1.9675
北京-烟台,1.9675
上海-宿迁,1.9673
聊城-菏泽,1.9673
周口-亳州,1.9672
沧州-滨州,1.9671
临沂-菏泽,1.9669
菏泽-青岛,1.9669
天津-滨州,1.9669
石家庄-太原,1.9668
曲靖-黔西南布依族苗族自治州,1.9662
昆明-凉山彝族自治州,1.9659
韶关-深圳,1.9659
巴中-南充,1.9658
庆阳-平凉,1.9657
镇江-泰州,1.9657
曲靖-毕节,1.9657
达州-广安,1.9656
重庆-广州,1.9656
扬州-常州,1.9656
常德-荆州,1.9656
长沙-上海,1.9655
通化-白山,1.9655
驻马店-平顶山,1.9655
吉林-延边朝鲜族自治州,1.9655
嘉兴-金华,1.9655
庆阳-兰州,1.9655
西安-平凉,1.9655
辽源-通化,1.9655
大理白族自治州-临沧,1.9655
定西-临夏回族自治州,1.9655
绥化-齐齐哈尔,1.9655
重庆-自贡,1.9655
保山-临沧,1.9655
天津-上海,1.9655
池州-铜陵,1.9655
孝感-随州,1.9655
梅州-揭阳,1.9655
武威-金昌,1.9587
