edges,indicator_value
信阳-武汉,1.2168
西安-兰州,1.2128
西安-天水,1.2128
三门峡-运城,1.2113
周口-阜阳,1.2066
商丘-亳州,1.2066
宿州-商丘,1.1973
西安-郑州,1.1946
黄冈-九江,1.1939
榆林-吕梁,1.1936
焦作-洛阳,1.1932
郑州-武汉,1.1931
葫芦岛-秦皇岛,1.1901
衢州-上饶,1.1897
金华-上饶,1.1888
桂林-永州,1.1888
杭州-上饶,1.1874
西安-运城,1.1867
郑州-上海,1.1857
商丘-菏泽,1.1846
大理白族自治州-保山,1.1839
昆明-保山,1.1839
长沙-宜春,1.1833
榆林-忻州,1.1832
淮北-亳州,1.1832
大同-乌兰察布,1.1799
上海-南昌,1.1798
南充-广元,1.1797
新乡-开封,1.1797
曲靖-红河哈尼族彝族自治州,1.1797
上海-阜阳,1.1797
南充-绵阳,1.1797
绵阳-遂宁,1.1797
延安-渭南,1.1797
赤峰-锡林郭勒盟,1.1764
遵义-黔南布依族苗族自治州,1.1763
黔南布依族苗族自治州-安顺,1.1763
铜仁-黔东南苗族侗族自治州,1.1763
衡阳-株洲,1.1763
徐州-枣庄,1.1762
徐州-济宁,1.1762
连云港-日照,1.1754
岳阳-荆州,1.1735
湘西土家族苗族自治州-恩施土家族苗族自治州,1.1733
永州-郴州,1.1729
张家口-天津,1.1729
江门-阳江,1.1729
张家口-石家庄,1.1729
潮州-揭阳,1.1729
重庆-资阳,1.1729
巴彦淖尔-乌海,1.1729
永州-衡阳,1.1729
上海-六安,1.1729
淮北-合肥,1.1729
六盘水-黔西南布依族苗族自治州,1.1729
安顺-黔西南布依族苗族自治州,1.1729
内江-资阳,1.1729
张家口-保定,1.1729
茂名-阳江,1.1729
达州-巴中,1.1729
德州-滨州,1.1723
滁州-扬州,1.1720
盐城-连云港,1.1719
宿州-蚌埠,1.1717
杭州-无锡,1.1712
茂名-玉林,1.1707
嘉兴-绍兴,1.1706
湛江-玉林,1.1706
宿迁-连云港,1.1706
北京-菏泽,1.1704
苏州-连云港,1.1703
宣城-南京,1.1702
杭州-宣城,1.1702
徐州-连云港,1.1702
宣城-上海,1.1702
合肥-宣城,1.1702
漯河-周口,1.1701
镇江-扬州,1.1701
周口-许昌,1.1701
北京-济宁,1.1701
开封-许昌,1.1701
济宁-青岛,1.1701
驻马店-周口,1.1701
天津-秦皇岛,1.1700
泸州-自贡,1.1700
衡水-邢台,1.1700
聊城-邢台,1.1700
保定-邢台,1.1700
鞍山-盘锦,1.1699
清远-东莞,1.1699
清远-深圳,1.1699
北京-大连,1.1699
盘锦-营口,1.1699
唐山-廊坊,1.1698
昆明-重庆,1.1698
扬州-盐城,1.1698
沧州-唐山,1.1698
常州-泰州,1.1698
重庆-铜仁,1.1698
重庆-西安,1.1698
北京-合肥,1.1698
济南-日照,1.1698
保定-唐山,1.1698
保定-邯郸,1.1698
天津-济南,1.1698
扬州-无锡,1.1698
西安-上海,1.1698
西宁-兰州,1.1698
昆明-成都,1.1698
吕梁-临汾,1.1698
长治-临汾,1.1698
常州-南通,1.1698
扬州-南通,1.1698
六盘水-安顺,1.1698
赤峰-朝阳,1.1698
铁岭-四平,1.1698
潍坊-日照,1.1698
晋中-临汾,1.1698
南阳-平顶山,1.1697
驻马店-南阳,1.1697
济南-东营,1.1697
北京-潍坊,1.1697
娄底-湘潭,1.1697
龙岩-福州,1.1697
成都-深圳,1.1697
淄博-东营,1.1697
东莞-江门,1.1697
三明-南平,1.1697
天津-衡水,1.1697
龙岩-泉州,1.1697
丹东-大连,1.1697
镇江-无锡,1.1697
成都-广州,1.1697
合肥-杭州,1.1697
太原-晋城,1.1697
合肥-苏州,1.1697
东莞-珠海,1.1697
龙岩-漳州,1.1697
淄博-临沂,1.1697
益阳-岳阳,1.1696
深圳-武汉,1.1696
新乡-鹤壁,1.1696
厦门-莆田,1.1696
南充-遂宁,1.1696
聊城-邯郸,1.1696
佛山-茂名,1.1696
周口-开封,1.1696
天水-定西,1.1696
怀化-邵阳,1.1696
重庆-上海,1.1696
广州-武汉,1.1696
漯河-平顶山,1.1696
佛山-珠海,1.1696
常德-张家界,1.1696
白城-松原,1.1696
广州-郴州,1.1696
钦州-防城港,1.1696
深圳-江门,1.1696
北京-长沙,1.1696
益阳-常德,1.1696
楚雄彝族自治州-大理白族自治州,1.1696
厦门-三明,1.1696
成都-贵阳,1.1696
黄冈-鄂州,1.1696
湘西土家族苗族自治州-怀化,1.1696
南充-广安,1.1696
齐齐哈尔-黑河,1.1696
阜阳-六安,1.1696
忻州-朔州,1.1696
漳州-福州,1.1696
南昌-景德镇,1.1696
六安-淮南,1.1696
清远-韶关,1.1696
东莞-湛江,1.1696
张家口-大同,1.1696
曲靖-昭通,1.1695
昆明-六盘水,1.1695
滨州-潍坊,1.1695
北京-聊城,1.1695
重庆-宜昌,1.1695
南京-芜湖,1.1695
恩施土家族苗族自治州-武汉,1.1695
荆州-潜江,1.1680
武汉-潜江,1.1680
宜春-萍乡,1.1680
通辽-沈阳,1.1680
上饶-鹰潭,1.1680
武汉-天门,1.1680
南昌-鹰潭,1.1680
宜春-新余,1.1680
梧州-佛山,1.1680
长沙-萍乡,1.1680
合肥-池州,1.1680
贺州-桂林,1.1680
合肥-铜陵,1.1680
南昌-新余,1.1680
佳木斯-鹤岗,1.1680
辽源-长春,1.1680
梧州-南宁,1.1680
昆明-临沧,1.1680
白城-兴安盟,1.1680
焦作-济源,1.1680
长春-白山,1.1680
通辽-赤峰,1.1680
安庆-池州,1.1680
昆明-西双版纳傣族自治州,1.1680
安庆-铜陵,1.1680
梧州-贵港,1.1680
兰州-平凉,1.1610
兰州-陇南,1.1610
天水-陇南,1.1610
贺州-梧州,1.1522
