city_name_remove,city_id_name_remove
曲靖,六盘水
深圳,汕尾
揭阳,深圳
苏州,无锡
唐山,秦皇岛
曲靖,毕节
滁州,合肥
广州,韶关
成都,内江
遵义,重庆
内江,资阳
南京,滁州
清远,佛山
达州,成都
惠州,河源
