city_name_add,city_id_name_add
遂宁,资阳
韶关,赣州
柳州,贵港
唐山,廊坊
新余,吉安
三门峡,运城
南阳,洛阳
厦门,三明
亳州,淮南
安康,汉中
岳阳,咸宁
