city_name,indicator_value,edgenum
菏泽,1.97,5
百色,2.08,3
石家庄,2.10,3
肇庆,2.11,3
深圳,2.12,3
承德,2.13,3
天津,2.13,3
上海,2.13,3
黔西南布依族苗族自治州,2.13,2
怀化,2.17,2
韶关,2.19,2
通辽,2.22,2
铜陵,2.24,2
玉林,2.25,2
自贡,2.26,2
邯郸,2.27,2
渭南,2.29,2
蚌埠,2.31,2
揭阳,2.32,2
信阳,2.33,2
乌兰察布,2.34,2
锡林郭勒盟,2.34,2
济源,2.35,2
洛阳,2.36,2
阜新,2.36,2
吉林,2.37,2
张家口,2.37,2
亳州,2.37,2
阜阳,2.38,2
濮阳,2.38,2
聊城,2.38,2
驻马店,2.38,2
滨州,2.38,2
曲靖,2.38,2
庆阳,2.38,2
平凉,2.38,2
重庆,2.38,2
通化,2.38,2
临沧,2.38,2
文山壮族苗族自治州,2.38,1
黔东南苗族侗族自治州,2.38,1
铜仁,2.38,1
郴州,2.38,1
兴安盟,2.38,1
湘西土家族苗族自治州,2.40,1
张家界,2.40,1
芜湖,2.40,1
北海,2.40,1
钦州,2.40,1
阳泉,2.40,1
乐山,2.40,1
宜春,2.42,1
吉安,2.42,1
长治,2.42,1
株洲,2.43,1
萍乡,2.43,1
益阳,2.43,1
娄底,2.43,1
运城,2.43,1
淮南,2.43,1
来宾,2.44,1
贵港,2.44,1
东莞,2.44,1
清远,2.44,1
汕尾,2.44,1
赤峰,2.44,1
六安,2.44,1
鄂尔多斯,2.45,1
忻州,2.45,1
郑州,2.45,1
河池,2.45,1
哈尔滨,2.45,1
锦州,2.45,1
铜川,2.45,1
赣州,2.45,1
葫芦岛,2.46,1
朝阳,2.46,1
南阳,2.46,1
泰安,2.46,1
绍兴,2.46,1
台州,2.46,1
开封,2.46,1
徐州,2.46,1
淮北,2.46,1
北京,2.47,1
烟台,2.47,1
宿迁,2.47,1
周口,2.47,1
沧州,2.47,1
临沂,2.47,1
青岛,2.47,1
太原,2.47,1
昆明,2.47,1
凉山彝族自治州,2.47,1
巴中,2.47,1
南充,2.47,1
镇江,2.47,1
泰州,2.47,1
毕节,2.47,1
达州,2.47,1
广安,2.47,1
广州,2.47,1
扬州,2.47,1
常州,2.47,1
常德,2.48,1
荆州,2.48,1
长沙,2.48,1
白山,2.48,1
平顶山,2.48,1
延边朝鲜族自治州,2.48,1
嘉兴,2.48,1
金华,2.48,1
兰州,2.48,1
西安,2.48,1
辽源,2.48,1
大理白族自治州,2.48,1
定西,2.48,1
临夏回族自治州,2.48,1
绥化,2.48,1
齐齐哈尔,2.48,1
保山,2.48,1
池州,2.48,1
孝感,2.48,1
随州,2.48,1
梅州,2.48,1
武威,2.47,1
金昌,2.47,1
