city_name,indicator_value,edgenum
武汉,1.21,7
上海,1.24,7
合肥,1.24,7
北京,1.25,7
西安,1.31,6
昆明,1.32,6
重庆,1.33,6
周口,1.35,5
连云港,1.36,5
扬州,1.36,5
兰州,1.37,4
上饶,1.39,4
杭州,1.39,4
南昌,1.39,4
南充,1.41,4
张家口,1.43,4
天津,1.43,4
保定,1.43,4
宣城,1.43,4
东莞,1.43,4
深圳,1.44,4
成都,1.44,4
梧州,1.43,4
天水,1.43,3
阜阳,1.44,3
商丘,1.45,3
郑州,1.45,3
永州,1.50,3
长沙,1.51,3
宜春,1.51,3
开封,1.53,3
赤峰,1.57,3
安顺,1.58,3
徐州,1.59,3
济宁,1.59,3
日照,1.59,3
江门,1.60,3
六安,1.60,3
六盘水,1.60,3
茂名,1.61,3
无锡,1.61,3
邢台,1.61,3
聊城,1.61,3
清远,1.62,3
唐山,1.62,3
济南,1.62,3
临汾,1.64,3
潍坊,1.64,3
龙岩,1.64,3
广州,1.64,3
佛山,1.64,3
运城,1.65,2
亳州,1.66,2
宿州,1.66,2
黄冈,1.68,2
榆林,1.70,2
吕梁,1.70,2
焦作,1.71,2
秦皇岛,1.74,2
桂林,1.74,2
菏泽,1.74,2
大理白族自治州,1.74,2
保山,1.74,2
忻州,1.75,2
淮北,1.75,2
大同,1.77,2
新乡,1.77,2
曲靖,1.79,2
绵阳,1.79,2
遂宁,1.79,2
黔南布依族苗族自治州,1.79,2
铜仁,1.79,2
衡阳,1.80,2
岳阳,1.82,2
荆州,1.82,2
湘西土家族苗族自治州,1.83,2
恩施土家族苗族自治州,1.83,2
郴州,1.83,2
阳江,1.83,2
资阳,1.83,2
黔西南布依族苗族自治州,1.83,2
滨州,1.84,2
盐城,1.84,2
玉林,1.84,2
湛江,1.84,2
苏州,1.84,2
南京,1.84,2
漯河,1.84,2
镇江,1.84,2
许昌,1.84,2
驻马店,1.85,2
衡水,1.85,2
盘锦,1.87,2
大连,1.87,2
常州,1.88,2
邯郸,1.88,2
南通,1.88,2
南阳,1.88,2
平顶山,1.88,2
东营,1.88,2
福州,1.88,2
淄博,1.88,2
三明,1.89,2
珠海,1.89,2
漳州,1.89,2
益阳,1.89,2
厦门,1.89,2
怀化,1.90,2
常德,1.91,2
白城,1.90,2
潜江,1.90,2
萍乡,1.90,2
通辽,1.90,2
鹰潭,1.90,2
新余,1.90,2
池州,1.90,2
贺州,1.90,2
铜陵,1.90,2
长春,1.89,2
安庆,1.89,2
陇南,1.89,2
信阳,1.89,1
三门峡,1.89,1
九江,1.89,1
洛阳,1.89,1
葫芦岛,1.89,1
衢州,1.89,1
金华,1.89,1
乌兰察布,1.89,1
广元,1.89,1
红河哈尼族彝族自治州,1.89,1
延安,1.91,1
渭南,1.91,1
锡林郭勒盟,1.91,1
遵义,1.91,1
黔东南苗族侗族自治州,1.91,1
株洲,1.91,1
枣庄,1.91,1
石家庄,1.91,1
潮州,1.91,1
揭阳,1.91,1
巴彦淖尔,1.92,1
乌海,1.92,1
内江,1.92,1
达州,1.92,1
巴中,1.92,1
德州,1.92,1
滁州,1.92,1
蚌埠,1.92,1
嘉兴,1.93,1
绍兴,1.93,1
宿迁,1.93,1
青岛,1.93,1
泸州,1.93,1
自贡,1.93,1
鞍山,1.93,1
营口,1.93,1
廊坊,1.93,1
沧州,1.93,1
泰州,1.93,1
西宁,1.93,1
长治,1.93,1
朝阳,1.93,1
铁岭,1.94,1
四平,1.94,1
晋中,1.94,1
娄底,1.97,1
湘潭,1.97,1
南平,1.97,1
泉州,1.97,1
丹东,1.97,1
太原,1.97,1
晋城,1.97,1
临沂,1.97,1
鹤壁,1.97,1
莆田,1.97,1
定西,1.97,1
邵阳,1.97,1
张家界,1.97,1
松原,1.97,1
钦州,1.97,1
防城港,1.97,1
楚雄彝族自治州,1.97,1
贵阳,1.97,1
鄂州,1.97,1
广安,1.97,1
齐齐哈尔,1.97,1
黑河,1.97,1
朔州,1.97,1
景德镇,1.97,1
淮南,1.97,1
韶关,1.97,1
昭通,1.97,1
宜昌,1.97,1
芜湖,1.97,1
沈阳,1.97,1
天门,1.97,1
佳木斯,1.97,1
鹤岗,1.97,1
辽源,1.97,1
南宁,1.97,1
临沧,1.97,1
兴安盟,1.97,1
济源,1.97,1
白山,1.97,1
西双版纳傣族自治州,1.97,1
贵港,1.97,1
平凉,1.97,1
