city_name,indicator_value,edgenum
深圳,2.40,2
自贡,2.42,2
梅州,2.43,2
肇庆,2.43,2
济源,2.44,2
吉林,2.45,2
北京,2.45,2
龙岩,2.46,2
临沂,2.46,2
玉林,2.46,2
定西,2.46,2
厦门,2.46,1
乐山,2.46,1
内江,2.46,1
眉山,2.46,1
来宾,2.48,1
贵港,2.48,1
河源,2.48,1
信阳,2.49,1
六安,2.49,1
东莞,2.49,1
郑州,2.49,1
哈尔滨,2.49,1
荆州,2.50,1
仙桃,2.50,1
百色,2.50,1
崇左,2.50,1
洛阳,2.50,1
渭南,2.51,1
铜川,2.51,1
抚州,2.51,1
赣州,2.51,1
张家口,2.52,1
锡林郭勒盟,2.52,1
新余,2.52,1
吉安,2.52,1
济南,2.53,1
威海,2.53,1
杭州,2.53,1
舟山,2.53,1
包头,2.53,1
东营,2.54,1
青岛,2.54,1
泉州,2.54,1
三明,2.54,1
扬州,2.54,1
常州,2.54,1
惠州,2.54,1
重庆,2.54,1
湖州,2.54,1
宁波,2.54,1
上海,2.54,1
通化,2.54,1
白山,2.54,1
安康,2.54,1
汉中,2.54,1
北海,2.54,1
梧州,2.54,1
延边朝鲜族自治州,2.54,1
石家庄,2.54,1
太原,2.54,1
池州,2.54,1
铜陵,2.54,1
天水,2.54,1
临夏回族自治州,2.54,1
孝感,2.54,1
随州,2.54,1
黄冈,2.54,1
鄂州,2.54,1
兰州,2.53,1
平凉,2.53,1
