city_name,indicator_value,edgenum
上海,2.17,4
扬州,2.17,4
开封,2.19,3
临沂,2.19,3
厦门,2.21,2
渭南,2.23,2
运城,2.24,2
南阳,2.25,2
昆明,2.25,2
周口,2.26,2
衡阳,2.26,2
济南,2.27,2
聊城,2.27,2
邯郸,2.27,2
天津,2.27,2
太原,2.28,2
北京,2.28,2
常州,2.28,2
南通,2.28,2
大理白族自治州,2.28,2
哈尔滨,2.28,2
深圳,2.28,1
兴安盟,2.31,1
齐齐哈尔,2.31,1
榆林,2.33,1
吕梁,2.33,1
许昌,2.33,1
三门峡,2.33,1
福州,2.33,1
蚌埠,2.34,1
淮南,2.34,1
新乡,2.34,1
忻州,2.35,1
朔州,2.35,1
东莞,2.35,1
肇庆,2.35,1
洛阳,2.35,1
常德,2.36,1
荆州,2.36,1
大连,2.36,1
郑州,2.37,1
济源,2.37,1
长治,2.38,1
晋中,2.38,1
江门,2.38,1
阳江,2.38,1
信阳,2.38,1
凉山彝族自治州,2.38,1
杭州,2.39,1
舟山,2.39,1
宿州,2.39,1
商丘,2.39,1
邵阳,2.39,1
湘潭,2.39,1
日照,2.39,1
青岛,2.39,1
济宁,2.39,1
亳州,2.39,1
驻马店,2.39,1
阜阳,2.39,1
滨州,2.39,1
淄博,2.39,1
石家庄,2.39,1
保定,2.39,1
盐城,2.39,1
镇江,2.40,1
泰州,2.40,1
嘉兴,2.40,1
金华,2.40,1
佛山,2.40,1
茂名,2.40,1
临沧,2.40,1
德州,2.40,1
潍坊,2.40,1
呼伦贝尔,2.40,1
池州,2.40,1
铜陵,2.40,1
德宏傣族景颇族自治州,2.40,1
无锡,2.40,1
楚雄彝族自治州,2.40,1
铜川,2.40,1
鹤岗,2.40,1
重庆,2.40,1
武汉,2.40,1
晋城,2.40,1
宜春,2.40,1
赣州,2.40,1
