city_name,indicator_value,edgenum
深圳,2.43,5
北京,2.43,4
石家庄,2.42,3
武汉,2.41,3
临沂,2.41,3
苏州,2.41,3
天津,2.41,3
扬州,2.41,3
合肥,2.40,3
上海,2.40,3
成都,2.40,2
茂名,2.40,2
龙岩,2.40,2
济南,2.40,2
杭州,2.39,2
梅州,2.38,2
常州,2.38,2
南通,2.38,2
郑州,2.38,2
张家口,2.37,2
菏泽,2.37,2
泰安,2.36,2
肇庆,2.35,2
南阳,2.35,2
洛阳,2.34,2
济源,2.34,2
吉林,2.33,2
安康,2.33,1
汉中,2.33,1
太原,2.33,1
桂林,2.33,1
梧州,2.33,1
广州,2.33,1
贵阳,2.33,1
福州,2.33,1
佛山,2.33,1
泉州,2.33,1
无锡,2.33,1
惠州,2.33,1
沧州,2.33,1
唐山,2.33,1
温州,2.33,1
绍兴,2.33,1
锦州,2.33,1
朝阳,2.33,1
徐州,2.33,1
保定,2.33,1
邯郸,2.33,1
滨州,2.33,1
潍坊,2.33,1
济宁,2.33,1
湖州,2.33,1
宁波,2.33,1
南昌,2.33,1
蚌埠,2.33,1
南京,2.33,1
秦皇岛,2.33,1
东营,2.32,1
青岛,2.32,1
包头,2.32,1
东莞,2.32,1
烟台,2.32,1
信阳,2.32,1
聊城,2.32,1
淮北,2.32,1
舟山,2.32,1
宿迁,2.32,1
威海,2.32,1
新余,2.32,1
吉安,2.32,1
锡林郭勒盟,2.32,1
延边朝鲜族自治州,2.32,1
百色,2.31,1
崇左,2.31,1
抚州,2.31,1
赣州,2.31,1
阳泉,2.31,1
自贡,2.30,1
乐山,2.30,1
河源,2.30,1
哈尔滨,2.30,1
厦门,2.30,1
