city_name,indicator_value,edgenum
菏泽,2.46,4
石家庄,2.44,3
扬州,2.44,3
邯郸,2.42,3
张家口,2.41,3
天津,2.41,3
承德,2.40,3
长治,2.39,3
渭南,2.35,3
驻马店,2.35,2
太原,2.35,2
庆阳,2.35,2
平凉,2.35,2
聊城,2.35,2
滨州,2.34,2
亳州,2.34,2
阜阳,2.34,2
肇庆,2.33,2
濮阳,2.33,2
乌兰察布,2.32,2
锡林郭勒盟,2.32,2
济源,2.31,2
洛阳,2.31,2
吕梁,2.29,2
临汾,2.29,2
贵港,2.26,2
运城,2.25,2
平顶山,2.25,1
金华,2.25,1
上饶,2.25,1
兰州,2.25,1
西安,2.25,1
大理白族自治州,2.25,1
临沧,2.25,1
绥化,2.25,1
齐齐哈尔,2.25,1
钦州,2.25,1
玉林,2.25,1
盐城,2.25,1
天水,2.25,1
定西,2.25,1
保定,2.25,1
常州,2.25,1
临沂,2.25,1
南通,2.25,1
巴中,2.25,1
南充,2.25,1
青岛,2.25,1
周口,2.25,1
沧州,2.25,1
信阳,2.25,1
清远,2.25,1
深圳,2.25,1
蚌埠,2.25,1
北京,2.24,1
烟台,2.24,1
绍兴,2.24,1
台州,2.24,1
郑州,2.24,1
葫芦岛,2.24,1
朝阳,2.24,1
通辽,2.23,1
阜新,2.23,1
南阳,2.23,1
赤峰,2.23,1
晋中,2.23,1
泰安,2.23,1
晋城,2.23,1
铜川,2.23,1
鄂尔多斯,2.23,1
忻州,2.23,1
阳泉,2.23,1
来宾,2.23,1
三门峡,2.23,1
榆林,2.23,1
自贡,2.21,1
乐山,2.21,1
延安,2.21,1
佛山,2.21,1
