city_name,indicator_value,edgenum,degree
广州,26,2,"[('广州', 8)]"
湘潭,26,2,"[('湘潭', 3)]"
益阳,26,2,"[('益阳', 3)]"
淄博,27,1,"[('淄博', 1)]"
滨州,27,1,"[('滨州', 1)]"
南通,28,1,"[('南通', 1)]"
盐城,28,1,"[('盐城', 1)]"
曲靖,28,1,"[('曲靖', 3)]"
六盘水,28,1,"[('六盘水', 2)]"
中山,28,1,"[('中山', 3)]"
娄底,28,1,"[('娄底', 3)]"
株洲,28,1,"[('株洲', 2)]"
常德,28,1,"[('常德', 2)]"
韶关,28,1,"[('韶关', 1)]"
遵义,28,1,"[('遵义', 2)]"
重庆,28,1,"[('重庆', 5)]"
岳阳,28,1,"[('岳阳', 2)]"
清远,28,1,"[('清远', 2)]"
佛山,28,1,"[('佛山', 3)]"
周口,27,1,"[('周口', 2)]"
阜阳,27,1,"[('阜阳', 2)]"
滁州,26,1,"[('滁州', 2)]"
合肥,26,1,"[('合肥', 3)]"
