city_name,indicator_value,edgenum,degree
深圳,27,2,"[('深圳', 3)]"
滁州,29,2,"[('滁州', 0)]"
曲靖,30,2,"[('曲靖', 1)]"
成都,30,2,"[('成都', 8)]"
内江,31,2,"[('内江', 1)]"
汕尾,31,1,"[('汕尾', 0)]"
揭阳,31,1,"[('揭阳', 1)]"
苏州,32,1,"[('苏州', 1)]"
无锡,32,1,"[('无锡', 1)]"
唐山,33,1,"[('唐山', 0)]"
秦皇岛,33,1,"[('秦皇岛', 0)]"
合肥,33,1,"[('合肥', 2)]"
广州,34,1,"[('广州', 7)]"
韶关,34,1,"[('韶关', 0)]"
南京,34,1,"[('南京', 1)]"
惠州,35,1,"[('惠州', 3)]"
河源,35,1,"[('河源', 0)]"
六盘水,35,1,"[('六盘水', 1)]"
毕节,35,1,"[('毕节', 3)]"
遵义,35,1,"[('遵义', 1)]"
重庆,35,1,"[('重庆', 4)]"
资阳,35,1,"[('资阳', 1)]"
清远,35,1,"[('清远', 1)]"
佛山,35,1,"[('佛山', 2)]"
达州,35,1,"[('达州', 2)]"
