city_name,indicator_value,edgenum,degree
深圳,16,4,"[('深圳', 5)]"
上海,16,4,"[('上海', 2)]"
松原,18,2,"[('松原', 0)]"
泰安,19,2,"[('泰安', 0)]"
濮阳,20,2,"[('濮阳', 0)]"
武威,21,1,"[('武威', 0)]"
兰州,21,1,"[('兰州', 4)]"
梅州,21,1,"[('梅州', 0)]"
长春,21,1,"[('长春', 0)]"
白城,21,1,"[('白城', 0)]"
温州,22,1,"[('温州', 3)]"
宁德,22,1,"[('宁德', 1)]"
吉安,23,1,"[('吉安', 0)]"
赣州,23,1,"[('赣州', 0)]"
潍坊,24,1,"[('潍坊', 3)]"
日照,24,1,"[('日照', 0)]"
济南,24,1,"[('济南', 7)]"
汕尾,24,1,"[('汕尾', 1)]"
河源,24,1,"[('河源', 1)]"
聊城,24,1,"[('聊城', 4)]"
济宁,24,1,"[('济宁', 3)]"
保山,24,1,"[('保山', 2)]"
临沧,24,1,"[('临沧', 1)]"
嘉兴,24,1,"[('嘉兴', 3)]"
南通,24,1,"[('南通', 3)]"
宁波,24,1,"[('宁波', 5)]"
无锡,24,1,"[('无锡', 5)]"
盘锦,24,1,"[('盘锦', 1)]"
营口,24,1,"[('营口', 2)]"
安阳,24,1,"[('安阳', 2)]"
揭阳,24,1,"[('揭阳', 3)]"
