city_name,indicator_value,edgenum,degree
杭州,26,6,"[('杭州', 6)]"
郑州,25,5,"[('郑州', 5)]"
南昌,25,4,"[('南昌', 4)]"
周口,25,4,"[('周口', 6)]"
长春,26,3,"[('长春', 3)]"
太原,26,3,"[('太原', 3)]"
新乡,25,3,"[('新乡', 3)]"
南京,24,3,"[('南京', 3)]"
安阳,23,3,"[('安阳', 4)]"
广元,23,3,"[('广元', 3)]"
广州,23,3,"[('广州', 11)]"
忻州,23,2,"[('忻州', 2)]"
大理白族自治州,23,2,"[('大理白族自治州', 2)]"
上饶,23,2,"[('上饶', 3)]"
深圳,23,2,"[('深圳', 5)]"
玉林,22,2,"[('玉林', 4)]"
南充,22,2,"[('南充', 3)]"
兰州,22,2,"[('兰州', 3)]"
黔东南苗族侗族自治州,22,2,"[('黔东南苗族侗族自治州', 3)]"
成都,22,2,"[('成都', 10)]"
宁波,22,2,"[('宁波', 3)]"
开封,22,2,"[('开封', 3)]"
驻马店,22,2,"[('驻马店', 2)]"
肇庆,22,2,"[('肇庆', 3)]"
乐山,22,2,"[('乐山', 2)]"
许昌,22,2,"[('许昌', 3)]"
鞍山,22,2,"[('鞍山', 3)]"
贵港,22,2,"[('贵港', 3)]"
沈阳,21,2,"[('沈阳', 5)]"
南宁,21,2,"[('南宁', 6)]"
吉林,21,1,"[('吉林', 1)]"
洛阳,21,1,"[('洛阳', 1)]"
保山,22,1,"[('保山', 1)]"
德宏傣族景颇族自治州,22,1,"[('德宏傣族景颇族自治州', 1)]"
宜春,22,1,"[('宜春', 1)]"
朝阳,23,1,"[('朝阳', 1)]"
赤峰,23,1,"[('赤峰', 1)]"
丽江,23,1,"[('丽江', 1)]"
滁州,23,1,"[('滁州', 1)]"
抚州,23,1,"[('抚州', 1)]"
松原,23,1,"[('松原', 1)]"
四平,23,1,"[('四平', 1)]"
焦作,23,1,"[('焦作', 1)]"
九江,23,1,"[('九江', 1)]"
鄂尔多斯,23,1,"[('鄂尔多斯', 3)]"
呼和浩特,23,1,"[('呼和浩特', 1)]"
景德镇,23,1,"[('景德镇', 1)]"
厦门,23,1,"[('厦门', 3)]"
龙岩,23,1,"[('龙岩', 1)]"
鹤壁,23,1,"[('鹤壁', 1)]"
佛山,23,1,"[('佛山', 7)]"
马鞍山,23,1,"[('马鞍山', 2)]"
亳州,23,1,"[('亳州', 3)]"
吕梁,23,1,"[('吕梁', 3)]"
湛江,23,1,"[('湛江', 3)]"
白银,23,1,"[('白银', 1)]"
汕尾,23,1,"[('汕尾', 1)]"
绵阳,23,1,"[('绵阳', 3)]"
常德,23,1,"[('常德', 3)]"
张家界,23,1,"[('张家界', 1)]"
贵阳,23,1,"[('贵阳', 6)]"
台州,23,1,"[('台州', 1)]"
铜仁,23,1,"[('铜仁', 4)]"
泰州,23,1,"[('泰州', 4)]"
无锡,23,1,"[('无锡', 3)]"
昆明,23,1,"[('昆明', 6)]"
榆林,23,1,"[('榆林', 4)]"
镇江,23,1,"[('镇江', 2)]"
泉州,23,1,"[('泉州', 5)]"
三明,23,1,"[('三明', 2)]"
韶关,23,1,"[('韶关', 1)]"
眉山,23,1,"[('眉山', 2)]"
云浮,23,1,"[('云浮', 1)]"
晋中,23,1,"[('晋中', 2)]"
衢州,23,1,"[('衢州', 2)]"
惠州,23,1,"[('惠州', 4)]"
河源,23,1,"[('河源', 1)]"
安庆,23,1,"[('安庆', 1)]"
合肥,23,1,"[('合肥', 3)]"
嘉兴,23,1,"[('嘉兴', 4)]"
巴中,23,1,"[('巴中', 2)]"
漯河,23,1,"[('漯河', 1)]"
营口,23,1,"[('营口', 1)]"
阜阳,23,1,"[('阜阳', 3)]"
临夏回族自治州,23,1,"[('临夏回族自治州', 1)]"
绍兴,23,1,"[('绍兴', 2)]"
茂名,23,1,"[('茂名', 3)]"
金华,23,1,"[('金华', 3)]"
梧州,23,1,"[('梧州', 1)]"
湖州,23,1,"[('湖州', 2)]"
徐州,22,1,"[('徐州', 3)]"
临沂,22,1,"[('临沂', 2)]"
宿州,21,1,"[('宿州', 3)]"
商丘,21,1,"[('商丘', 4)]"
锦州,21,1,"[('锦州', 3)]"
濮阳,21,1,"[('濮阳', 2)]"
