city_name,indicator_value,edgenum,degree
成都,23,4,"[('成都', 14)]"
曲靖,23,3,"[('曲靖', 6)]"
柳州,22,3,"[('柳州', 4)]"
周口,22,3,"[('周口', 8)]"
汕尾,21,2,"[('汕尾', 2)]"
深圳,21,2,"[('深圳', 5)]"
南昌,20,2,"[('南昌', 4)]"
广州,20,2,"[('广州', 12)]"
杭州,20,2,"[('杭州', 7)]"
上海,20,2,"[('上海', 5)]"
贵阳,20,2,"[('贵阳', 7)]"
文山壮族苗族自治州,20,2,"[('文山壮族苗族自治州', 3)]"
郑州,20,2,"[('郑州', 7)]"
漯河,20,2,"[('漯河', 3)]"
韶关,20,2,"[('韶关', 2)]"
滨州,19,2,"[('滨州', 3)]"
大理白族自治州,18,2,"[('大理白族自治州', 4)]"
芜湖,18,2,"[('芜湖', 3)]"
合肥,17,2,"[('合肥', 7)]"
南宁,17,2,"[('南宁', 8)]"
济南,17,2,"[('济南', 5)]"
哈尔滨,18,1,"[('哈尔滨', 1)]"
绥化,18,1,"[('绥化', 1)]"
黔西南布依族苗族自治州,18,1,"[('黔西南布依族苗族自治州', 4)]"
巴中,18,1,"[('巴中', 3)]"
凉山彝族自治州,18,1,"[('凉山彝族自治州', 3)]"
攀枝花,18,1,"[('攀枝花', 1)]"
抚州,18,1,"[('抚州', 1)]"
湖州,18,1,"[('湖州', 3)]"
苏州,18,1,"[('苏州', 6)]"
昭通,18,1,"[('昭通', 4)]"
衡水,18,1,"[('衡水', 3)]"
沧州,18,1,"[('沧州', 2)]"
福州,18,1,"[('福州', 5)]"
三明,18,1,"[('三明', 2)]"
珠海,18,1,"[('珠海', 2)]"
达州,18,1,"[('达州', 3)]"
东莞,18,1,"[('东莞', 5)]"
中山,18,1,"[('中山', 5)]"
黔东南苗族侗族自治州,18,1,"[('黔东南苗族侗族自治州', 3)]"
呼和浩特,18,1,"[('呼和浩特', 2)]"
乌兰察布,18,1,"[('乌兰察布', 1)]"
自贡,18,1,"[('自贡', 2)]"
昆明,18,1,"[('昆明', 7)]"
广元,18,1,"[('广元', 3)]"
焦作,18,1,"[('焦作', 2)]"
红河哈尼族彝族自治州,18,1,"[('红河哈尼族彝族自治州', 4)]"
桂林,18,1,"[('桂林', 1)]"
佛山,18,1,"[('佛山', 7)]"
丽水,18,1,"[('丽水', 2)]"
温州,18,1,"[('温州', 1)]"
鄂尔多斯,18,1,"[('鄂尔多斯', 4)]"
乌海,18,1,"[('乌海', 1)]"
重庆,18,1,"[('重庆', 7)]"
恩施土家族苗族自治州,18,1,"[('恩施土家族苗族自治州', 1)]"
百色,18,1,"[('百色', 3)]"
驻马店,18,1,"[('驻马店', 4)]"
无锡,18,1,"[('无锡', 4)]"
鞍山,18,1,"[('鞍山', 4)]"
盘锦,18,1,"[('盘锦', 2)]"
邯郸,18,1,"[('邯郸', 3)]"
石家庄,18,1,"[('石家庄', 4)]"
亳州,18,1,"[('亳州', 4)]"
开封,18,1,"[('开封', 3)]"
贺州,18,1,"[('贺州', 1)]"
梧州,18,1,"[('梧州', 2)]"
东营,18,1,"[('东营', 1)]"
定西,18,1,"[('定西', 3)]"
临夏回族自治州,18,1,"[('临夏回族自治州', 2)]"
烟台,18,1,"[('烟台', 2)]"
威海,18,1,"[('威海', 1)]"
宁波,18,1,"[('宁波', 4)]"
舟山,18,1,"[('舟山', 1)]"
沈阳,18,1,"[('沈阳', 7)]"
阜新,18,1,"[('阜新', 1)]"
商丘,18,1,"[('商丘', 5)]"
临沧,18,1,"[('临沧', 1)]"
清远,18,1,"[('清远', 3)]"
宣城,18,1,"[('宣城', 1)]"
营口,18,1,"[('营口', 2)]"
大连,18,1,"[('大连', 1)]"
六盘水,18,1,"[('六盘水', 5)]"
金华,18,1,"[('金华', 4)]"
绍兴,18,1,"[('绍兴', 3)]"
南京,18,1,"[('南京', 4)]"
扬州,18,1,"[('扬州', 2)]"
揭阳,18,1,"[('揭阳', 3)]"
衢州,18,1,"[('衢州', 2)]"
洛阳,18,1,"[('洛阳', 3)]"
平顶山,18,1,"[('平顶山', 2)]"
河池,18,1,"[('河池', 2)]"
淄博,18,1,"[('淄博', 3)]"
上饶,18,1,"[('上饶', 3)]"
阜阳,18,1,"[('阜阳', 4)]"
延安,17,1,"[('延安', 2)]"
西安,17,1,"[('西安', 4)]"
来宾,17,1,"[('来宾', 2)]"
保山,17,1,"[('保山', 2)]"
