city_name,indicator_value,edgenum,degree
郑州,31,2,"[('郑州', 3)]"
佛山,31,2,"[('佛山', 4)]"
江门,31,2,"[('江门', 2)]"
新乡,31,1,"[('新乡', 1)]"
上海,31,1,"[('上海', 2)]"
嘉兴,31,1,"[('嘉兴', 1)]"
石家庄,31,1,"[('石家庄', 3)]"
衡水,31,1,"[('衡水', 1)]"
南京,31,1,"[('南京', 2)]"
滁州,31,1,"[('滁州', 1)]"
许昌,31,1,"[('许昌', 1)]"
清远,31,1,"[('清远', 2)]"
唐山,31,1,"[('唐山', 2)]"
秦皇岛,31,1,"[('秦皇岛', 1)]"
滨州,31,1,"[('滨州', 2)]"
东营,31,1,"[('东营', 1)]"
忻州,31,1,"[('忻州', 1)]"
太原,31,1,"[('太原', 3)]"
广州,31,1,"[('广州', 8)]"
曲靖,30,1,"[('曲靖', 2)]"
毕节,30,1,"[('毕节', 4)]"
苏州,29,1,"[('苏州', 2)]"
无锡,29,1,"[('无锡', 2)]"
