0,1,2
乌兰察布,包头,{'weight': 0.0768473106299999}
鄂尔多斯,巴彦淖尔,{'weight': 0.0763013933099999}
榆林,吕梁,{'weight': 0.0699888413699998}
保定,邯郸,{'weight': 0.0699628071599999}
张家口,大同,{'weight': 0.06719857119}
佛山,茂名,{'weight': 0.0647996889599999}
大同,乌兰察布,{'weight': 0.0636048206999999}
济南,日照,{'weight': 0.0618203169899999}
忻州,朔州,{'weight': 0.0607276634399999}
南阳,洛阳,{'weight': 0.0576842577299999}
衡阳,湘潭,{'weight': 0.0571392289799999}
梅州,惠州,{'weight': 0.0564153449399999}
扬州,盐城,{'weight': 0.0563815201499999}
淮北,亳州,{'weight': 0.0563795372699999}
锦州,阜新,{'weight': 0.0550269514799999}
江门,阳江,{'weight': 0.05501903211}
巴彦淖尔,乌海,{'weight': 0.0543452603399999}
张家口,天津,{'weight': 0.0541520510399999}
宿州,商丘,{'weight': 0.0537625390499999}
常州,南通,{'weight': 0.05363947008}
嘉兴,金华,{'weight': 0.0528952542299999}
运城,三门峡,{'weight': 0.0526275281699999}
开封,许昌,{'weight': 0.0525614313599999}
张家口,乌兰察布,{'weight': 0.0517319200799999}
邵阳,衡阳,{'weight': 0.0517269944699999}
大理白族自治州,临沧,{'weight': 0.0517232222999999}
楚雄彝族自治州,大理白族自治州,{'weight': 0.0516740034599999}
天津,济南,{'weight': 0.05152771503}
周口,亳州,{'weight': 0.0512836239599999}
绍兴,台州,{'weight': 0.0511527919499999}
温州,绍兴,{'weight': 0.0510653791799999}
渭南,运城,{'weight': 0.0508352881499999}
开封,菏泽,{'weight': 0.0507492604799999}
深圳,肇庆,{'weight': 0.0505132985699999}
信阳,南阳,{'weight': 0.0505123921799999}
济南,威海,{'weight': 0.0504925050599999}
常德,荆州,{'weight': 0.0502908903899999}
潍坊,济宁,{'weight': 0.0502624504799999}
巴中,南充,{'weight': 0.0502010816399999}
钦州,玉林,{'weight': 0.0492430711499999}
重庆,绵阳,{'weight': 0.0486720948599999}
连云港,日照,{'weight': 0.0486718947899999}
梅州,河源,{'weight': 0.0484706235599999}
临沂,菏泽,{'weight': 0.04838106348}
达州,南充,{'weight': 0.0483376823099999}
重庆,自贡,{'weight': 0.0483246664199999}
石家庄,太原,{'weight': 0.0482371548299999}
深圳,厦门,{'weight': 0.0481570936199999}
兴安盟,齐齐哈尔,{'weight': 0.0468569990699999}
梧州,玉林,{'weight': 0.0468225546299999}
吉林,延边朝鲜族自治州,{'weight': 0.0467926235099999}
蚌埠,淮南,{'weight': 0.0467085422699999}
葫芦岛,朝阳,{'weight': 0.0466664951699999}
蚌埠,南京,{'weight': 0.0465822316799999}
驻马店,阜阳,{'weight': 0.0465689841299999}
锦州,朝阳,{'weight': 0.0463362516899999}
聊城,泰安,{'weight': 0.0462314619899999}
北海,玉林,{'weight': 0.0462195023399999}
北京,烟台,{'weight': 0.0460817067599998}
天津,滨州,{'weight': 0.04591469448}
泸州,内江,{'weight': 0.0458719572599999}
石家庄,阳泉,{'weight': 0.04568323455}
濮阳,邯郸,{'weight': 0.0456446753099998}
扬州,南通,{'weight': 0.0449457157799998}
荆州,仙桃,{'weight': 0.0449396715599999}
渭南,铜川,{'weight': 0.0448466446799998}
百色,崇左,{'weight': 0.04461723243}
抚州,赣州,{'weight': 0.0445969443599999}
沧州,滨州,{'weight': 0.0444141913499999}
安康,汉中,{'weight': 0.0442405143899999}
北京,包头,{'weight': 0.04394181231}
新余,吉安,{'weight': 0.0438733081799999}
桂林,梧州,{'weight': 0.0438679540799999}
东营,青岛,{'weight': 0.04384647855}
北京,临沂,{'weight': 0.0437644133999999}
龙岩,三明,{'weight': 0.0435794693399999}
上海,临沂,{'weight': 0.04346620137}
内江,眉山,{'weight': 0.04335908859}
哈尔滨,吉林,{'weight': 0.0430455157199999}
杭州,舟山,{'weight': 0.0428494301099999}
郑州,济源,{'weight': 0.0426251459699999}
湖州,宁波,{'weight': 0.0426074012999999}
泰安,菏泽,{'weight': 0.0424598800499999}
自贡,乐山,{'weight': 0.0418466760299999}
张家口,锡林郭勒盟,{'weight': 0.0416733846299999}
洛阳,济源,{'weight': 0.0416584295999998}
来宾,贵港,{'weight': 0.0415079332199999}
