0,1,2
苏州,上海,{'weight': 0.4567743243899999}
苏州,无锡,{'weight': 0.25032980016}
长沙,邵阳,{'weight': 0.1493166425399999}
苏州,盐城,{'weight': 0.1189902149999999}
西安,宝鸡,{'weight': 0.1105449136199999}
郑州,商丘,{'weight': 0.1068854251499999}
苏州,南通,{'weight': 0.1028251421999999}
成都,巴中,{'weight': 0.0921473925299999}
邵阳,娄底,{'weight': 0.0866213133299999}
成都,达州,{'weight': 0.0864080775899999}
成都,自贡,{'weight': 0.0829237743}
滁州,合肥,{'weight': 0.08192265885}
阜阳,合肥,{'weight': 0.0772811417699999}
郑州,焦作,{'weight': 0.0750004660799999}
嘉兴,苏州,{'weight': 0.0706639050899999}
咸阳,宝鸡,{'weight': 0.068651955}
南京,扬州,{'weight': 0.0677355096599999}
周口,许昌,{'weight': 0.0656715818699999}
沈阳,本溪,{'weight': 0.0647230337999999}
凉山彝族自治州,成都,{'weight': 0.06283474236}
来宾,南宁,{'weight': 0.0625048139699999}
杭州,上海,{'weight': 0.0616246558199999}
呼和浩特,乌兰察布,{'weight': 0.0605952997199999}
马鞍山,合肥,{'weight': 0.06037934562}
昆明,文山壮族苗族自治州,{'weight': 0.0600960254399998}
合肥,芜湖,{'weight': 0.0592206794999999}
南充,广安,{'weight': 0.0582225108299999}
柳州,河池,{'weight': 0.0581755259699999}
鄂尔多斯,包头,{'weight': 0.05807972646}
鄂尔多斯,乌海,{'weight': 0.0571189012199999}
滨州,东营,{'weight': 0.0568834253099999}
贵阳,六盘水,{'weight': 0.0562593259799999}
广州,珠海,{'weight': 0.05619711312}
周口,漯河,{'weight': 0.05416900434}
湘西土家族苗族自治州,怀化,{'weight': 0.0535726985399999}
柳州,桂林,{'weight': 0.05348393955}
济南,淄博,{'weight': 0.0530291844899999}
宿州,蚌埠,{'weight': 0.0529558673399999}
曲靖,昭通,{'weight': 0.0525412737}
沈阳,阜新,{'weight': 0.0523230961499999}
上海,无锡,{'weight': 0.0506021952599999}
柳州,南宁,{'weight': 0.05037252381}
金华,绍兴,{'weight': 0.05001580872}
德州,衡水,{'weight': 0.04971400758}
哈尔滨,绥化,{'weight': 0.0493011870299999}
定西,临夏回族自治州,{'weight': 0.0492511768199999}
天水,定西,{'weight': 0.0490285256399999}
潮州,揭阳,{'weight': 0.04890217455}
洛阳,三门峡,{'weight': 0.0486985478399999}
武汉,孝感,{'weight': 0.0481323197699999}
宁波,舟山,{'weight': 0.04792310163}
驻马店,漯河,{'weight': 0.0477390064499999}
大理白族自治州,保山,{'weight': 0.04770436275}
烟台,威海,{'weight': 0.04753339038}
凉山彝族自治州,攀枝花,{'weight': 0.0470609594999999}
曲靖,红河哈尼族彝族自治州,{'weight': 0.0466976404799999}
湖州,苏州,{'weight': 0.04615047252}
清远,韶关,{'weight': 0.04603041918}
大理白族自治州,临沧,{'weight': 0.0455528771999999}
曲靖,黔西南布依族苗族自治州,{'weight': 0.04514194476}
文山壮族苗族自治州,百色,{'weight': 0.0449563364999999}
丽水,温州,{'weight': 0.0449261348399998}
衡水,沧州,{'weight': 0.0448886042999999}
济南,滨州,{'weight': 0.04463543718}
淮北,亳州,{'weight': 0.0445693751999999}
东莞,中山,{'weight': 0.0445213195199999}
延安,西安,{'weight': 0.0444962743199999}
营口,大连,{'weight': 0.0441952337699999}
贺州,梧州,{'weight': 0.0438162404399999}
洛阳,平顶山,{'weight': 0.0434037592799999}
揭阳,汕尾,{'weight': 0.0431675535599999}
芜湖,宣城,{'weight': 0.04310443917}
重庆,恩施土家族苗族自治州,{'weight': 0.04178587743}
鞍山,盘锦,{'weight': 0.0408675755699999}
