0,1,2
四平,长春,{'weight': 0.29532446829}
潍坊,青岛,{'weight': 0.24807323979}
郑州,新乡,{'weight': 0.2351564703}
济南,泰安,{'weight': 0.20385665847}
青岛,烟台,{'weight': 0.2024435154599999}
嘉兴,上海,{'weight': 0.1861491990599999}
长春,吉林,{'weight': 0.1820750902199999}
长春,松原,{'weight': 0.1753451890199999}
临沂,日照,{'weight': 0.1736090479799999}
上海,南通,{'weight': 0.1599204797099999}
聊城,濮阳,{'weight': 0.1273976788499999}
郑州,焦作,{'weight': 0.1235551263299999}
安阳,鹤壁,{'weight': 0.12241327905}
泰安,济宁,{'weight': 0.1180120306499999}
安阳,濮阳,{'weight': 0.11579422149}
新乡,安阳,{'weight': 0.11051760204}
绥化,大庆,{'weight': 0.1077253838099999}
深圳,汕尾,{'weight': 0.1005180823799999}
深圳,河源,{'weight': 0.0984556563299999}
新乡,焦作,{'weight': 0.0966270910499999}
深圳,梅州,{'weight': 0.0944838958499999}
深圳,揭阳,{'weight': 0.0931090293899999}
徐州,临沂,{'weight': 0.0887801682599999}
临沂,枣庄,{'weight': 0.0859470053399999}
广州,衡阳,{'weight': 0.08275552839}
无锡,上海,{'weight': 0.0817190734499999}
广州,赣州,{'weight': 0.0814306283999999}
赣州,吉安,{'weight': 0.0813155379299999}
临沂,青岛,{'weight': 0.0806532641099999}
临沂,潍坊,{'weight': 0.0794908452599999}
郑州,南阳,{'weight': 0.0786882219299999}
金华,上饶,{'weight': 0.0778192482599999}
临沂,连云港,{'weight': 0.0772703493299999}
荆州,宜昌,{'weight': 0.0745515203399999}
青岛,日照,{'weight': 0.0724793175899999}
济宁,临沂,{'weight': 0.0716540636699999}
深圳,茂名,{'weight': 0.0716537169899999}
济南,临沂,{'weight': 0.0711250243199999}
上海,盐城,{'weight': 0.06303703905}
潍坊,日照,{'weight': 0.0627002864099999}
邯郸,天津,{'weight': 0.0616973654699999}
宜昌,恩施土家族苗族自治州,{'weight': 0.0608921849699999}
温州,宁德,{'weight': 0.0596640662099999}
上海,宁波,{'weight': 0.0588906701099999}
武威,兰州,{'weight': 0.05828043231}
钦州,防城港,{'weight': 0.0578713175099999}
金华,台州,{'weight': 0.0562411819799999}
深圳,汕头,{'weight': 0.0545773253399999}
重庆,遂宁,{'weight': 0.0542269128599999}
金华,温州,{'weight': 0.05301118062}
嘉兴,宁波,{'weight': 0.0528043884299999}
宜春,新余,{'weight': 0.0527925429899999}
重庆,恩施土家族苗族自治州,{'weight': 0.0527573719799999}
东莞,江门,{'weight': 0.0515008327499999}
沧州,石家庄,{'weight': 0.05098670145}
清远,东莞,{'weight': 0.0509378714099999}
长沙,郴州,{'weight': 0.05050126683}
济南,青岛,{'weight': 0.0501962977799999}
长沙,萍乡,{'weight': 0.0494902863899999}
常州,泰州,{'weight': 0.0486593365499999}
阜阳,六安,{'weight': 0.04841931249}
承德,唐山,{'weight': 0.0478447705799999}
南阳,平顶山,{'weight': 0.0477616337999999}
六安,淮南,{'weight': 0.0477221009399999}
合肥,铜陵,{'weight': 0.04769205156}
嘉兴,绍兴,{'weight': 0.0473270493599998}
濮阳,邯郸,{'weight': 0.0471270741299999}
宜春,萍乡,{'weight': 0.0471077475299999}
贵港,梧州,{'weight': 0.04691216007}
荆州,潜江,{'weight': 0.0465576384599999}
佛山,惠州,{'weight': 0.04649611896}
盘锦,营口,{'weight': 0.04600652904}
泰安,临沂,{'weight': 0.0455398507799999}
宣城,南京,{'weight': 0.0454656596399999}
信阳,六安,{'weight': 0.0449230041899999}
铁岭,四平,{'weight': 0.04478661153}
保山,临沧,{'weight': 0.0444434550299999}
长春,哈尔滨,{'weight': 0.0442066248}
池州,铜陵,{'weight': 0.04416536826}
新乡,开封,{'weight': 0.04337290719}
南京,上海,{'weight': 0.0432001552499999}
衢州,上饶,{'weight': 0.0431515997999999}
怀化,邵阳,{'weight': 0.0427544543699999}
深圳,江门,{'weight': 0.0425673621899999}
泸州,自贡,{'weight': 0.0424235685599999}
南昌,赣州,{'weight': 0.04206819321}
株洲,萍乡,{'weight': 0.0416395323}
长治,晋中,{'weight': 0.04144497273}
滁州,扬州,{'weight': 0.0404723538899999}
