0,1,2
广州,湛江,{'weight': 0.2098952279099999}
南充,成都,{'weight': 0.1618373665799999}
成都,遂宁,{'weight': 0.1038570992099999}
广州,惠州,{'weight': 0.0867452425199999}
成都,乐山,{'weight': 0.08523520488}
重庆,成都,{'weight': 0.0834167240999999}
达州,重庆,{'weight': 0.0703741308299999}
宜春,南昌,{'weight': 0.0687190262399999}
株洲,湘潭,{'weight': 0.0633332042099999}
广州,中山,{'weight': 0.0614816324999999}
益阳,岳阳,{'weight': 0.0580305311099999}
衡阳,株洲,{'weight': 0.05465968047}
南通,盐城,{'weight': 0.0533321609399999}
烟台,威海,{'weight': 0.0532021365}
泸州,重庆,{'weight': 0.0510431503499999}
娄底,湘潭,{'weight': 0.0505108920599998}
呼和浩特,包头,{'weight': 0.04612395069}
淄博,潍坊,{'weight': 0.0451881949499999}
达州,巴中,{'weight': 0.0438758183699999}
濮阳,聊城,{'weight': 0.04314504204}
重庆,恩施土家族苗族自治州,{'weight': 0.0413135834399999}
