0,1,2
济南,烟台,{'weight': 0.1075280953499999}
石家庄,唐山,{'weight': 0.09121944519}
武汉,十堰,{'weight': 0.0875288535299999}
深圳,上海,{'weight': 0.0873105374699999}
沈阳,长春,{'weight': 0.0866419602299999}
重庆,上海,{'weight': 0.08607458439}
湘西土家族苗族自治州,长沙,{'weight': 0.08409894012}
北京,青岛,{'weight': 0.08372679291}
恩施土家族苗族自治州,武汉,{'weight': 0.0836609933699999}
北京,呼和浩特,{'weight': 0.08335145511}
青岛,威海,{'weight': 0.0833502012299999}
昆明,保山,{'weight': 0.0831012493499999}
重庆,广州,{'weight': 0.0826000148699999}
宁波,温州,{'weight': 0.08231300271}
北京,武汉,{'weight': 0.0809862729299999}
石家庄,廊坊,{'weight': 0.0808703554499999}
长沙,张家界,{'weight': 0.0801057275999999}
长春,延边朝鲜族自治州,{'weight': 0.07995849228}
重庆,北京,{'weight': 0.0796224192299999}
北京,大同,{'weight': 0.0795584186999999}
杭州,南京,{'weight': 0.0786619349999999}
杭州,上饶,{'weight': 0.0784765041299999}
金华,上饶,{'weight': 0.0776525688899999}
平凉,兰州,{'weight': 0.0776121482699999}
张家口,石家庄,{'weight': 0.0775704599999999}
济南,东营,{'weight': 0.0773921425499999}
哈尔滨,黑河,{'weight': 0.07727534622}
南京,连云港,{'weight': 0.0762448301999999}
武汉,天门,{'weight': 0.07616526876}
合肥,池州,{'weight': 0.0760394951999999}
北京,长春,{'weight': 0.0760195367999999}
北京,杭州,{'weight': 0.07591307121}
广州,郴州,{'weight': 0.0758065392}
太原,朔州,{'weight': 0.0751554919799999}
合肥,铜陵,{'weight': 0.0747319162499999}
北京,南京,{'weight': 0.0743067448199999}
菏泽,青岛,{'weight': 0.07410063951}
沈阳,哈尔滨,{'weight': 0.0738458880299998}
南昌,景德镇,{'weight': 0.0724451720399999}
厦门,莆田,{'weight': 0.0718193603699999}
永州,郴州,{'weight': 0.0713469019499999}
苏州,宁波,{'weight': 0.0711851052599999}
张家口,保定,{'weight': 0.0711791339399999}
广州,南宁,{'weight': 0.0691530396299999}
漳州,福州,{'weight': 0.0690864584399999}
阜阳,上海,{'weight': 0.0689073544799999}
丹东,大连,{'weight': 0.0688444919999999}
唐山,廊坊,{'weight': 0.06882918057}
济宁,青岛,{'weight': 0.0687533119199999}
昆明,西双版纳傣族自治州,{'weight': 0.0683975121299999}
滨州,潍坊,{'weight': 0.06838586757}
兰州,陇南,{'weight': 0.0681965883899999}
贺州,桂林,{'weight': 0.0681647756399999}
锡林郭勒盟,呼和浩特,{'weight': 0.0681232801499999}
淄博,临沂,{'weight': 0.0674192184299999}
上海,武汉,{'weight': 0.0673976756699999}
六安,淮南,{'weight': 0.0671063834699999}
新乡,开封,{'weight': 0.0668061035099999}
成都,上海,{'weight': 0.0665672806799999}
深圳,长沙,{'weight': 0.0665627114699999}
清远,深圳,{'weight': 0.0665017379099999}
昆明,临沧,{'weight': 0.0660621176999999}
佳木斯,鹤岗,{'weight': 0.0657304316099999}
昆明,重庆,{'weight': 0.06571752588}
合肥,宣城,{'weight': 0.0654679178999999}
