0,1,2
淄博,滨州,{'weight': 0.06700529871}
株洲,湘潭,{'weight': 0.0633332042099999}
衡阳,郴州,{'weight': 0.0620673564599999}
广州,中山,{'weight': 0.0614816324999999}
益阳,常德,{'weight': 0.0613927884599999}
益阳,岳阳,{'weight': 0.0580305311099999}
衡阳,株洲,{'weight': 0.05465968047}
南通,盐城,{'weight': 0.0533321609399999}
烟台,威海,{'weight': 0.0532021365}
济宁,菏泽,{'weight': 0.05194531782}
娄底,湘潭,{'weight': 0.0505108920599998}
呼和浩特,包头,{'weight': 0.04612395069}
淄博,潍坊,{'weight': 0.0451881949499999}
周口,阜阳,{'weight': 0.0440191624499999}
濮阳,聊城,{'weight': 0.04314504204}
重庆,恩施土家族苗族自治州,{'weight': 0.0413135834399999}
