0,1,2
榆林,吕梁,{'weight': 0.1002988656}
鄂尔多斯,巴彦淖尔,{'weight': 0.09723104811}
长治,晋中,{'weight': 0.09138511692}
张家口,大同,{'weight': 0.07989014934}
菏泽,青岛,{'weight': 0.07410063951}
乌兰察布,包头,{'weight': 0.0722665646099999}
大同,乌兰察布,{'weight': 0.0681870182399999}
忻州,朔州,{'weight': 0.0675824779799999}
佛山,贵港,{'weight': 0.06752618541}
苏州,连云港,{'weight': 0.0611344592099999}
开封,菏泽,{'weight': 0.06084854865}
开封,许昌,{'weight': 0.0608228756999999}
运城,三门峡,{'weight': 0.0607120547399999}
太原,晋城,{'weight': 0.0592052741099999}
宿州,商丘,{'weight': 0.0587846978099999}
佛山,韶关,{'weight': 0.0586389294}
北京,菏泽,{'weight': 0.0584322740999999}
天津,衡水,{'weight': 0.0583103780099999}
淮北,亳州,{'weight': 0.0581827681799999}
保定,邯郸,{'weight': 0.0577365910199999}
深圳,赣州,{'weight': 0.0569757086099999}
连云港,日照,{'weight': 0.0567264294899999}
佛山,茂名,{'weight': 0.0564845934599999}
张家口,乌兰察布,{'weight': 0.05499736704}
济南,日照,{'weight': 0.05444857017}
邯郸,濮阳,{'weight': 0.05425598781}
韶关,深圳,{'weight': 0.0542067438599999}
巴彦淖尔,乌海,{'weight': 0.0540585130499999}
张家口,天津,{'weight': 0.0536348490299999}
渭南,运城,{'weight': 0.05310780147}
驻马店,阜阳,{'weight': 0.0527018464799999}
江门,阳江,{'weight': 0.0524682886499999}
庆阳,兰州,{'weight': 0.05200734924}
沧州,滨州,{'weight': 0.0514870068599999}
天津,承德,{'weight': 0.05134723164}
阜新,锦州,{'weight': 0.0509383906199999}
周口,亳州,{'weight': 0.0507229111799999}
吕梁,临汾,{'weight': 0.0507055010399999}
蚌埠,淮南,{'weight': 0.05015425392}
乌兰察布,锡林郭勒盟,{'weight': 0.0495546417}
南阳,洛阳,{'weight': 0.0494556985799999}
大理白族自治州,临沧,{'weight': 0.0489790176299999}
扬州,盐城,{'weight': 0.0489665420099999}
巴中,南充,{'weight': 0.0489309595199999}
长治,邯郸,{'weight': 0.0487310847299999}
长治,临汾,{'weight': 0.0486250306199999}
渭南,铜川,{'weight': 0.0485401588199999}
天津,济南,{'weight': 0.0485038853999999}
张家口,锡林郭勒盟,{'weight': 0.04831206606}
濮阳,菏泽,{'weight': 0.04818148758}
葫芦岛,朝阳,{'weight': 0.0481396454099999}
西安,平凉,{'weight': 0.0477478751399998}
常州,南通,{'weight': 0.04774740858}
石家庄,阳泉,{'weight': 0.04759509213}
徐州,淮北,{'weight': 0.0474225726599999}
鄂尔多斯,忻州,{'weight': 0.04736222442}
延安,渭南,{'weight': 0.0473591577599999}
常德,荆州,{'weight': 0.0471345431399999}
驻马店,平顶山,{'weight': 0.0469603826099999}
绍兴,台州,{'weight': 0.04684861719}
赤峰,承德,{'weight': 0.0466788160799999}
楚雄彝族自治州,大理白族自治州,{'weight': 0.0466752237299998}
武威,金昌,{'weight': 0.0466610843699999}
钦州,玉林,{'weight': 0.04655282868}
镇江,泰州,{'weight': 0.04601213343}
来宾,贵港,{'weight': 0.0459635277599999}
吉林,延边朝鲜族自治州,{'weight': 0.0457140509999999}
深圳,肇庆,{'weight': 0.0457136840699999}
嘉兴,金华,{'weight': 0.0454326416099999}
北京,烟台,{'weight': 0.0454250024999999}
哈尔滨,吉林,{'weight': 0.0452767619699999}
郑州,济源,{'weight': 0.0447363890999999}
天津,滨州,{'weight': 0.0446782489199999}
上海,宿迁,{'weight': 0.04467577032}
临沂,菏泽,{'weight': 0.04420056114}
洛阳,济源,{'weight': 0.0441647785799999}
清远,肇庆,{'weight': 0.04388033655}
庆阳,平凉,{'weight': 0.0436907382299999}
扬州,南通,{'weight': 0.04359339081}
昆明,凉山彝族自治州,{'weight': 0.0429740939699999}
信阳,阜阳,{'weight': 0.0429313016699999}
自贡,乐山,{'weight': 0.0429194457}
重庆,自贡,{'weight': 0.0427176892799999}
通辽,阜新,{'weight': 0.0423931992299999}
绥化,齐齐哈尔,{'weight': 0.04233564468}
聊城,泰安,{'weight': 0.04187158191}
石家庄,太原,{'weight': 0.04184693604}
北海,玉林,{'weight': 0.0415544029199999}
蚌埠,亳州,{'weight': 0.04149723474}
聊城,菏泽,{'weight': 0.0407601347399999}
