0,1,2
杭州,绍兴,{'weight': 0.22285586538}
长春,四平,{'weight': 0.1974785167799999}
杭州,嘉兴,{'weight': 0.1575318212999999}
郑州,开封,{'weight': 0.15674306598}
湖州,杭州,{'weight': 0.13664830815}
镇江,南京,{'weight': 0.1342998306}
长春,松原,{'weight': 0.13297073643}
周口,郑州,{'weight': 0.1290932785799999}
太原,晋中,{'weight': 0.11819030112}
杭州,金华,{'weight': 0.11751527952}
南昌,宜春,{'weight': 0.11370985983}
广州,茂名,{'weight': 0.1089945679499999}
长春,吉林,{'weight': 0.1073296016099999}
郑州,许昌,{'weight': 0.1056703311899999}
吕梁,太原,{'weight': 0.10553333508}
广州,肇庆,{'weight': 0.0950976814499999}
厦门,龙岩,{'weight': 0.0939718162799999}
成都,乐山,{'weight': 0.0914486063399999}
郑州,新乡,{'weight': 0.0909528199199999}
深圳,汕尾,{'weight': 0.0900396040499999}
杭州,衢州,{'weight': 0.0862374761999999}
玉林,南宁,{'weight': 0.0774935950499999}
宁波,台州,{'weight': 0.0772293511799999}
郑州,洛阳,{'weight': 0.0763014378599999}
广州,韶关,{'weight': 0.07560620676}
安庆,合肥,{'weight': 0.0750310905599999}
南京,滁州,{'weight': 0.07462656927}
泰州,无锡,{'weight': 0.0737448632099999}
九江,南昌,{'weight': 0.0723667024799999}
惠州,河源,{'weight': 0.0685158004799999}
忻州,太原,{'weight': 0.0680169611699999}
成都,广元,{'weight': 0.0654206641199999}
兰州,白银,{'weight': 0.0651526488899999}
眉山,乐山,{'weight': 0.0643997838599999}
南宁,贵港,{'weight': 0.0625826946599999}
南京,马鞍山,{'weight': 0.06243154866}
杭州,宁波,{'weight': 0.0611533759499999}
保山,德宏傣族景颇族自治州,{'weight': 0.06056084394}
昆明,大理白族自治州,{'weight': 0.0603886525199999}
南昌,抚州,{'weight': 0.0597776346899999}
周口,驻马店,{'weight': 0.0596257807499999}
泉州,三明,{'weight': 0.05813753697}
榆林,忻州,{'weight': 0.0576313355699999}
沈阳,锦州,{'weight': 0.0558874857599999}
南昌,上饶,{'weight': 0.0554184495899999}
贵阳,黔东南苗族侗族自治州,{'weight': 0.0534850678799999}
新乡,安阳,{'weight': 0.0529488211499999}
沈阳,鞍山,{'weight': 0.0526103091899999}
广元,绵阳,{'weight': 0.05220914373}
兰州,临夏回族自治州,{'weight': 0.05139039897}
安阳,鹤壁,{'weight': 0.0505638668699999}
湛江,玉林,{'weight': 0.05026656447}
大理白族自治州,丽江,{'weight': 0.0502266177}
上饶,景德镇,{'weight': 0.0499005732599999}
宿州,商丘,{'weight': 0.04878394938}
徐州,临沂,{'weight': 0.04874628033}
鞍山,营口,{'weight': 0.0486062118899999}
肇庆,云浮,{'weight': 0.04711194495}
鄂尔多斯,呼和浩特,{'weight': 0.04688396721}
铜仁,黔东南苗族侗族自治州,{'weight': 0.0460756301399999}
巴中,南充,{'weight': 0.0455435127899999}
安阳,濮阳,{'weight': 0.0443456855999999}
朝阳,赤峰,{'weight': 0.0438474319199999}
南充,广元,{'weight': 0.0435580002899999}
佛山,深圳,{'weight': 0.0434808890999999}
贵港,梧州,{'weight': 0.0434490893099999}
许昌,漯河,{'weight': 0.0432536014799999}
常德,张家界,{'weight': 0.0426960801}
周口,开封,{'weight': 0.0424161643499999}
驻马店,阜阳,{'weight': 0.04218106671}
周口,亳州,{'weight': 0.0408045219299999}
新乡,焦作,{'weight': 0.0402541018199999}
