0,1,2
邯郸,石家庄,{'weight': 0.12746761344}
厦门,龙岩,{'weight': 0.1065895904699999}
济南,菏泽,{'weight': 0.0972028933199999}
郑州,驻马店,{'weight': 0.0951899428799999}
西安,安康,{'weight': 0.0928628080199999}
济南,济宁,{'weight': 0.0850450079699999}
保定,廊坊,{'weight': 0.08133980796}
茂名,东莞,{'weight': 0.08079010875}
西安,铜川,{'weight': 0.0801136947599999}
郑州,安阳,{'weight': 0.07879394232}
广州,揭阳,{'weight': 0.07767025443}
苏州,泰州,{'weight': 0.0772099978499999}
东莞,中山,{'weight': 0.0769323306599999}
西安,汉中,{'weight': 0.07692764319}
苏州,常州,{'weight': 0.0765510944399999}
驻马店,漯河,{'weight': 0.0757966928399999}
深圳,中山,{'weight': 0.0750595167}
南京,宿迁,{'weight': 0.0750584053799998}
广州,珠海,{'weight': 0.0749973030299999}
洛阳,三门峡,{'weight': 0.07492542444}
太原,临汾,{'weight': 0.0735967806299999}
泸州,成都,{'weight': 0.07183131192}
周口,漯河,{'weight': 0.0716913009899999}
广州,梅州,{'weight': 0.07095582666}
杭州,台州,{'weight': 0.0703718458199999}
宁波,舟山,{'weight': 0.0701756678699999}
台州,温州,{'weight': 0.0701145144899999}
商丘,菏泽,{'weight': 0.0699904467899999}
徐州,济宁,{'weight': 0.0672119451}
晋城,长治,{'weight': 0.0670029723899999}
南京,常州,{'weight': 0.0668674682999999}
烟台,威海,{'weight': 0.06623769087}
漯河,平顶山,{'weight': 0.0657205909199999}
沧州,保定,{'weight': 0.0654657098399999}
佛山,云浮,{'weight': 0.06522001092}
合肥,亳州,{'weight': 0.0647725499099999}
无锡,盐城,{'weight': 0.0631298747699999}
渭南,咸阳,{'weight': 0.06303243744}
洛阳,平顶山,{'weight': 0.0629849973599999}
长治,太原,{'weight': 0.0627867692999999}
鞍山,营口,{'weight': 0.0623064814199999}
珠海,江门,{'weight': 0.0620488925099999}
苏州,南京,{'weight': 0.0619804353599999}
广州,云浮,{'weight': 0.0619355087099999}
杭州,温州,{'weight': 0.0616497293699999}
沧州,廊坊,{'weight': 0.0612721616399999}
济南,潍坊,{'weight': 0.0607617036899999}
重庆,南充,{'weight': 0.0606837152699999}
徐州,枣庄,{'weight': 0.0605012408999999}
阜阳,淮南,{'weight': 0.0598095357299999}
贵阳,黔西南布依族苗族自治州,{'weight': 0.0597192280199999}
北海,钦州,{'weight': 0.0591898541399999}
惠州,汕尾,{'weight': 0.0586393303499998}
金华,宁波,{'weight': 0.0584291863799999}
重庆,资阳,{'weight': 0.0580150593}
天水,兰州,{'weight': 0.0576963567}
周口,开封,{'weight': 0.0576191045699999}
郑州,漯河,{'weight': 0.05616922158}
聊城,邢台,{'weight': 0.05584086216}
聊城,邯郸,{'weight': 0.0556043939999999}
怀化,长沙,{'weight': 0.0554931688499999}
驻马店,阜阳,{'weight': 0.0553128944399999}
南京,无锡,{'weight': 0.0549749138399999}
广州,汕头,{'weight': 0.0548342670599999}
盐城,连云港,{'weight': 0.05269522716}
海西蒙古族藏族自治州,西宁,{'weight': 0.0526849012799999}
驻马店,信阳,{'weight': 0.0526373170199999}
厦门,福州,{'weight': 0.0524455543799999}
南宁,桂林,{'weight': 0.0521857007099999}
周口,亳州,{'weight': 0.0515724407999999}
通辽,赤峰,{'weight': 0.0515710856699999}
成都,广安,{'weight': 0.0515211038099999}
大连,营口,{'weight': 0.05130504441}
无锡,南通,{'weight': 0.0512698118399999}
南京,盐城,{'weight': 0.0512290558799999}
晋中,阳泉,{'weight': 0.0510684166799999}
宿州,合肥,{'weight': 0.0509536655999999}
杭州,苏州,{'weight': 0.0508310931599999}
淮北,亳州,{'weight': 0.0506506324499999}
天水,陇南,{'weight': 0.0502561640699999}
湖州,宣城,{'weight': 0.0502311553199999}
蚌埠,合肥,{'weight': 0.0499038286499999}
南宁,防城港,{'weight': 0.0494654615099999}
清远,韶关,{'weight': 0.0493509024}
泉州,三明,{'weight': 0.0490876540199999}
丽水,温州,{'weight': 0.0484994352599999}
长沙,永州,{'weight': 0.0484930759499999}
广州,阳江,{'weight': 0.0483376426199999}
南充,绵阳,{'weight': 0.0474408632699999}
东莞,河源,{'weight': 0.0471510306899999}
衡阳,株洲,{'weight': 0.0469895604299999}
南京,南通,{'weight': 0.0467997158699999}
佛山,茂名,{'weight': 0.04666983642}
广州,河源,{'weight': 0.04638330297}
开封,许昌,{'weight': 0.0460140442199999}
开封,菏泽,{'weight': 0.0456510030299999}
衡水,保定,{'weight': 0.0452140874099999}
驻马店,南阳,{'weight': 0.0450898188299999}
镇江,扬州,{'weight': 0.0446588324099999}
广州,汕尾,{'weight': 0.0444454889399999}
沈阳,大连,{'weight': 0.0442246392}
潍坊,烟台,{'weight': 0.04385483694}
绵阳,遂宁,{'weight': 0.0437100858899999}
安庆,池州,{'weight': 0.0436692335399999}
常德,张家界,{'weight': 0.04347527823}
北海,南宁,{'weight': 0.0434710467899999}
德州,滨州,{'weight': 0.04317712938}
沈阳,营口,{'weight': 0.0428019082199999}
龙岩,漳州,{'weight': 0.0424379306699999}
衡水,邢台,{'weight': 0.0421974789299999}
百色,河池,{'weight': 0.0420809336999999}
达州,广安,{'weight': 0.0415602964799999}
鄂尔多斯,巴彦淖尔,{'weight': 0.0412928409599999}
南昌,吉安,{'weight': 0.0409554160199999}
