0,1,2
上海,南通,{'weight': 0.1129168633499999}
张家口,北京,{'weight': 0.08726992812}
深圳,梅州,{'weight': 0.0784916082}
绍兴,杭州,{'weight': 0.0775635020999999}
成都,自贡,{'weight': 0.07403469093}
成都,广元,{'weight': 0.0738753436799999}
佛山,肇庆,{'weight': 0.07033057065}
南宁,河池,{'weight': 0.0702603817199999}
安庆,合肥,{'weight': 0.0702000837}
南宁,崇左,{'weight': 0.0696233280599999}
南宁,百色,{'weight': 0.0687126458699999}
眉山,乐山,{'weight': 0.0673199691299999}
西安,宝鸡,{'weight': 0.0649367320499999}
宁德,福州,{'weight': 0.0645360088499999}
南宁,钦州,{'weight': 0.0627422168699999}
滁州,合肥,{'weight': 0.0595627911}
杭州,嘉兴,{'weight': 0.05103879012}
深圳,河源,{'weight': 0.0509633256599999}
南通,盐城,{'weight': 0.05095354572}
西安,商洛,{'weight': 0.05091542145}
郑州,许昌,{'weight': 0.0506118933899999}
周口,阜阳,{'weight': 0.0476519217299999}
扬州,泰州,{'weight': 0.0450718173899999}
绥化,大庆,{'weight': 0.0446065687799999}
菏泽,济宁,{'weight': 0.0439941698999999}
曲靖,六盘水,{'weight': 0.0431657464499999}
达州,广安,{'weight': 0.0426956070599999}
重庆,恩施土家族苗族自治州,{'weight': 0.0423505997099998}
广安,南充,{'weight': 0.04208038371}
芜湖,马鞍山,{'weight': 0.04194236052}
巴中,南充,{'weight': 0.0418947381899999}
