0,1,2
阜阳,上海,{'weight': 0.35989978563}
重庆,深圳,{'weight': 0.2647842663599998}
宿迁,苏州,{'weight': 0.2641257946799999}
恩施土家族苗族自治州,武汉,{'weight': 0.12516315858}
武汉,深圳,{'weight': 0.1189467439199999}
龙岩,泉州,{'weight': 0.0913127660999999}
重庆,自贡,{'weight': 0.0906322121999999}
平凉,兰州,{'weight': 0.0902060663399999}
蚌埠,亳州,{'weight': 0.0878540385599999}
重庆,武汉,{'weight': 0.0877466074499999}
重庆,巴中,{'weight': 0.08595807075}
淮北,合肥,{'weight': 0.0826336922399999}
广州,武汉,{'weight': 0.0763249740299999}
钦州,玉林,{'weight': 0.07568855865}
淄博,临沂,{'weight': 0.0709162379099999}
蚌埠,淮南,{'weight': 0.07050757752}
江门,阳江,{'weight': 0.0704108481299999}
芜湖,铜陵,{'weight': 0.0694896958799999}
长春,白山,{'weight': 0.0670392749699999}
亳州,淮南,{'weight': 0.0666844739099999}
衡阳,湘潭,{'weight': 0.0642635021699999}
滁州,扬州,{'weight': 0.06250687623}
泸州,内江,{'weight': 0.0622945736099999}
遂宁,资阳,{'weight': 0.0617702225399999}
北海,玉林,{'weight': 0.0616073558399999}
宿州,宿迁,{'weight': 0.0616002505199999}
黄石,咸宁,{'weight': 0.0610968679199999}
扬州,盐城,{'weight': 0.0607245384599999}
梧州,玉林,{'weight': 0.0598568251499999}
内江,眉山,{'weight': 0.0593771650199999}
南阳,洛阳,{'weight': 0.0587089012499999}
来宾,贵港,{'weight': 0.0583136439299998}
自贡,乐山,{'weight': 0.0575383572899999}
重庆,德阳,{'weight': 0.0573123543299999}
龙岩,三明,{'weight': 0.05686815033}
郴州,株洲,{'weight': 0.0562810218299999}
遂宁,德阳,{'weight': 0.0559596502799999}
周口,洛阳,{'weight': 0.0553207992299999}
泸州,毕节,{'weight': 0.05529609666}
铜仁,湘西土家族苗族自治州,{'weight': 0.0545367880799999}
遵义,黔东南苗族侗族自治州,{'weight': 0.0545035148999999}
揭阳,汕尾,{'weight': 0.0542166938999999}
抚州,赣州,{'weight': 0.0538748512199999}
重庆,毕节,{'weight': 0.0524444722199999}
株洲,萍乡,{'weight': 0.0518611742099999}
运城,三门峡,{'weight': 0.05164239483}
怀化,常德,{'weight': 0.0515385520199999}
梅州,揭阳,{'weight': 0.0507932418599999}
九江,宜春,{'weight': 0.05075351622}
昭通,重庆,{'weight': 0.05051891835}
黔南布依族苗族自治州,河池,{'weight': 0.05048380161}
渭南,铜川,{'weight': 0.0504400551299999}
岳阳,咸宁,{'weight': 0.0501377720399999}
新余,吉安,{'weight': 0.0500850880199999}
延安,渭南,{'weight': 0.0494830474199999}
安康,汉中,{'weight': 0.04935397959}
淮北,商丘,{'weight': 0.0492929865899999}
庆阳,平凉,{'weight': 0.0492683966099999}
葫芦岛,朝阳,{'weight': 0.0484965224999999}
桂林,来宾,{'weight': 0.0483940720799999}
南阳,十堰,{'weight': 0.0483303696299999}
韶关,赣州,{'weight': 0.0482013641699999}
安康,十堰,{'weight': 0.0480710870099999}
宿州,亳州,{'weight': 0.0477925782299999}
清远,肇庆,{'weight': 0.0477690315299999}
保定,唐山,{'weight': 0.04762503702}
娄底,衡阳,{'weight': 0.0472194197999999}
孝感,天门,{'weight': 0.0471222497699999}
驻马店,平顶山,{'weight': 0.0470794331699999}
徐州,淮北,{'weight': 0.0467599108499999}
南昌,鹰潭,{'weight': 0.0466443594899999}
上饶,抚州,{'weight': 0.0464068407599999}
兴安盟,齐齐哈尔,{'weight': 0.04572698103}
齐齐哈尔,绥化,{'weight': 0.0454866718499999}
渭南,运城,{'weight': 0.0451043364599999}
黄冈,孝感,{'weight': 0.0446767058699999}
百色,崇左,{'weight': 0.0444362889599999}
桂林,梧州,{'weight': 0.04440707307}
抚州,鹰潭,{'weight': 0.04438356687}
信阳,南阳,{'weight': 0.0443682991799999}
通化,白山,{'weight': 0.0442928120399999}
潜江,仙桃,{'weight': 0.0440112406499999}
牡丹江,鸡西,{'weight': 0.0436951357199999}
扬州,南通,{'weight': 0.0432976265999999}
贺州,永州,{'weight': 0.04277057418}
重庆,荆州,{'weight': 0.04244217021}
宿迁,盐城,{'weight': 0.0422850253499999}
昆明,德宏傣族景颇族自治州,{'weight': 0.0422375245199999}
哈尔滨,吉林,{'weight': 0.0418673358899999}
赤峰,承德,{'weight': 0.0410487636599999}
