city_name,点数量,边数量,city_around_list_name
天津,10,26,"[('唐山', '北京'), ('唐山', '天津'), ('唐山', '石家庄'), ('唐山', '廊坊'), ('天津', '北京'), ('天津', '廊坊'), ('天津', '沧州'), ('天津', '保定'), ('天津', '邯郸'), ('天津', '石家庄'), ('天津', '德州'), ('天津', '内蒙古自治区'), ('北京', '廊坊'), ('北京', '保定'), ('北京', '邯郸'), ('北京', '石家庄'), ('北京', '沧州'), ('北京', '内蒙古自治区'), ('沧州', '石家庄'), ('沧州', '保定'), ('沧州', '廊坊'), ('沧州', '德州'), ('邯郸', '石家庄'), ('保定', '石家庄'), ('保定', '廊坊'), ('石家庄', '廊坊')]"
石家庄,10,30,"[('天津', '北京'), ('天津', '廊坊'), ('天津', '唐山'), ('天津', '沧州'), ('天津', '保定'), ('天津', '邯郸'), ('天津', '石家庄'), ('衡水', '北京'), ('衡水', '石家庄'), ('衡水', '邢台'), ('衡水', '保定'), ('衡水', '沧州'), ('北京', '廊坊'), ('北京', '保定'), ('北京', '邯郸'), ('北京', '唐山'), ('北京', '石家庄'), ('北京', '沧州'), ('北京', '邢台'), ('沧州', '石家庄'), ('沧州', '保定'), ('沧州', '廊坊'), ('唐山', '石家庄'), ('唐山', '廊坊'), ('邯郸', '石家庄'), ('邯郸', '邢台'), ('保定', '石家庄'), ('保定', '廊坊'), ('邢台', '石家庄'), ('石家庄', '廊坊')]"
太原,11,17,"[('忻州', '太原'), ('忻州', '朔州'), ('运城', '太原'), ('运城', '临汾'), ('阳泉', '太原'), ('阳泉', '晋中'), ('太原', '北京'), ('太原', '晋中'), ('太原', '吕梁'), ('太原', '临汾'), ('太原', '长治'), ('太原', '大同'), ('太原', '朔州'), ('晋中', '长治'), ('晋中', '吕梁'), ('晋中', '临汾'), ('大同', '朔州')]"
呼和浩特,5,7,"[('巴彦淖尔', '呼和浩特'), ('巴彦淖尔', '包头'), ('巴彦淖尔', '鄂尔多斯'), ('鄂尔多斯', '呼和浩特'), ('鄂尔多斯', '包头'), ('包头', '呼和浩特'), ('乌兰察布', '呼和浩特')]"
沈阳,19,32,"[('大连', '沈阳'), ('大连', '营口'), ('大连', '丹东'), ('大连', '鞍山'), ('鞍山', '沈阳'), ('鞍山', '辽阳'), ('鞍山', '营口'), ('鞍山', '盘锦'), ('朝阳', '内蒙古自治区'), ('朝阳', '沈阳'), ('本溪', '沈阳'), ('营口', '沈阳'), ('营口', '盘锦'), ('辽阳', '沈阳'), ('抚顺', '沈阳'), ('铁岭', '沈阳'), ('沈阳', '北京'), ('沈阳', '内蒙古自治区'), ('沈阳', '通辽'), ('沈阳', '锦州'), ('沈阳', '阜新'), ('沈阳', '丹东'), ('沈阳', '长春'), ('沈阳', '葫芦岛'), ('沈阳', '盘锦'), ('沈阳', '哈尔滨'), ('盘锦', '锦州'), ('长春', '内蒙古自治区'), ('长春', '哈尔滨'), ('锦州', '葫芦岛'), ('北京', '哈尔滨'), ('北京', '内蒙古自治区')]"
大连,5,8,"[('大连', '沈阳'), ('大连', '营口'), ('大连', '丹东'), ('大连', '鞍山'), ('沈阳', '鞍山'), ('沈阳', '营口'), ('沈阳', '丹东'), ('鞍山', '营口')]"
长春,11,14,"[('沈阳', '内蒙古自治区'), ('沈阳', '长春'), ('沈阳', '哈尔滨'), ('四平', '长春'), ('哈尔滨', '长春'), ('白城', '内蒙古自治区'), ('白城', '长春'), ('白城', '松原'), ('松原', '长春'), ('延边朝鲜族自治州', '长春'), ('辽源', '长春'), ('内蒙古自治区', '长春'), ('通化', '长春'), ('吉林', '长春')]"
哈尔滨,13,18,"[('鸡西', '哈尔滨'), ('沈阳', '北京'), ('沈阳', '长春'), ('沈阳', '哈尔滨'), ('双鸭山', '哈尔滨'), ('双鸭山', '佳木斯'), ('哈尔滨', '北京'), ('哈尔滨', '长春'), ('哈尔滨', '绥化'), ('哈尔滨', '齐齐哈尔'), ('哈尔滨', '大庆'), ('哈尔滨', '佳木斯'), ('哈尔滨', '牡丹江'), ('哈尔滨', '黑河'), ('哈尔滨', '伊春'), ('大庆', '齐齐哈尔'), ('大庆', '绥化'), ('齐齐哈尔', '黑河')]"
杭州,16,47,"[('金华', '上海'), ('金华', '杭州'), ('金华', '宁波'), ('金华', '温州'), ('金华', '绍兴'), ('金华', '丽水'), ('金华', '衢州'), ('金华', '台州'), ('金华', '上饶'), ('北京', '上海'), ('北京', '杭州'), ('杭州', '上海'), ('杭州', '南京'), ('杭州', '无锡'), ('杭州', '苏州'), ('杭州', '嘉兴'), ('杭州', '绍兴'), ('杭州', '湖州'), ('杭州', '宁波'), ('杭州', '温州'), ('杭州', '台州'), ('杭州', '衢州'), ('杭州', '丽水'), ('杭州', '上饶'), ('无锡', '上海'), ('无锡', '南京'), ('无锡', '苏州'), ('南京', '上海'), ('南京', '苏州'), ('上海', '苏州'), ('上海', '嘉兴'), ('上海', '宁波'), ('上海', '湖州'), ('上海', '绍兴'), ('上海', '温州'), ('上海', '台州'), ('台州', '宁波'), ('台州', '温州'), ('苏州', '嘉兴'), ('苏州', '湖州'), ('苏州', '宁波'), ('温州', '宁波'), ('温州', '丽水'), ('湖州', '嘉兴'), ('嘉兴', '宁波'), ('嘉兴', '绍兴'), ('绍兴', '宁波')]"
宁波,10,29,"[('金华', '上海'), ('金华', '杭州'), ('金华', '宁波'), ('金华', '温州'), ('金华', '绍兴'), ('金华', '台州'), ('杭州', '上海'), ('杭州', '苏州'), ('杭州', '嘉兴'), ('杭州', '绍兴'), ('杭州', '宁波'), ('杭州', '温州'), ('杭州', '台州'), ('上海', '苏州'), ('上海', '嘉兴'), ('上海', '宁波'), ('上海', '绍兴'), ('上海', '舟山'), ('上海', '温州'), ('上海', '台州'), ('台州', '宁波'), ('台州', '温州'), ('苏州', '嘉兴'), ('苏州', '宁波'), ('温州', '宁波'), ('舟山', '宁波'), ('绍兴', '宁波'), ('绍兴', '嘉兴'), ('宁波', '嘉兴')]"
合肥,19,45,"[('马鞍山', '南京'), ('马鞍山', '合肥'), ('马鞍山', '芜湖'), ('亳州', '浙江'), ('亳州', '合肥'), ('亳州', '阜阳'), ('安庆', '浙江'), ('安庆', '合肥'), ('安庆', '池州'), ('宣城', '上海'), ('宣城', '南京'), ('宣城', '浙江'), ('宣城', '合肥'), ('宣城', '芜湖'), ('苏州', '上海'), ('苏州', '南京'), ('苏州', '合肥'), ('苏州', '浙江'), ('宿州', '浙江'), ('宿州', '合肥'), ('宿州', '蚌埠'), ('上海', '南京'), ('上海', '合肥'), ('上海', '阜阳'), ('上海', '芜湖'), ('上海', '浙江'), ('池州', '合肥'), ('六安', '合肥'), ('滁州', '南京'), ('滁州', '合肥'), ('滁州', '蚌埠'), ('蚌埠', '合肥'), ('浙江', '南京'), ('浙江', '阜阳'), ('浙江', '合肥'), ('浙江', '黄山'), ('浙江', '芜湖'), ('芜湖', '南京'), ('芜湖', '合肥'), ('黄山', '合肥'), ('阜阳', '合肥'), ('阜阳', '淮南'), ('合肥', '南京'), ('合肥', '淮南'), ('合肥', '铜陵')]"
福州,10,20,"[('泉州', '浙江'), ('泉州', '福州'), ('泉州', '厦门'), ('泉州', '莆田'), ('泉州', '三明'), ('泉州', '漳州'), ('浙江', '宁德'), ('浙江', '福州'), ('浙江', '厦门'), ('龙岩', '福州'), ('龙岩', '厦门'), ('龙岩', '漳州'), ('三明', '福州'), ('厦门', '福州'), ('厦门', '漳州'), ('厦门', '莆田'), ('莆田', '福州'), ('宁德', '福州'), ('福州', '南平'), ('福州', '漳州')]"
厦门,7,15,"[('泉州', '浙江'), ('泉州', '福州'), ('泉州', '厦门'), ('泉州', '莆田'), ('泉州', '漳州'), ('浙江', '福州'), ('浙江', '厦门'), ('龙岩', '福州'), ('龙岩', '厦门'), ('龙岩', '漳州'), ('厦门', '福州'), ('厦门', '漳州'), ('厦门', '莆田'), ('莆田', '福州'), ('福州', '漳州')]"
南昌,9,12,"[('吉安', '南昌'), ('吉安', '赣州'), ('抚州', '南昌'), ('赣州', '南昌'), ('浙江', '上饶'), ('浙江', '南昌'), ('浙江', '九江'), ('九江', '南昌'), ('上饶', '南昌'), ('上饶', '景德镇'), ('景德镇', '南昌'), ('宜春', '南昌')]"
济南,15,36,"[('临沂', '济南'), ('临沂', '青岛'), ('临沂', '淄博'), ('临沂', '枣庄'), ('临沂', '潍坊'), ('临沂', '济宁'), ('临沂', '泰安'), ('滨州', '济南'), ('滨州', '淄博'), ('滨州', '东营'), ('滨州', '潍坊'), ('滨州', '德州'), ('菏泽', '济南'), ('菏泽', '青岛'), ('菏泽', '济宁'), ('泰安', '济南'), ('泰安', '济宁'), ('北京', '济南'), ('德州', '济南'), ('德州', '聊城'), ('济宁', '济南'), ('济宁', '枣庄'), ('东营', '济南'), ('东营', '淄博'), ('东营', '潍坊'), ('淄博', '济南'), ('淄博', '青岛'), ('淄博', '潍坊'), ('枣庄', '济南'), ('聊城', '济南'), ('青岛', '济南'), ('青岛', '潍坊'), ('青岛', '烟台'), ('济南', '潍坊'), ('济南', '烟台'), ('烟台', '潍坊')]"
青岛,10,26,"[('临沂', '济南'), ('临沂', '莱芜'), ('临沂', '青岛'), ('临沂', '淄博'), ('临沂', '潍坊'), ('临沂', '日照'), ('日照', '青岛'), ('日照', '潍坊'), ('菏泽', '济南'), ('菏泽', '莱芜'), ('菏泽', '青岛'), ('威海', '青岛'), ('威海', '烟台'), ('莱芜', '淄博'), ('莱芜', '潍坊'), ('莱芜', '青岛'), ('莱芜', '烟台'), ('淄博', '济南'), ('淄博', '青岛'), ('淄博', '潍坊'), ('青岛', '济南'), ('青岛', '潍坊'), ('青岛', '烟台'), ('济南', '潍坊'), ('济南', '烟台'), ('烟台', '潍坊')]"
郑州,20,48,"[('信阳', '浙江'), ('信阳', '郑州'), ('信阳', '驻马店'), ('商丘', '浙江'), ('商丘', '郑州'), ('商丘', '开封'), ('商丘', '周口'), ('周口', '浙江'), ('周口', '郑州'), ('周口', '开封'), ('周口', '许昌'), ('周口', '漯河'), ('周口', '驻马店'), ('新乡', '郑州'), ('新乡', '开封'), ('新乡', '安阳'), ('新乡', '鹤壁'), ('新乡', '焦作'), ('三门峡', '郑州'), ('三门峡', '洛阳'), ('鹤壁', '郑州'), ('鹤壁', '安阳'), ('漯河', '郑州'), ('漯河', '平顶山'), ('漯河', '许昌'), ('漯河', '驻马店'), ('驻马店', '郑州'), ('驻马店', '南阳'), ('郑州', '北京'), ('郑州', '浙江'), ('郑州', '开封'), ('郑州', '洛阳'), ('郑州', '许昌'), ('郑州', '焦作'), ('郑州', '南阳'), ('郑州', '平顶山'), ('郑州', '安阳'), ('郑州', '濮阳'), ('郑州', '西安'), ('西安', '北京'), ('西安', '浙江'), ('开封', '许昌'), ('濮阳', '安阳'), ('南阳', '平顶山'), ('洛阳', '平顶山'), ('洛阳', '焦作'), ('浙江', '北京'), ('平顶山', '许昌')]"
武汉,19,32,"[('孝感', '武汉'), ('仙桃', '武汉'), ('广州', '上海'), ('广州', '浙江'), ('广州', '武汉'), ('广州', '长沙'), ('广州', '深圳'), ('黄石', '武汉'), ('黄石', '鄂州'), ('黄石', '黄冈'), ('荆门', '武汉'), ('武汉', '上海'), ('武汉', '浙江'), ('武汉', '黄冈'), ('武汉', '鄂州'), ('武汉', '咸宁'), ('武汉', '荆州'), ('武汉', '襄阳'), ('武汉', '宜昌'), ('武汉', '随州'), ('武汉', '长沙'), ('武汉', '十堰'), ('武汉', '恩施土家族苗族自治州'), ('武汉', '深圳'), ('恩施土家族苗族自治州', '宜昌'), ('上海', '深圳'), ('上海', '浙江'), ('长沙', '浙江'), ('长沙', '深圳'), ('十堰', '襄阳'), ('浙江', '深圳'), ('荆州', '宜昌')]"
长沙,20,41,"[('湘西土家族苗族自治州', '长沙'), ('湘西土家族苗族自治州', '张家界'), ('湘西土家族苗族自治州', '怀化'), ('广州', '广西壮族自治区'), ('广州', '浙江'), ('广州', '武汉'), ('广州', '长沙'), ('广州', '衡阳'), ('广州', '郴州'), ('广州', '深圳'), ('衡阳', '长沙'), ('衡阳', '株洲'), ('衡阳', '永州'), ('衡阳', '郴州'), ('邵阳', '长沙'), ('邵阳', '娄底'), ('常德', '长沙'), ('常德', '益阳'), ('常德', '张家界'), ('益阳', '长沙'), ('益阳', '岳阳'), ('武汉', '浙江'), ('武汉', '长沙'), ('武汉', '深圳'), ('长沙', '广西壮族自治区'), ('长沙', '浙江'), ('长沙', '萍乡'), ('长沙', '岳阳'), ('长沙', '湘潭'), ('长沙', '株洲'), ('长沙', '娄底'), ('长沙', '永州'), ('长沙', '怀化'), ('长沙', '郴州'), ('长沙', '张家界'), ('长沙', '深圳'), ('永州', '广西壮族自治区'), ('株洲', '湘潭'), ('浙江', '深圳'), ('广西壮族自治区', '深圳'), ('湘潭', '娄底')]"
