City_name,Average_node_connectivity,City_degree,Edge_number,Nature_connectivity,Average_short_length,Algebraic_connectivity,node_connectivity,connectivity_loss,size_of_largest_component,eco_value
福州,1.8,5,8,1.5349760129092185,1.4666666666666666,1.0000000000000002,1,0.0,6,101.4
厦门,2.9523809523809526,6,14,2.40694116737906,1.3333333333333333,2.0000000000000058,2,0.0,7,101.7
南昌,1.5333333333333334,9,15,1.8144890955076751,1.6666666666666667,1.0000000000000044,1,0.0,10,101.6
济南,2.0545454545454547,10,21,2.463487488007301,1.6181818181818182,1.0000000000000129,1,0.0,11,101.3
青岛,2.7,4,8,1.7953171269628072,1.2,2.0000000000000018,2,0.0,5,101.8
郑州,1.2878787878787878,11,16,1.657776402042169,1.7575757575757576,1.0000000000000218,1,0.0,12,101.3
武汉,1.1794871794871795,12,16,1.5841105497635786,1.794871794871795,1.0000000000000135,1,0.0,13,102.1
长沙,1.3523809523809525,14,22,1.9954533100250094,1.7904761904761906,1.0000000000000344,1,0.0,15,101.3
南宁,2.1538461538461537,12,25,2.522256157635559,1.6794871794871795,1.0000000000000309,1,0.0,13,100.9
海口,1.0784313725490196,17,20,1.7071051064726732,1.869281045751634,1.000000000000033,1,0.0,18,100.5
贵阳,2.909090909090909,10,24,2.8308261741788643,1.5636363636363637,1.6372930972019324,2,0.0,11,101.4
昆明,1.2820512820512822,12,18,1.7592242963090958,1.7692307692307692,1.0000000000000098,1,0.0,13,102.2
拉萨,1.2820512820512822,0,18,1.7592242963090958,1.7692307692307692,1.0000000000000069,1,0.0,13,103.1
西安,1.3333333333333333,9,13,1.5282780792460449,1.711111111111111,1.0000000000000095,1,0.0,10,100.9
兰州,1.3333333333333333,0,13,1.5282780792460449,1.711111111111111,1.0000000000000069,1,0.0,10,102.0
西宁,1.3333333333333333,0,13,1.5282780792460449,1.711111111111111,1.0000000000000093,1,0.0,10,102.6
银川,1.5,3,4,0.9857443430533758,1.3333333333333333,1.0000000000000002,1,0.0,4,101.4
乌鲁木齐,1.0,1,1,0.4337808304830271,1.0,2.0,1,0.0,2,103.3
北京,1.5,3,4,0.9857443430533758,1.3333333333333333,1.0000000000000004,1,0.0,4,101.2
上海,3.91025641025641,12,41,4.476974373707922,1.4743589743589745,1.646051585808305,2,0.0,13,101.6
南京,2.8380952380952382,14,38,4.119786873388358,1.638095238095238,1.0000000000000178,1,0.0,15,101.8
广州,3.5555555555555554,8,22,3.348654237728528,1.3888888888888888,2.000000000000001,2,0.0,9,102.1
深圳,2.8333333333333335,11,28,3.4141723448873895,1.5757575757575757,1.0000000000000058,1,0.0,12,101.6
重庆,1.0,1,1,0.4337808304830271,1.0,2.0,1,0.0,2,102.5
成都,1.0701754385964912,18,22,1.762603979108864,1.871345029239766,1.000000000000008,1,0.0,19,101.7
天津,4.333333333333333,8,25,3.888216364652754,1.3055555555555556,1.9031170894975715,2,0.0,9,101.5
石家庄,4.933333333333334,9,30,4.1208015809050575,1.3333333333333333,3.0062624051725337,4,0.0,10,101.3
太原,1.5,3,4,0.9857443430533761,1.3333333333333333,1.0000000000000009,1,0.0,4,101.6
呼和浩特,1.0,1,1,0.4337808304830271,1.0,2.0,1,0.0,2,102.6
沈阳,1.2727272727272727,11,15,1.5873909912219175,1.7727272727272727,1.0000000000000304,1,0.0,12,101.7
大连,2.1666666666666665,3,5,1.2901694879307595,1.1666666666666667,2.0,2,0.0,4,101.9
长春,1.0,5,5,0.8082114824928227,1.6666666666666667,0.9999999999999998,1,0.0,6,101.7
哈尔滨,1.0,2,2,0.5796736792348084,1.3333333333333333,1.0000000000000002,1,0.0,3,101.4
杭州,3.633986928104575,17,56,5.048887013269193,1.6339869281045751,1.0000000000000056,1,0.0,18,101.4
宁波,5.022222222222222,9,32,4.543123429963194,1.288888888888889,3.000000000000004,3,0.0,10,102.2
合肥,1.9238095238095239,14,30,2.8434317619022096,1.7142857142857142,1.0000000000000306,1,0.0,15,102.0
福州,2.0714285714285716,7,13,1.9389621549006173,1.5357142857142858,1.0000000000000073,1,0.0,8,101.9
厦门,2.7,4,8,1.7953171269628072,1.2,2.0000000000000018,2,0.0,5,102.0
南昌,1.3571428571428572,7,10,1.3778855945631103,1.6428571428571428,1.0000000000000027,1,0.0,8,101.9
济南,3.131868131868132,13,35,3.4869704313897305,1.6153846153846154,1.317731381689586,2,0.0,14,101.6
青岛,3.8222222222222224,9,26,3.530514558073472,1.4222222222222223,1.8016115199354517,2,0.0,10,102.1
郑州,2.447619047619048,14,32,2.925873066822611,1.6952380952380952,1.1612557960728476,2,0.0,15,101.8
武汉,1.1923076923076923,12,16,1.6342099606888476,1.794871794871795,1.0000000000000027,1,0.0,13,102.9
长沙,1.4666666666666666,14,25,2.166638045977151,1.7619047619047619,1.0000000000000395,1,0.0,15,101.8
南宁,1.879120879120879,13,24,2.242819819802323,1.7362637362637363,1.0000000000000508,1,0.0,14,101.7
海口,1.0,10,10,1.0884600848053327,1.8181818181818181,1.0000000000000009,1,0.0,11,100.3
贵阳,1.7333333333333334,9,16,1.8885394249986063,1.6444444444444444,1.0000000000000036,1,0.0,10,102.5
昆明,1.4166666666666667,8,12,1.5435710894798305,1.6666666666666667,1.0000000000000038,1,0.0,9,102.8
拉萨,1.4166666666666667,0,12,1.5435710894798305,1.6666666666666667,1.0000000000000073,1,0.0,9,103.2
西安,1.1666666666666667,8,10,1.245917415590529,1.7222222222222223,1.0000000000000042,1,0.0,9,101.6
兰州,1.1666666666666667,0,10,1.245917415590529,1.7222222222222223,1.0000000000000016,1,0.0,9,102.0
西宁,1.0,2,2,0.5796736792348086,1.3333333333333333,1.0,1,0.0,3,102.9
银川,1.0,1,1,0.4337808304830271,1.0,2.0,1,0.0,2,102.2
乌鲁木齐,1.0,1,1,0.4337808304830271,1.0,2.0,1,0.0,2,104.0
北京,2.4285714285714284,6,12,1.9814624987451452,1.4285714285714286,1.4858630706647156,2,0.0,7,101.3
上海,3.121212121212121,11,31,3.521781075820412,1.5303030303030303,1.4785189114581678,2,0.0,12,101.8
南京,1.9743589743589745,12,25,2.8604565327649696,1.6794871794871795,1.0000000000000098,1,0.0,13,102.6
广州,1.9523809523809523,14,30,2.955807178951993,1.7142857142857142,1.0000000000000089,1,0.0,15,102.2
深圳,3.0714285714285716,7,17,2.685141560643658,1.3928571428571428,1.676595723913548,2,0.0,8,101.9
重庆,2.1666666666666665,3,5,1.2901694879307581,1.1666666666666667,2.000000000000001,2,0.0,4,102.7
成都,1.0849673202614378,17,21,1.7361391026837691,1.8627450980392157,1.0000000000000309,1,0.0,18,103.1
天津,5.424242424242424,11,43,5.354970701562139,1.3484848484848484,2.5947063720927472,3,0.0,12,102.5
石家庄,6.181818181818182,10,41,5.436744612542905,1.2545454545454546,4.153639552911356,5,0.0,11,102.4
太原,2.606060606060606,11,26,2.8686784123308495,1.606060606060606,1.3327594681605173,2,0.0,12,102.6
呼和浩特,2.7,4,8,1.7953171269628072,1.2,2.0000000000000018,2,0.0,5,102.9
沈阳,1.5454545454545454,10,16,1.8677712873982366,1.709090909090909,1.000000000000011,1,0.0,11,102.9
大连,1.5454545454545454,0,16,1.8677712873982366,1.709090909090909,1.0000000000000124,1,0.0,11,103.5
长春,1.2,5,6,1.0188341716605758,1.6,1.0000000000000016,1,0.0,6,102.2
哈尔滨,1.0,5,5,0.8082114824928223,1.6666666666666667,1.0,1,0.0,6,102.1
杭州,4.815217391304348,23,99,7.340830698875637,1.641304347826087,1.5884976478247712,2,0.0,24,102.4
宁波,6.8,10,44,6.021071709433008,1.2,3.0000000000000013,3,0.0,11,103.0
合肥,4.978947368421053,19,75,6.111768660518451,1.605263157894737,2.2124234766210686,3,0.0,20,102.7
福州,4.361111111111111,8,25,3.7873963475247674,1.3055555555555556,3.000000000000015,3,0.0,9,102.4
厦门,4.361111111111111,8,25,3.7873963475247674,1.3055555555555556,3.000000000000016,3,0.0,9,102.5
南昌,1.5333333333333334,9,15,1.8144890955076813,1.6666666666666667,1.0000000000000053,1,0.0,10,102.3
济南,3.6166666666666667,15,46,4.452672699633607,1.6166666666666667,1.615628512304152,2,0.0,16,102.1
青岛,5.5636363636363635,10,38,4.967921358677972,1.309090909090909,3.6785024697097946,4,0.0,11,102.7
郑州,3.0292397660818713,18,50,3.9927591587229947,1.7076023391812865,1.0000000000000273,1,0.0,19,101.8
武汉,1.8455882352941178,16,33,2.7254067992095448,1.7573529411764706,1.0000000000000373,1,0.0,17,103.5
长沙,3.497076023391813,18,54,4.338987652494071,1.6842105263157894,1.3511879035127348,2,0.0,19,102.2
南宁,3.295238095238095,14,40,3.9131537113510757,1.619047619047619,1.2113785470458567,2,0.0,15,102.0
海口,1.0,11,11,1.1421884473842552,1.8333333333333333,1.0,1,0.0,12,101.6
贵阳,1.0,3,3,0.6715602095137525,1.5,1.0000000000000004,1,0.0,4,104.6
昆明,1.5,12,21,2.0065655003956704,1.7307692307692308,1.0000000000000129,1,0.0,13,102.8
拉萨,1.5,0,21,2.0065655003956704,1.7307692307692308,1.0000000000000087,1,0.0,13,103.2
西安,1.4230769230769231,12,19,1.9328663417857446,1.7564102564102564,1.0000000000000244,1,0.0,13,102.4
兰州,1.2,5,6,1.0188341716605753,1.6,1.0000000000000002,1,0.0,6,103.2
西宁,1.2,0,6,1.0188341716605753,1.6,1.0000000000000013,1,0.0,6,103.0
银川,1.8214285714285714,7,12,1.7792130915273663,1.5714285714285714,1.0000000000000047,1,0.0,8,102.5
乌鲁木齐,1.0,1,1,0.4337808304830271,1.0,2.0,1,0.0,2,103.0
北京,3.4871794871794872,12,34,3.6189744480332395,1.564102564102564,1.4955526289163223,2,0.0,13,102.1
上海,4.5476190476190474,20,81,6.2397253175853,1.6142857142857143,1.8265017872002722,3,0.0,21,102.6
南京,4.757142857142857,20,78,6.265905442348933,1.6285714285714286,1.74287398767253,2,0.0,21,103.0
广州,3.9166666666666665,24,88,6.529667213969887,1.7066666666666668,1.0000000000000493,1,0.0,25,102.6
深圳,4.725274725274725,13,48,5.305196358256175,1.4725274725274726,2.707767221434122,3,0.0,14,102.5
重庆,1.0,4,4,0.7442576395400112,1.6,1.0000000000000007,1,0.0,5,103.5
成都,1.0,1,1,0.4337808304830271,1.0,2.0,1,0.0,2,104.2
天津,5.192982456140351,18,76,6.400368609268831,1.5555555555555556,2.344694621452457,3,0.0,19,102.2
石家庄,5.0,13,50,5.735655488965547,1.4505494505494505,1.000000000000006,1,0.0,14,101.9
太原,2.5757575757575757,11,26,2.8072951248434492,1.606060606060606,1.2680638587478463,2,0.0,12,102.6
呼和浩特,1.6785714285714286,7,12,1.7086817066857534,1.5714285714285714,1.0000000000000067,1,0.0,8,102.4
沈阳,2.5294117647058822,17,39,3.0138110343016455,1.7450980392156863,1.126985982329756,2,0.0,18,102.6
大连,2.6666666666666665,6,13,2.221298329108636,1.380952380952381,2.0000000000000027,2,0.0,7,103.0
长春,1.393939393939394,11,18,1.8524529726795618,1.7272727272727273,1.0000000000000044,1,0.0,12,101.8
哈尔滨,1.4916666666666667,15,28,2.3960417119273356,1.7666666666666666,1.0000000000000195,1,0.0,16,102.6
杭州,4.573122529644269,22,85,6.387655504927742,1.6640316205533596,1.7475726582623472,2,0.0,23,103.0
宁波,5.257575757575758,11,42,5.210285997116369,1.3636363636363635,3.3585175504700997,4,0.0,12,103.0
合肥,3.7666666666666666,20,65,5.01198501069253,1.6904761904761905,1.2476020130668515,2,0.0,21,102.5
福州,2.8333333333333335,8,19,2.881661724255723,1.4722222222222223,1.0000000000000058,1,0.0,9,102.5
厦门,4.4,5,14,2.9303497866197925,1.0666666666666667,4.000000000000002,4,0.0,6,102.3
南昌,1.8545454545454545,10,20,2.2564692596069515,1.6363636363636365,1.0000000000000104,1,0.0,11,102.2
济南,4.915032679738562,17,64,5.573067314645343,1.5816993464052287,2.3735543278145523,3,0.0,18,101.8
青岛,5.73202614379085,17,74,6.6306976624189575,1.5163398692810457,1.9082227323756502,2,0.0,18,102.6
郑州,2.9571428571428573,20,52,3.6995578422171724,1.7523809523809524,1.339229176214415,2,0.0,21,101.3
武汉,2.05,24,59,3.8892705766212594,1.8033333333333332,1.0000000000000804,1,0.0,25,102.9
长沙,3.272727272727273,22,66,4.739458701151223,1.7391304347826086,1.1892587538010568,2,0.0,23,102.0
南宁,2.4615384615384617,12,27,2.813154966872929,1.6538461538461537,1.000000000000035,1,0.0,13,102.0
海口,1.0,2,2,0.5796736792348086,1.3333333333333333,1.0,1,0.0,3,101.8
贵阳,4.010989010989011,13,39,3.7618793104966777,1.5714285714285714,1.8854273086062898,3,0.0,14,102.4
昆明,2.3006535947712417,17,36,2.7203203253918447,1.7647058823529411,1.079167132366154,2,0.0,18,102.4
拉萨,1.0,2,2,0.5796736792348086,1.3333333333333333,1.0000000000000004,1,0.0,3,102.9
西安,1.7523809523809524,20,45,3.2332814170344983,1.7857142857142858,1.0000000000001001,1,0.0,21,102.9
兰州,1.1944444444444444,8,10,1.2782007702350853,1.7222222222222223,1.000000000000007,1,0.0,9,103.4
西宁,1.4761904761904763,6,9,1.3766695444040262,1.5714285714285714,1.000000000000003,1,0.0,7,102.5
银川,1.8333333333333333,8,14,1.8830042148163357,1.6111111111111112,1.0000000000000098,1,0.0,9,102.2
乌鲁木齐,1.0,2,2,0.5796736792348086,1.3333333333333333,1.0000000000000002,1,0.0,3,102.2
北京,1.7292307692307691,25,53,3.590571565039297,1.8369230769230769,1.000000000000091,1,0.0,26,101.9
上海,3.926470588235294,16,56,5.241283781793523,1.588235294117647,1.763115238493059,2,0.0,17,102.4
南京,3.768421052631579,19,64,5.180133523375717,1.6631578947368422,1.2072702468718877,2,0.0,20,102.6
广州,2.5533596837944663,22,58,4.463178597096231,1.7707509881422925,1.0000000000000453,1,0.0,23,102.7
深圳,3.1333333333333333,14,40,4.223265768408193,1.619047619047619,2.0000000000000178,2,0.0,15,102.3
重庆,1.9090909090909092,10,19,2.152602553142216,1.6545454545454545,1.0000000000000187,1,0.0,11,102.8
成都,1.4142857142857144,20,35,2.540052110791874,1.8333333333333333,1.0000000000000513,1,0.0,21,103.1
天津,5.441666666666666,15,62,6.086934064177068,1.4833333333333334,2.4386388730927244,4,0.0,16,102.0
石家庄,5.747252747252747,13,54,6.038261720030599,1.4065934065934067,1.9894871863896046,2,0.0,14,101.8
太原,2.378787878787879,11,24,2.577176229871775,1.6363636363636365,1.2318939634034154,2,0.0,12,103.1
呼和浩特,2.1904761904761907,6,11,1.7020993058312737,1.4761904761904763,1.2679491924311266,2,0.0,7,102.6
沈阳,1.803921568627451,17,33,2.6542782494308095,1.7843137254901962,1.0000000000000744,1,0.0,18,102.4
大连,3.0,3,6,1.6671960885860428,1.0,4.000000000000001,3,0.0,4,102.8
长春,1.4393939393939394,11,19,1.91322844985021,1.7121212121212122,1.0000000000000115,1,0.0,12,102.4
哈尔滨,1.4333333333333333,15,27,2.2871108758395833,1.775,1.0000000000000153,1,0.0,16,102.9
杭州,3.3794466403162056,22,70,5.073881452607133,1.7233201581027668,1.4351840003895038,2,0.0,23,103.3
宁波,4.963636363636364,10,36,4.695310679342377,1.3454545454545455,2.7290850928481243,3,0.0,11,103.1
合肥,2.610526315789474,19,48,3.643014282680156,1.7473684210526317,1.1692416405986972,2,0.0,20,102.9
福州,3.3055555555555554,8,21,3.1976202332004537,1.4166666666666667,1.0000000000000024,1,0.0,9,103.6
厦门,3.9642857142857144,7,20,3.2732608123364355,1.2857142857142858,2.697224362268016,3,0.0,8,102.6
南昌,1.5357142857142858,7,11,1.520545852438488,1.6071428571428572,1.0000000000000053,1,0.0,8,102.3
济南,3.9084967320261437,17,55,4.559405275692019,1.6405228758169934,1.7552889837216126,3,0.0,18,102.0
青岛,5.282051282051282,12,46,5.174417216205146,1.4102564102564104,3.3186693563950413,4,0.0,13,102.6
郑州,2.526315789473684,18,42,3.1559071486160626,1.7543859649122806,1.1476560038676227,2,0.0,19,101.8
武汉,2.03,24,57,3.7575465305318803,1.81,1.000000000000071,1,0.0,25,102.8
长沙,3.3766233766233764,21,63,4.83187129363965,1.7272727272727273,1.2250053866181971,2,0.0,22,102.5
南宁,3.450980392156863,17,51,4.437643253289393,1.6666666666666667,1.1891443399114592,2,0.0,18,102.3
海口,1.032967032967033,13,14,1.3391746361775236,1.8461538461538463,1.0000000000000056,1,0.0,14,102.0
贵阳,4.076923076923077,13,38,3.6502455684300825,1.5824175824175823,1.8996823615826155,3,0.0,14,102.3
昆明,2.0588235294117645,17,34,2.583422152704405,1.7777777777777777,1.0000000000000937,1,0.0,18,102.2
拉萨,1.0,8,8,0.9799094311519359,1.7777777777777777,1.0000000000000009,1,0.0,9,102.3
西安,1.378787878787879,11,16,1.7069147151743578,1.7575757575757576,1.0000000000000315,1,0.0,12,103.0
兰州,1.4666666666666666,5,7,1.241466949850766,1.5333333333333334,1.0000000000000047,1,0.0,6,103.7
西宁,1.0,5,5,0.8082114824928227,1.6666666666666667,1.0000000000000004,1,0.0,6,102.5
银川,1.8214285714285714,7,12,1.7792130915273663,1.5714285714285714,1.0000000000000042,1,0.0,8,102.1
乌鲁木齐,2.7333333333333334,15,37,3.417725990729456,1.6916666666666667,1.507267848539902,2,0.0,16,101.4
北京,2.425,15,35,3.336769947978928,1.7083333333333333,1.000000000000026,1,0.0,16,102.1
上海,3.2857142857142856,6,15,2.632549679512189,1.2857142857142858,2.0000000000000018,2,0.0,7,102.9
南京,1.7820512820512822,12,24,2.461707352105758,1.6923076923076923,1.0000000000000164,1,0.0,13,102.7
广州,2.41897233201581,22,56,4.298280690837692,1.7786561264822134,1.000000000000018,1,0.0,23,103.2
深圳,3.1868131868131866,13,37,4.050674029975726,1.5934065934065933,2.000000000000017,2,0.0,14,102.8
重庆,2.0303030303030303,11,21,2.3601974614786068,1.6818181818181819,1.000000000000024,1,0.0,12,102.7
成都,1.3896103896103895,21,35,2.59888152847943,1.8484848484848484,1.0000000000000298,1,0.0,22,103.3
天津,2.9444444444444446,8,19,2.7158992470426067,1.4722222222222223,1.6812151491342484,2,0.0,9,102.2
石家庄,2.7818181818181817,10,23,2.747281966719735,1.5818181818181818,1.000000000000004,1,0.0,11,101.7
太原,2.5636363636363635,10,23,2.695524323234892,1.5818181818181818,1.4444558697271601,2,0.0,11,103.0
呼和浩特,1.5,3,4,0.9857443430533761,1.3333333333333333,1.0,1,0.0,4,102.5
沈阳,1.5333333333333334,14,24,2.254690656327655,1.7714285714285714,1.000000000000024,1,0.0,15,102.1
大连,3.0,3,6,1.6671960885860428,1.0,4.0,3,0.0,4,102.8
长春,1.25,8,11,1.3592781027961227,1.6944444444444444,1.0000000000000007,1,0.0,9,102.6
