city_name,点数量,边数量,city_around_list_name
天津,16,62,"[('张家口', '北京'), ('张家口', '天津'), ('张家口', '石家庄'), ('张家口', '保定'), ('张家口', '承德'), ('滨州', '天津'), ('滨州', '沧州'), ('滨州', '济南'), ('滨州', '莱芜'), ('滨州', '德州'), ('衡水', '北京'), ('衡水', '天津'), ('衡水', '石家庄'), ('衡水', '保定'), ('衡水', '沧州'), ('衡水', '廊坊'), ('衡水', '德州'), ('唐山', '北京'), ('唐山', '天津'), ('唐山', '石家庄'), ('唐山', '秦皇岛'), ('唐山', '承德'), ('唐山', '廊坊'), ('唐山', '保定'), ('唐山', '沧州'), ('天津', '北京'), ('天津', '廊坊'), ('天津', '沧州'), ('天津', '邯郸'), ('天津', '保定'), ('天津', '德州'), ('天津', '秦皇岛'), ('天津', '石家庄'), ('天津', '承德'), ('天津', '济南'), ('天津', '莱芜'), ('北京', '廊坊'), ('北京', '保定'), ('北京', '承德'), ('北京', '邯郸'), ('北京', '石家庄'), ('北京', '沧州'), ('北京', '秦皇岛'), ('北京', '济南'), ('北京', '德州'), ('北京', '莱芜'), ('沧州', '石家庄'), ('沧州', '保定'), ('沧州', '廊坊'), ('沧州', '德州'), ('莱芜', '德州'), ('德州', '济南'), ('承德', '石家庄'), ('承德', '秦皇岛'), ('邯郸', '石家庄'), ('邯郸', '保定'), ('保定', '石家庄'), ('保定', '秦皇岛'), ('保定', '廊坊'), ('秦皇岛', '石家庄'), ('秦皇岛', '廊坊'), ('石家庄', '廊坊')]"
石家庄,14,54,"[('忻州', '石家庄'), ('忻州', '保定'), ('张家口', '北京'), ('张家口', '天津'), ('张家口', '石家庄'), ('张家口', '保定'), ('张家口', '承德'), ('衡水', '北京'), ('衡水', '天津'), ('衡水', '石家庄'), ('衡水', '邢台'), ('衡水', '保定'), ('衡水', '沧州'), ('衡水', '廊坊'), ('天津', '北京'), ('天津', '廊坊'), ('天津', '唐山'), ('天津', '沧州'), ('天津', '邯郸'), ('天津', '保定'), ('天津', '秦皇岛'), ('天津', '石家庄'), ('天津', '承德'), ('北京', '廊坊'), ('北京', '保定'), ('北京', '承德'), ('北京', '邯郸'), ('北京', '石家庄'), ('北京', '唐山'), ('北京', '沧州'), ('北京', '邢台'), ('北京', '秦皇岛'), ('沧州', '石家庄'), ('沧州', '唐山'), ('沧州', '保定'), ('沧州', '廊坊'), ('唐山', '石家庄'), ('唐山', '秦皇岛'), ('唐山', '承德'), ('唐山', '廊坊'), ('唐山', '保定'), ('承德', '石家庄'), ('承德', '秦皇岛'), ('邯郸', '石家庄'), ('邯郸', '邢台'), ('邯郸', '保定'), ('保定', '石家庄'), ('保定', '秦皇岛'), ('保定', '邢台'), ('保定', '廊坊'), ('邢台', '石家庄'), ('秦皇岛', '石家庄'), ('秦皇岛', '廊坊'), ('石家庄', '廊坊')]"
太原,12,24,"[('忻州', '太原'), ('忻州', '大同'), ('忻州', '朔州'), ('忻州', '晋中'), ('运城', '太原'), ('运城', '临汾'), ('阳泉', '太原'), ('阳泉', '晋中'), ('太原', '北京'), ('太原', '晋中'), ('太原', '吕梁'), ('太原', '临汾'), ('太原', '长治'), ('太原', '大同'), ('太原', '朔州'), ('太原', '晋城'), ('晋中', '长治'), ('晋中', '吕梁'), ('晋中', '临汾'), ('北京', '大同'), ('吕梁', '临汾'), ('长治', '晋城'), ('长治', '临汾'), ('大同', '朔州')]"
呼和浩特,7,11,"[('锡林郭勒盟', '呼和浩特'), ('锡林郭勒盟', '赤峰'), ('锡林郭勒盟', '乌兰察布'), ('北京', '赤峰'), ('北京', '呼和浩特'), ('鄂尔多斯', '呼和浩特'), ('鄂尔多斯', '包头'), ('包头', '呼和浩特'), ('包头', '乌兰察布'), ('赤峰', '呼和浩特'), ('乌兰察布', '呼和浩特')]"
沈阳,18,33,"[('辽阳', '沈阳'), ('辽阳', '鞍山'), ('抚顺', '沈阳'), ('沈阳', '北京'), ('沈阳', '通辽'), ('沈阳', '铁岭'), ('沈阳', '鞍山'), ('沈阳', '营口'), ('沈阳', '锦州'), ('沈阳', '本溪'), ('沈阳', '大连'), ('沈阳', '阜新'), ('沈阳', '朝阳'), ('沈阳', '盘锦'), ('沈阳', '葫芦岛'), ('沈阳', '长春'), ('沈阳', '哈尔滨'), ('沈阳', '丹东'), ('鞍山', '大连'), ('鞍山', '营口'), ('鞍山', '盘锦'), ('锦州', '葫芦岛'), ('锦州', '盘锦'), ('锦州', '阜新'), ('锦州', '朝阳'), ('大连', '营口'), ('葫芦岛', '北京'), ('葫芦岛', '朝阳'), ('北京', '哈尔滨'), ('北京', '长春'), ('哈尔滨', '长春'), ('盘锦', '营口'), ('通辽', '阜新')]"
大连,4,6,"[('大连', '沈阳'), ('大连', '营口'), ('大连', '鞍山'), ('沈阳', '鞍山'), ('沈阳', '营口'), ('鞍山', '营口')]"
长春,12,19,"[('白山', '长春'), ('白山', '通化'), ('沈阳', '北京'), ('沈阳', '长春'), ('沈阳', '哈尔滨'), ('四平', '长春'), ('四平', '松原'), ('北京', '哈尔滨'), ('北京', '长春'), ('哈尔滨', '长春'), ('白城', '长春'), ('白城', '松原'), ('松原', '长春'), ('延边朝鲜族自治州', '长春'), ('延边朝鲜族自治州', '吉林'), ('辽源', '长春'), ('辽源', '通化'), ('通化', '长春'), ('吉林', '长春')]"
哈尔滨,16,27,"[('呼伦贝尔', '齐齐哈尔'), ('呼伦贝尔', '哈尔滨'), ('沈阳', '北京'), ('沈阳', '长春'), ('沈阳', '哈尔滨'), ('鸡西', '哈尔滨'), ('鸡西', '牡丹江'), ('鹤岗', '哈尔滨'), ('鹤岗', '佳木斯'), ('双鸭山', '哈尔滨'), ('双鸭山', '佳木斯'), ('哈尔滨', '北京'), ('哈尔滨', '长春'), ('哈尔滨', '绥化'), ('哈尔滨', '大庆'), ('哈尔滨', '齐齐哈尔'), ('哈尔滨', '佳木斯'), ('哈尔滨', '牡丹江'), ('哈尔滨', '黑河'), ('哈尔滨', '伊春'), ('哈尔滨', '七台河'), ('北京', '长春'), ('大庆', '齐齐哈尔'), ('大庆', '绥化'), ('绥化', '齐齐哈尔'), ('绥化', '伊春'), ('黑河', '齐齐哈尔')]"
杭州,23,70,"[('信阳', '杭州'), ('信阳', '阜阳'), ('宣城', '南京'), ('宣城', '杭州'), ('宣城', '湖州'), ('宣城', '合肥'), ('苏州', '上海'), ('苏州', '南京'), ('苏州', '嘉兴'), ('苏州', '湖州'), ('苏州', '杭州'), ('苏州', '宁波'), ('苏州', '合肥'), ('苏州', '绍兴'), ('舟山', '上海'), ('舟山', '杭州'), ('舟山', '宁波'), ('湖州', '上海'), ('湖州', '杭州'), ('湖州', '宁波'), ('湖州', '嘉兴'), ('湖州', '绍兴'), ('衢州', '杭州'), ('衢州', '金华'), ('衢州', '上饶'), ('杭州', '北京'), ('杭州', '上海'), ('杭州', '南京'), ('杭州', '嘉兴'), ('杭州', '绍兴'), ('杭州', '金华'), ('杭州', '宁波'), ('杭州', '台州'), ('杭州', '温州'), ('杭州', '丽水'), ('杭州', '上饶'), ('杭州', '阜阳'), ('杭州', '黄山'), ('杭州', '合肥'), ('杭州', '重庆'), ('杭州', '成都'), ('上海', '嘉兴'), ('上海', '宁波'), ('上海', '绍兴'), ('上海', '合肥'), ('上海', '南京'), ('上海', '阜阳'), ('上海', '成都'), ('上饶', '金华'), ('丽水', '温州'), ('丽水', '金华'), ('宁波', '绍兴'), ('宁波', '台州'), ('宁波', '金华'), ('宁波', '温州'), ('宁波', '嘉兴'), ('金华', '温州'), ('金华', '嘉兴'), ('金华', '绍兴'), ('金华', '台州'), ('成都', '北京'), ('成都', '重庆'), ('黄山', '合肥'), ('阜阳', '合肥'), ('合肥', '南京'), ('重庆', '北京'), ('北京', '南京'), ('台州', '温州'), ('台州', '绍兴'), ('绍兴', '嘉兴')]"
宁波,11,36,"[('金华', '杭州'), ('金华', '宁波'), ('金华', '温州'), ('金华', '嘉兴'), ('金华', '绍兴'), ('金华', '台州'), ('杭州', '上海'), ('杭州', '苏州'), ('杭州', '嘉兴'), ('杭州', '绍兴'), ('杭州', '湖州'), ('杭州', '宁波'), ('杭州', '台州'), ('杭州', '温州'), ('杭州', '舟山'), ('上海', '苏州'), ('上海', '嘉兴'), ('上海', '宁波'), ('上海', '湖州'), ('上海', '舟山'), ('上海', '绍兴'), ('台州', '宁波'), ('台州', '温州'), ('台州', '绍兴'), ('苏州', '嘉兴'), ('苏州', '湖州'), ('苏州', '宁波'), ('苏州', '绍兴'), ('温州', '宁波'), ('舟山', '宁波'), ('湖州', '宁波'), ('湖州', '嘉兴'), ('湖州', '绍兴'), ('绍兴', '宁波'), ('绍兴', '嘉兴'), ('宁波', '嘉兴')]"
