city_name,degree_superNode,degree_origion,edgenum
张家口,7,3,4
天津,13,11,3
乌兰察布,4,2,3
北京,42,39,3
临沂,13,11,3
济南,18,16,3
玉林,7,4,3
菏泽,6,4,3
南通,8,6,2
梧州,5,4,2
滨州,7,6,2
荆州,6,4,2
深圳,23,21,2
吉林,3,1,2
扬州,10,9,2
重庆,21,19,2
自贡,5,4,2
朝阳,4,2,2
南阳,5,3,2
巴彦淖尔,4,2,2
锦州,5,4,2
日照,5,4,2
蚌埠,5,3,2
梅州,5,3,2
包头,5,5,2
石家庄,14,12,2
亳州,5,3,2
内江,6,4,2
衡阳,7,5,2
渭南,4,2,2
南充,8,6,2
开封,6,5,2
洛阳,6,5,2
济源,3,2,2
运城,5,4,2
泰安,5,4,2
大理白族自治州,5,3,2
大同,5,5,2
邯郸,8,6,2
绍兴,7,5,2
常州,8,8,1
桂林,5,5,1
常德,4,4,1
潍坊,10,9,1
济宁,8,8,1
肇庆,5,5,1
哈尔滨,12,12,1
盐城,8,8,1
锡林郭勒盟,3,3,1
葫芦岛,4,4,1
信阳,5,5,1
乐山,3,3,1
延边朝鲜族自治州,2,2,1
驻马店,6,5,1
阜阳,7,7,1
鄂尔多斯,5,5,1
江门,7,6,1
阳江,3,3,1
乌海,2,2,1
淮南,4,4,1
惠州,7,7,1
阜新,2,2,1
东营,5,4,1
青岛,11,11,1
忻州,3,2,1
朔州,3,3,1
厦门,8,8,1
南京,20,20,1
佛山,12,11,1
茂名,7,7,1
来宾,3,2,1
贵港,4,4,1
北海,3,3,1
阳泉,3,3,1
周口,8,8,1
泸州,5,5,1
抚州,2,1,1
赣州,4,4,1
兴安盟,3,2,1
齐齐哈尔,5,5,1
安康,2,1,1
汉中,2,2,1
河源,5,5,1
湘潭,4,4,1
铜川,2,2,1
绵阳,6,6,1
湖州,6,5,1
宁波,10,10,1
上海,39,39,1
连云港,6,6,1
达州,5,5,1
许昌,5,5,1
巴中,3,3,1
新余,3,2,1
吉安,4,4,1
杭州,18,17,1
舟山,3,3,1
榆林,5,4,1
吕梁,3,3,1
百色,5,4,1
崇左,2,2,1
三门峡,3,3,1
楚雄彝族自治州,2,2,1
郑州,21,21,1
聊城,7,7,1
嘉兴,7,6,1
金华,10,10,1
临沧,3,3,1
濮阳,4,4,1
邵阳,4,4,1
台州,6,6,1
龙岩,5,4,1
三明,5,5,1
仙桃,2,2,1
沧州,9,9,1
烟台,5,5,1
钦州,4,4,1
淮北,3,3,1
眉山,3,3,1
威海,3,3,1
保定,10,10,1
宿州,5,4,1
商丘,6,6,1
太原,11,11,1
温州,8,8,1
