city_name,degree_superNode,degree_origion,edgenum
上海,12,8,4
苏州,13,10,3
南京,15,12,3
沈阳,10,8,2
哈尔滨,4,2,2
白城,2,[],2
宁波,9,8,2
徐州,7,6,2
珠海,5,3,2
营口,4,4,1
佳木斯,1,1,1
镇江,4,4,1
湖州,5,5,1
南昌,6,5,1
吉安,2,2,1
合肥,12,12,1
长春,5,5,1
绍兴,5,5,1
温州,6,6,1
葫芦岛,2,1,1
秦皇岛,2,2,1
大庆,2,2,1
北海,2,1,1
南宁,11,11,1
宿迁,4,4,1
焦作,3,2,1
洛阳,4,4,1
连云港,4,4,1
松原,2,2,1
舟山,2,2,1
鞍山,4,3,1
盘锦,3,3,1
三明,3,2,1
南平,2,2,1
佛山,10,10,1
保定,6,5,1
天津,6,6,1
泰州,7,7,1
广州,20,19,1
河源,4,4,1
淄博,4,3,1
临沂,10,10,1
贺州,1,[],1
梧州,2,2,1
乌兰察布,2,1,1
大同,2,2,1
朝阳,2,2,1
常州,6,6,1
深圳,13,13,1
