city_name,degree_superNode,degree_origion,edgenum
菏泽,9,4,5
深圳,23,20,3
天津,15,12,3
上海,36,34,3
承德,5,3,3
百色,4,1,3
石家庄,13,11,3
肇庆,6,4,3
张家口,7,5,2
锡林郭勒盟,4,3,2
通辽,4,2,2
重庆,19,17,2
自贡,5,4,2
通化,3,1,2
邯郸,9,7,2
濮阳,5,5,2
铜陵,4,2,2
聊城,8,7,2
渭南,5,3,2
阜新,3,2,2
黔西南布依族苗族自治州,5,4,2
平凉,3,1,2
洛阳,6,4,2
济源,3,2,2
韶关,5,4,2
吉林,3,1,2
信阳,5,3,2
乌兰察布,5,5,2
滨州,7,6,2
怀化,5,3,2
曲靖,6,5,2
临沧,3,1,2
驻马店,7,5,2
揭阳,6,4,2
阜阳,8,8,2
庆阳,3,2,2
玉林,6,4,2
亳州,6,4,2
蚌埠,5,4,2
赣州,4,4,1
巴中,3,2,1
南充,7,7,1
宜春,5,4,1
吉安,3,3,1
兴安盟,2,2,1
徐州,10,9,1
淮北,4,4,1
辽源,2,2,1
北京,40,39,1
烟台,5,5,1
定西,3,2,1
临夏回族自治州,2,2,1
绥化,3,2,1
齐齐哈尔,5,5,1
湘西土家族苗族自治州,4,3,1
张家界,3,3,1
池州,3,3,1
乐山,3,3,1
赤峰,5,5,1
临沂,11,11,1
泰安,4,4,1
鄂尔多斯,6,5,1
忻州,4,4,1
白山,2,2,1
铜川,2,2,1
锦州,4,4,1
株洲,4,3,1
萍乡,3,3,1
西安,19,19,1
文山壮族苗族自治州,3,3,1
青岛,10,10,1
长沙,20,20,1
南阳,4,4,1
宿迁,5,5,1
运城,5,5,1
嘉兴,7,6,1
金华,10,10,1
广州,29,29,1
长治,5,5,1
郴州,5,5,1
绍兴,6,5,1
台州,6,6,1
镇江,7,6,1
泰州,9,9,1
郑州,21,21,1
哈尔滨,12,12,1
芜湖,6,6,1
六安,5,5,1
河池,3,3,1
达州,4,3,1
广安,4,4,1
铜仁,5,5,1
毕节,6,6,1
大理白族自治州,5,5,1
平顶山,6,6,1
昆明,15,14,1
凉山彝族自治州,4,4,1
清远,6,6,1
汕尾,4,4,1
延边朝鲜族自治州,2,2,1
保山,4,4,1
来宾,3,2,1
贵港,5,5,1
孝感,2,1,1
随州,2,2,1
东莞,12,12,1
葫芦岛,4,3,1
朝阳,3,3,1
钦州,4,4,1
常德,4,3,1
荆州,5,5,1
武威,2,1,1
金昌,1,1,1
黔东南苗族侗族自治州,4,4,1
梅州,3,3,1
周口,8,8,1
太原,12,12,1
阳泉,3,3,1
开封,6,6,1
北海,3,3,1
益阳,4,3,1
娄底,4,4,1
兰州,10,10,1
淮南,4,4,1
扬州,10,9,1
常州,8,8,1
沧州,9,9,1
