city_name,degree_superNode,degree_origion,edgenum
杭州,6,[],6
郑州,5,[],5
周口,6,3,4
南昌,4,[],4
广元,3,[],3
太原,3,[],3
南京,3,[],3
广州,11,8,3
新乡,3,1,3
长春,3,[],3
安阳,4,2,3
开封,3,3,2
玉林,4,2,2
宁波,3,2,2
驻马店,2,1,2
上饶,3,2,2
南宁,6,5,2
贵港,3,2,2
许昌,3,2,2
忻州,2,1,2
大理白族自治州,2,[],2
南充,3,2,2
鞍山,3,1,2
成都,10,9,2
深圳,5,3,2
肇庆,3,2,2
黔东南苗族侗族自治州,3,1,2
乐山,2,1,2
兰州,3,1,2
沈阳,5,4,2
绵阳,3,3,1
衢州,2,2,1
泰州,4,3,1
无锡,3,3,1
绍兴,2,2,1
常德,3,2,1
张家界,1,1,1
晋中,2,2,1
湛江,3,3,1
台州,1,1,1
吕梁,3,3,1
阜阳,3,3,1
滁州,1,1,1
漯河,1,1,1
丽江,1,1,1
巴中,2,2,1
韶关,1,1,1
焦作,1,1,1
营口,1,1,1
抚州,1,1,1
佛山,7,7,1
朝阳,1,[],1
赤峰,1,1,1
金华,3,3,1
鄂尔多斯,3,2,1
呼和浩特,1,1,1
景德镇,1,1,1
厦门,3,2,1
龙岩,1,1,1
贵阳,6,6,1
惠州,4,3,1
河源,1,1,1
松原,1,1,1
榆林,4,4,1
四平,1,1,1
白银,1,1,1
宜春,1,1,1
嘉兴,4,4,1
保山,1,[],1
德宏傣族景颇族自治州,1,1,1
亳州,3,3,1
徐州,3,2,1
临沂,2,2,1
泉州,5,4,1
三明,2,2,1
濮阳,2,2,1
云浮,1,1,1
眉山,2,2,1
汕尾,1,1,1
马鞍山,2,2,1
昆明,6,6,1
镇江,2,2,1
安庆,1,[],1
合肥,3,3,1
湖州,2,2,1
宿州,3,2,1
商丘,4,4,1
九江,1,1,1
吉林,1,1,1
茂名,3,3,1
临夏回族自治州,1,1,1
洛阳,1,1,1
铜仁,4,4,1
梧州,1,1,1
锦州,3,3,1
鹤壁,1,1,1
