city_name,degree_superNode,degree_origion,edgenum
重庆,28,20,8
武汉,19,16,4
玉林,7,4,3
渭南,5,2,3
扬州,8,5,3
抚州,4,1,3
亳州,8,5,3
南阳,6,3,3
淮北,5,2,3
宿迁,6,3,3
来宾,4,2,2
衡阳,8,6,2
咸宁,3,1,2
深圳,16,16,2
运城,5,4,2
赣州,5,4,2
白山,2,[],2
齐齐哈尔,6,4,2
平凉,2,[],2
盐城,9,9,2
遂宁,6,4,2
德阳,4,4,2
梧州,5,4,2
鹰潭,3,2,2
泸州,6,4,2
毕节,8,8,2
株洲,5,3,2
揭阳,6,4,2
桂林,6,6,2
孝感,4,2,2
宿州,7,7,2
内江,6,5,2
蚌埠,5,4,2
淮南,6,6,2
洛阳,6,5,2
安康,3,1,2
十堰,3,3,2
自贡,5,4,2
龙岩,4,2,2
贵港,4,4,1
北海,3,3,1
湘潭,4,4,1
岳阳,4,4,1
巴中,5,5,1
韶关,4,4,1
百色,5,4,1
崇左,2,2,1
通化,3,3,1
遵义,7,6,1
黔东南苗族侗族自治州,5,5,1
葫芦岛,4,3,1
朝阳,3,3,1
兴安盟,3,3,1
新余,2,1,1
吉安,4,4,1
哈尔滨,12,11,1
吉林,2,2,1
滁州,4,4,1
庆阳,2,2,1
清远,4,3,1
肇庆,4,4,1
延安,3,3,1
广州,27,27,1
郴州,5,5,1
铜仁,6,5,1
湘西土家族苗族自治州,6,6,1
贺州,3,2,1
永州,6,6,1
梅州,3,3,1
长春,11,11,1
荆州,7,7,1
娄底,5,5,1
天门,3,3,1
三门峡,3,3,1
牡丹江,2,1,1
鸡西,2,2,1
恩施土家族苗族自治州,4,4,1
保定,9,8,1
唐山,7,7,1
钦州,4,4,1
汕尾,4,4,1
萍乡,3,3,1
上饶,6,6,1
赤峰,5,4,1
承德,3,3,1
黄冈,5,5,1
兰州,9,9,1
汉中,2,2,1
徐州,10,10,1
昆明,15,14,1
德宏傣族景颇族自治州,2,2,1
九江,4,3,1
宜春,6,6,1
乐山,3,3,1
芜湖,5,4,1
铜陵,4,4,1
信阳,6,6,1
苏州,16,16,1
阜阳,8,7,1
上海,31,31,1
江门,7,6,1
阳江,3,3,1
泉州,6,6,1
绥化,3,3,1
黔南布依族苗族自治州,5,4,1
河池,4,4,1
南昌,8,8,1
南通,7,7,1
资阳,4,4,1
黄石,4,4,1
驻马店,7,6,1
平顶山,6,6,1
眉山,3,3,1
昭通,5,5,1
商丘,7,7,1
合肥,17,17,1
怀化,6,5,1
常德,5,5,1
三明,4,4,1
淄博,6,5,1
临沂,10,10,1
周口,9,9,1
铜川,2,2,1
潜江,2,1,1
仙桃,4,4,1
