city_name,degree_superNode,degree_origion,edgenum
深圳,17,22,5
北京,37,41,4
天津,10,13,3
武汉,17,19,3
扬州,7,10,3
上海,31,34,3
石家庄,10,13,3
合肥,16,19,3
苏州,14,15,3
临沂,10,11,3
济南,15,16,2
茂名,4,5,2
南阳,3,5,2
龙岩,3,5,2
张家口,5,6,2
肇庆,3,4,2
郑州,19,20,2
济源,1,2,2
南通,6,7,2
成都,24,25,2
洛阳,4,4,2
吉林,1,3,2
泰安,3,5,2
杭州,15,16,2
常州,6,6,2
梅州,3,5,2
菏泽,4,4,2
桂林,4,5,1
梧州,4,4,1
信阳,4,4,1
烟台,4,4,1
福州,7,7,1
锡林郭勒盟,2,2,1
广州,26,26,1
湖州,5,6,1
宁波,9,9,1
东莞,9,9,1
滨州,6,6,1
徐州,8,8,1
太原,10,10,1
厦门,6,6,1
淮北,2,2,1
秦皇岛,4,4,1
沧州,8,9,1
唐山,7,7,1
抚州,1,2,1
赣州,3,3,1
安康,1,2,1
汉中,1,1,1
延边朝鲜族自治州,1,1,1
贵阳,9,9,1
包头,4,4,1
泉州,5,5,1
蚌埠,4,5,1
南京,19,19,1
聊城,6,6,1
保定,8,9,1
邯郸,7,7,1
舟山,2,2,1
威海,2,2,1
新余,2,3,1
吉安,3,3,1
河源,4,4,1
东营,4,5,1
青岛,10,10,1
惠州,6,6,1
温州,7,8,1
绍兴,6,6,1
百色,4,5,1
崇左,1,1,1
阳泉,2,2,1
无锡,9,9,1
南昌,9,9,1
锦州,4,5,1
朝阳,3,3,1
自贡,4,5,1
乐山,2,2,1
宿迁,3,3,1
哈尔滨,11,11,1
佛山,11,11,1
潍坊,9,10,1
济宁,7,7,1
