city_name,degree_superNode,degree_origion,edgenum
周口,2,7,5
连云港,1,4,3
安顺,2,5,3
徐州,5,7,3
通辽,0,2,2
赤峰,1,2,2
梧州,0,2,2
大同,2,4,2
衡阳,3,5,2
商丘,3,5,2
常德,1,3,2
益阳,1,2,2
镇江,3,5,2
扬州,4,5,2
东莞,7,9,2
江门,4,5,2
铜仁,2,4,2
聊城,3,5,2
白城,1,3,2
榆林,3,5,2
六盘水,3,4,2
焦作,2,4,2
清远,2,3,2
黔西南布依族苗族自治州,1,1,2
驻马店,3,4,2
南京,14,16,2
漯河,3,4,2
平顶山,3,4,2
资阳,1,3,2
南阳,1,1,2
邢台,3,4,2
盘锦,2,4,2
忻州,1,2,2
玉林,2,4,2
黔南布依族苗族自治州,2,3,2
重庆,10,10,2
潮州,1,2,1
揭阳,3,3,1
沈阳,14,14,1
贺州,0,0,1
乌兰察布,2,2,1
曲靖,2,3,1
红河哈尼族彝族自治州,3,3,1
永州,1,1,1
亳州,2,2,1
佛山,12,13,1
珠海,4,4,1
德州,6,7,1
滨州,3,3,1
宿迁,3,3,1
张家界,0,0,1
阜阳,3,3,1
岳阳,1,1,1
钦州,2,3,1
防城港,1,1,1
黔东南苗族侗族自治州,2,2,1
盐城,6,6,1
邯郸,5,5,1
上饶,2,3,1
鹰潭,0,0,1
松原,1,1,1
龙岩,1,2,1
漳州,2,2,1
吕梁,2,2,1
许昌,3,3,1
达州,2,3,1
巴中,1,1,1
娄底,2,3,1
湘潭,2,2,1
济源,0,0,1
安庆,1,2,1
池州,0,0,1
张家口,1,1,1
嘉兴,5,6,1
绍兴,4,4,1
芜湖,3,3,1
内江,3,3,1
韶关,2,2,1
长沙,13,14,1
萍乡,0,0,1
遂宁,2,3,1
绵阳,3,3,1
朝阳,1,1,1
黄冈,2,3,1
九江,1,1,1
鞍山,4,4,1
恩施土家族苗族自治州,2,3,1
湘西土家族苗族自治州,0,0,1
营口,3,3,1
兴安盟,0,0,1
菏泽,2,2,1
宣城,2,2,1
定西,1,2,1
临夏回族自治州,1,1,1
潍坊,6,7,1
日照,2,2,1
葫芦岛,2,3,1
秦皇岛,2,2,1
济宁,5,5,1
茂名,4,4,1
宿州,3,4,1
蚌埠,2,2,1
荆州,2,3,1
潜江,0,0,1
铁岭,1,2,1
四平,1,1,1
洛阳,3,3,1
枣庄,3,3,1
株洲,2,2,1
淄博,4,5,1
东营,2,2,1
衡水,5,5,1
贵港,3,3,1
晋中,4,5,1
临汾,2,2,1
开封,2,2,1
朔州,1,1,1
无锡,7,7,1
湛江,4,4,1
深圳,14,14,1
遵义,5,5,1
常州,5,6,1
泰州,7,7,1
宜春,1,2,1
新余,0,0,1
南充,2,3,1
广安,2,2,1
西安,12,13,1
运城,2,2,1
滁州,3,3,1
