city_name,degree_superNode,degree_origion,edgenum
定西,3,1,2
济源,3,1,2
玉林,7,5,2
北京,41,39,2
自贡,5,3,2
吉林,3,1,2
龙岩,5,3,2
肇庆,5,3,2
临沂,13,12,2
深圳,22,21,2
梅州,5,3,2
天水,4,4,1
渭南,4,3,1
铜川,2,2,1
郑州,21,21,1
内江,6,5,1
眉山,3,3,1
东营,5,4,1
青岛,12,12,1
梧州,5,5,1
湖州,6,5,1
宁波,10,10,1
通化,3,2,1
白山,2,2,1
包头,5,5,1
荆州,6,5,1
仙桃,2,2,1
重庆,19,19,1
孝感,2,1,1
随州,2,2,1
石家庄,14,13,1
太原,12,12,1
济南,17,16,1
威海,3,3,1
哈尔滨,12,12,1
临夏回族自治州,2,2,1
三明,5,5,1
洛阳,6,6,1
兰州,10,9,1
平凉,1,1,1
新余,3,2,1
吉安,4,4,1
百色,5,4,1
崇左,2,2,1
东莞,10,10,1
池州,3,2,1
铜陵,4,4,1
抚州,2,1,1
赣州,4,4,1
来宾,3,2,1
贵港,4,4,1
上海,34,34,1
扬州,10,9,1
常州,8,8,1
安康,2,1,1
汉中,2,2,1
延边朝鲜族自治州,2,2,1
北海,3,3,1
河源,5,5,1
张家口,7,6,1
锡林郭勒盟,3,3,1
泉州,6,6,1
杭州,17,16,1
舟山,3,3,1
信阳,5,4,1
六安,4,4,1
乐山,3,3,1
黄冈,4,3,1
鄂州,3,3,1
惠州,7,7,1
厦门,7,7,1
