city_name,degree_superNode,degree_origion,edgenum
上海,33,39,6
北京,39,43,4
青岛,10,14,4
重庆,18,21,3
杭州,16,19,3
哈尔滨,11,14,3
聊城,8,9,2
定西,1,3,2
菏泽,6,6,2
平凉,0,2,2
淄博,6,8,2
泰安,6,6,2
济南,16,17,2
吉林,1,2,2
昆明,15,16,2
深圳,20,20,2
武汉,20,20,1
牡丹江,1,2,1
鸡西,1,1,1
南昌,11,11,1
临夏回族自治州,1,1,1
石家庄,12,13,1
太原,11,11,1
新乡,5,6,1
洛阳,5,5,1
信阳,4,5,1
六安,3,3,1
安康,1,2,1
汉中,1,1,1
包头,4,4,1
广州,28,28,1
龙岩,3,4,1
泉州,5,5,1
郑州,20,21,1
济源,1,1,1
长沙,19,19,1
济宁,8,8,1
保定,10,11,1
承德,4,4,1
东莞,9,10,1
茂名,6,6,1
吕梁,3,4,1
临汾,3,3,1
宜春,5,6,1
赣州,3,3,1
自贡,3,3,1
西安,18,18,1
临沂,11,11,1
蚌埠,5,5,1
烟台,5,5,1
鹤岗,1,1,1
呼伦贝尔,1,1,1
延边朝鲜族自治州,1,1,1
威海,2,2,1
乌兰察布,4,5,1
锡林郭勒盟,2,2,1
长治,2,3,1
晋中,4,4,1
徐州,9,10,1
盐城,8,8,1
福州,8,8,1
东营,4,4,1
兰州,9,9,1
池州,2,3,1
铜陵,3,3,1
郴州,5,6,1
株洲,4,4,1
凉山彝族自治州,3,3,1
邵阳,4,5,1
永州,4,4,1
天水,3,3,1
厦门,6,6,1
黄冈,3,4,1
鄂州,2,2,1
舟山,2,2,1
