city_name,degree_superNode,degree_origion,edgenum
北京,39,24,15
上海,34,19,15
武汉,20,12,10
深圳,23,17,8
合肥,19,13,7
重庆,19,14,7
昆明,15,9,7
天津,15,9,7
石家庄,13,7,6
长沙,20,17,6
成都,26,23,6
菏泽,9,4,6
西安,19,15,6
杭州,17,13,6
张家口,7,4,5
广州,29,27,5
哈尔滨,12,7,5
兰州,10,6,5
长春,11,7,5
唐山,8,5,4
怀化,5,1,4
铜陵,4,1,4
青岛,10,8,4
济南,16,13,4
锡林郭勒盟,4,1,4
保定,10,8,4
阜阳,8,5,4
郑州,21,20,4
扬州,10,6,4
南充,7,3,4
亳州,6,3,3
太原,12,10,3
郴州,5,3,3
自贡,5,3,3
南昌,9,6,3
湘西土家族苗族自治州,4,3,3
曲靖,6,3,3
天水,4,2,3
滨州,7,5,3
肇庆,6,4,3
淮北,4,3,3
承德,5,4,3
百色,4,1,3
六安,4,2,3
苏州,17,15,3
宜春,5,3,3
开封,6,4,3
平凉,3,2,3
邯郸,9,7,3
宣城,6,6,3
南京,19,18,3
保山,4,2,3
连云港,7,6,3
信阳,5,5,3
临沧,3,2,3
渭南,5,2,3
上饶,6,4,3
大理白族自治州,5,4,3
聊城,8,7,3
金华,10,9,2
永州,4,3,2
韶关,5,5,2
沧州,9,9,2
呼和浩特,6,6,2
芜湖,6,6,2
陇南,2,2,2
潍坊,9,9,2
通辽,4,2,2
东莞,11,10,2
濮阳,5,5,2
徐州,10,10,2
临沂,11,10,2
廊坊,6,6,2
常州,8,7,2
南通,8,8,2
阜新,3,2,2
赤峰,5,5,2
日照,5,5,2
台州,6,5,2
乌兰察布,5,5,2
黔西南布依族苗族自治州,5,5,2
通化,3,1,2
白山,2,2,2
烟台,5,5,2
张家界,3,3,2
宁波,9,8,2
无锡,10,10,2
辽源,2,2,2
蚌埠,5,4,2
淮南,4,4,2
济源,3,2,2
南宁,13,12,2
萍乡,3,2,2
新乡,5,4,2
龙岩,4,2,2
揭阳,6,4,2
三明,4,2,2
长治,5,4,2
洛阳,6,5,2
玉林,6,4,2
池州,3,3,2
厦门,6,5,2
临汾,5,4,2
福州,8,7,2
大连,5,4,2
荆州,5,3,2
运城,5,4,2
齐齐哈尔,5,3,2
黑河,2,2,2
桂林,4,3,2
吉林,3,2,2
庆阳,3,3,2
镇江,7,6,2
清远,6,6,2
延边朝鲜族自治州,2,2,2
阳江,3,1,2
驻马店,7,6,2
沈阳,17,17,2
茂名,7,6,2
周口,8,8,1
嘉兴,7,7,1
晋城,2,2,1
佳木斯,2,1,1
鹤岗,1,1,1
六盘水,6,6,1
潜江,2,2,1
新余,2,2,1
黄冈,4,3,1
鄂州,3,3,1
昭通,4,4,1
黔东南苗族侗族自治州,4,4,1
鸡西,1,1,1
兴安盟,2,2,1
来宾,3,2,1
贵港,5,5,1
淄博,6,6,1
天门,1,1,1
邢台,6,6,1
凉山彝族自治州,4,4,1
恩施土家族苗族自治州,4,4,1
济宁,7,7,1
梧州,3,3,1
株洲,4,4,1
泉州,6,6,1
梅州,3,3,1
南平,2,2,1
南阳,4,4,1
巴中,3,3,1
钦州,4,4,1
葫芦岛,4,3,1
朝阳,3,3,1
盐城,8,8,1
吕梁,4,4,1
西双版纳傣族自治州,1,1,1
丹东,2,2,1
邵阳,3,3,1
常德,4,4,1
三门峡,3,3,1
文山壮族苗族自治州,3,3,1
衡水,7,7,1
鹤壁,3,3,1
绥化,3,3,1
铜仁,5,5,1
汕尾,4,4,1
贺州,2,2,1
达州,4,3,1
广安,4,4,1
安庆,3,3,1
许昌,5,5,1
景德镇,2,2,1
秦皇岛,4,4,1
伊春,1,1,1
泸州,4,4,1
益阳,4,3,1
娄底,4,4,1
宿迁,5,5,1
毕节,6,6,1
泰州,9,9,1
铜川,2,2,1
莆田,3,3,1
朔州,3,3,1
东营,4,4,1
鄂尔多斯,6,5,1
忻州,4,4,1
珠海,6,6,1
绍兴,6,6,1
武威,2,1,1
金昌,1,1,1
北海,3,3,1
楚雄彝族自治州,2,2,1
江门,7,7,1
贵阳,10,10,1
阳泉,3,3,1
十堰,1,1,1
漳州,4,4,1
平顶山,6,6,1
温州,7,7,1
延安,3,3,1
巴彦淖尔,4,3,1
乌海,2,2,1
锦州,4,4,1
吉安,3,3,1
赣州,4,4,1
绵阳,5,5,1
遂宁,4,4,1
攀枝花,2,2,1
佛山,14,14,1
衢州,3,3,1
宜昌,4,4,1
宿州,5,4,1
商丘,6,6,1
大同,5,5,1
定西,3,3,1
威海,2,2,1
孝感,2,1,1
随州,2,2,1
泰安,4,4,1
西宁,2,2,1
鹰潭,2,2,1
河池,3,3,1
广元,3,3,1
乐山,3,3,1
岳阳,3,3,1
