city_name,degree_superNode,degree_origion,edgenum
广州,20,17,3
晋中,5,3,2
苏州,14,12,2
南京,15,13,2
合肥,13,12,2
六安,4,2,2
宁波,9,8,1
温州,6,6,1
保定,6,5,1
天津,6,6,1
龙岩,2,1,1
漳州,3,3,1
长治,3,3,1
徐州,8,8,1
荆州,3,2,1
仙桃,1,1,1
松原,2,1,1
白城,2,2,1
临汾,3,3,1
宜春,3,2,1
萍乡,2,2,1
成都,18,17,1
甘孜藏族自治州,1,1,1
沧州,7,6,1
唐山,4,4,1
焦作,3,2,1
洛阳,4,4,1
阳江,1,1,1
湖州,5,4,1
上海,14,14,1
贵港,3,2,1
梧州,1,1,1
淄博,4,3,1
东营,3,3,1
宣城,3,3,1
铜陵,2,2,1
河源,3,3,1
金华,8,7,1
上饶,4,4,1
淮南,3,3,1
阜阳,6,6,1
衡阳,5,5,1
鞍山,4,3,1
盘锦,3,3,1
扬州,4,4,1
怀化,3,2,1
邵阳,3,3,1
深圳,12,11,1
珠海,4,4,1
