city_name,degree_superNode,degree_origion,edgenum
北京,39,32,7
合肥,19,13,7
上海,33,26,7
武汉,20,13,7
西安,18,13,6
重庆,17,13,6
昆明,14,9,6
扬州,9,4,5
连云港,7,2,5
周口,7,2,5
宣城,6,4,4
兰州,9,6,4
成都,26,23,4
深圳,20,18,4
南充,6,2,4
上饶,6,2,4
梧州,4,[],4
杭州,17,16,4
南昌,10,7,4
张家口,5,1,4
东莞,11,7,4
天津,12,9,4
保定,10,7,4
聊城,6,4,3
邢台,6,5,3
赤峰,4,1,3
六安,4,2,3
宜春,4,1,3
临汾,5,2,3
茂名,7,4,3
广州,28,27,3
佛山,15,14,3
济南,16,14,3
日照,5,4,3
天水,4,2,3
郑州,20,20,3
永州,4,1,3
龙岩,4,1,3
徐州,9,7,3
长沙,19,18,3
江门,7,6,3
济宁,8,7,3
开封,5,3,3
六盘水,6,4,3
安顺,5,3,3
阜阳,6,6,3
唐山,8,6,3
清远,5,4,3
潍坊,9,8,3
无锡,10,9,3
商丘,6,3,3
大连,5,4,2
南京,19,18,2
运城,4,3,2
陇南,2,2,2
榆林,5,3,2
吕梁,4,4,2
潜江,2,1,2
新余,2,2,2
秦皇岛,4,3,2
资阳,3,2,2
驻马店,5,4,2
南阳,3,2,2
保山,3,2,2
常州,7,5,2
南通,8,8,2
镇江,6,6,2
遂宁,4,3,2
曲靖,4,2,2
安庆,3,1,2
池州,2,2,2
玉林,4,3,2
淄博,6,4,2
贺州,2,1,2
珠海,6,6,2
漯河,5,4,2
平顶山,5,5,2
盘锦,4,2,2
大理白族自治州,4,3,2
苏州,17,17,2
桂林,4,4,2
郴州,4,4,2
鹰潭,2,2,2
衡水,7,7,2
萍乡,2,2,2
阳江,3,3,2
新乡,5,4,2
盐城,8,8,2
铜仁,4,3,2
黔南布依族苗族自治州,4,3,2
三明,4,2,2
湘西土家族苗族自治州,3,1,2
恩施土家族苗族自治州,4,4,2
怀化,3,2,2
滨州,5,4,2
黔西南布依族苗族自治州,3,3,2
菏泽,4,4,2
益阳,3,1,2
岳阳,3,2,2
衡阳,5,4,2
常德,3,2,2
许昌,5,5,2
黄冈,4,2,2
大同,5,4,2
荆州,4,4,2
厦门,6,5,2
湛江,6,6,2
铜陵,2,2,2
忻州,3,2,2
焦作,4,2,2
绵阳,5,5,2
长春,11,9,2
淮北,3,2,2
亳州,4,4,2
漳州,4,3,2
福州,8,8,2
东营,4,4,2
邯郸,7,7,2
白城,3,1,2
宿州,5,4,2
通辽,2,1,2
芜湖,5,5,1
巴彦淖尔,4,3,1
乌海,2,2,1
锡林郭勒盟,2,2,1
葫芦岛,3,3,1
衢州,3,3,1
昭通,4,4,1
娄底,3,2,1
湘潭,3,3,1
广元,3,3,1
西宁,2,2,1
南宁,13,13,1
临沂,10,10,1
鞍山,5,5,1
定西,2,2,1
景德镇,2,2,1
楚雄彝族自治州,2,2,1
西双版纳傣族自治州,1,1,1
太原,11,10,1
晋城,2,2,1
晋中,5,5,1
石家庄,10,10,1
泉州,6,6,1
临沧,1,1,1
铁岭,2,1,1
四平,2,2,1
鹤壁,3,3,1
天门,1,1,1
黔东南苗族侗族自治州,3,3,1
遵义,6,6,1
贵阳,10,10,1
南平,2,2,1
信阳,3,3,1
朝阳,2,2,1
枣庄,4,4,1
平凉,1,1,1
邵阳,3,3,1
德州,7,7,1
泰州,8,8,1
金华,9,9,1
宜昌,4,4,1
延安,3,2,1
渭南,3,3,1
嘉兴,6,5,1
绍兴,5,5,1
齐齐哈尔,4,3,1
黑河,2,2,1
株洲,3,3,1
沧州,8,8,1
韶关,3,3,1
鄂州,3,3,1
乌兰察布,3,3,1
内江,4,4,1
长治,4,4,1
广安,3,3,1
红河哈尼族彝族自治州,4,4,1
宿迁,4,4,1
莆田,3,3,1
朔州,3,3,1
济源,1,1,1
张家界,2,2,1
达州,3,2,1
巴中,2,2,1
钦州,3,2,1
防城港,2,2,1
辽源,1,1,1
贵港,4,4,1
营口,4,4,1
三门峡,3,3,1
兴安盟,1,1,1
蚌埠,3,3,1
淮南,3,3,1
滁州,4,4,1
白山,1,1,1
洛阳,4,4,1
青岛,9,9,1
佳木斯,2,1,1
鹤岗,1,1,1
沈阳,17,17,1
廊坊,6,6,1
松原,2,2,1
泸州,4,3,1
自贡,3,3,1
潮州,2,1,1
揭阳,4,4,1
九江,2,2,1
丹东,2,2,1
