city_name,degree_superNode,degree_origion,edgenum
北京,37,41,4
广州,25,29,4
深圳,16,20,4
济宁,6,8,3
潍坊,8,8,2
扬州,5,7,2
上海,32,34,2
合肥,16,18,2
郴州,3,4,2
武汉,16,17,2
厦门,6,6,2
巴彦淖尔,3,4,1
乌海,1,1,1
盐城,7,7,1
蚌埠,5,6,1
南京,19,19,1
宣城,5,5,1
苏州,15,15,1
三门峡,2,3,1
运城,3,3,1
南阳,3,4,1
洛阳,4,4,1
天津,9,10,1
秦皇岛,3,3,1
黄冈,3,4,1
鄂州,2,2,1
青岛,9,9,1
烟台,4,4,1
韶关,2,2,1
龙岩,2,3,1
福州,7,7,1
茂名,4,5,1
阳江,2,2,1
辽源,1,2,1
通化,1,1,1
绍兴,5,6,1
台州,5,5,1
南昌,8,9,1
新余,1,1,1
淮北,2,2,1
济南,14,15,1
日照,3,3,1
重庆,18,18,1
桂林,4,4,1
揭阳,4,5,1
汕尾,3,3,1
滁州,3,3,1
濮阳,3,4,1
邯郸,6,6,1
长沙,18,18,1
淄博,5,6,1
临沂,9,9,1
潜江,1,1,1
清远,4,4,1
菏泽,4,4,1
成都,24,24,1
钦州,3,4,1
玉林,4,4,1
泸州,4,5,1
内江,4,4,1
池州,2,3,1
铜陵,3,3,1
兴安盟,1,2,1
通辽,2,2,1
