,全局效率,平均点连通性,连通性损失,自然连通性,连通数量,最大组件大小,Diversity
全局效率,1.0,0.9640603389701556,-0.8758428626644708,0.9405584466517108,-0.7929340933482678,0.8840664653813483,0.6311253231567283
平均点连通性,0.9640603389701556,1.0,-0.9182110504860073,0.9605792109229507,-0.8250901447074283,0.924535932555266,0.7357570865979027
连通性损失,-0.8758428626644708,-0.9182110504860073,1.0,-0.8987337085121453,0.9057849033529922,-0.9897925513176924,-0.9027051710270224
自然连通性,0.9405584466517108,0.9605792109229507,-0.8987337085121453,1.0,-0.875390634014936,0.9017153458792513,0.7466335320583105
连通数量,-0.7929340933482678,-0.8250901447074283,0.9057849033529922,-0.875390634014936,1.0,-0.9006855550823492,-0.9016381896008134
最大组件大小,0.8840664653813483,0.924535932555266,-0.9897925513176924,0.9017153458792513,-0.9006855550823492,1.0,0.8882911362875506
Diversity,0.6311253231567283,0.7357570865979027,-0.9027051710270224,0.7466335320583105,-0.9016381896008134,0.8882911362875506,1.0
