全局效率,平均点连通性,连通性损失,自然连通性,连通数量,最大组件大小,Diversity
0.116331718,1.002387671,0.279384732,3.495564085,5,229,13.0451373
0.113848401,0.932892744,0.27569273,3.214235284,5,228,12.618654
0.130406462,1.150775993,0.106049957,3.235877471,4,257,14.4169829
0.127291663,1.139449748,0.107954944,3.165957791,4,252,14.915028
0.117179983,0.983521056,0.276585453,3.299513844,5,227,13.2162682
0.122281427,0.999311579,0.269602195,3.379579195,5,229,13.2225916
0.134997801,1.187594964,0.106049957,3.681275974,4,257,15.1895861
0.135967578,1.198779031,0.111603306,3.739804145,4,259,14.5080729
0.143800525,1.294313644,0.064828532,3.631443673,3,261,15.0427307
0.140807856,1.123847167,0.171660951,3.323857722,6,210,14.1016622
0.092217463,0.588161259,0.660466755,2.986281827,8,91,7.805112
0.103518164,0.737610091,0.583568668,3.348031585,7,116,10.8486409
0.145975337,1.350330921,0.103374086,3.83227006,4,229,14.5584666
0.150802449,1.367514094,0.097309512,4.463167247,4,226,14.2350807
0.101983861,0.701803101,0.514399598,2.800455239,5,144,10.8333104
0.09946391,0.682364013,0.580798711,2.922353244,7,127,9.8169816
0.118891751,0.89055794,0.294350605,2.62442266,7,195,11.8762854
0.05669885,0.261645146,0.823700178,2.197670242,19,62,4.9241581
0.120432569,0.837123639,0.324976084,2.901925271,8,183,11.1379929
0.148688545,1.219682852,0.096917071,3.434821916,4,227,14.4928798
0.147581785,1.297991968,0.047104,3.497106478,3,244,14.9742964
0.152153473,1.326149076,0.053293767,3.895989971,3,250,14.9672658
0.15335823,1.289255676,0.046737213,3.706541518,3,246,14.9990497
0.152733666,1.33752988,0.04691989,3.722149851,3,245,14.8512505
0.153734982,1.293131474,0.04691989,3.751679131,3,245,14.915536
0.155149321,1.315180723,0.047104,3.886838762,3,244,15.1878305
0.147785524,1.192046493,0.070792144,3.759759259,4,239,14.6268763
0.155367604,1.320035549,0.071071481,3.970183031,4,238,15.1428321
0.153112712,1.295860863,0.078095515,4.064482664,4,239,15.0267199
0.150101363,1.272505842,0.078709699,3.869977767,4,237,14.5349963
0.148630643,1.207189743,0.072211214,3.791220427,4,234,14.3708121
0.120114668,1.003277545,0.212951389,3.15701014,5,212,13.7816079
0.15229955,1.282084197,0.071071481,3.926812959,4,238,14.6260605
0.152499074,1.318434259,0.071636818,3.96479645,4,236,14.6799684
0.14352945,1.297223593,0.103540189,3.638504741,4,263,17.1097417
0.141263891,1.258193445,0.103724258,3.78004321,5,264,18.2793736
0.152160044,1.44036604,0.095515508,4.057582724,3,267,18.7497485
0.14690809,1.390681004,0.103184697,3.845957184,4,264,17.396022
0.155330977,1.447260625,0.102831633,4.040433691,4,265,17.4886341
0.237367591,2.797691638,0.020616319,6.60911494,2,285,14.7077254
0.183138042,2.449343639,0.020758961,5.063703957,2,283,17.7568586
0.172616075,2.209348546,0.020758961,6.238386493,2,283,18.3017645
