时间,连通分量,城市
20200118,1,['澄迈县']
20200118,2,['定安县']
20200118,3,['临高县']
20200118,4,['屯昌县']
20200118,5,['山南']
20200118,6,['日喀则']
20200118,7,['那曲']
20200118,8,['吐鲁番']
20200119,0,"['定西', '兰州', '白银', '临夏回族自治州', '武威', '天水', '西安', '西宁', '海东', '陇南', '北京', '南宁', '河池', '东莞', '深圳', '柳州', '佛山', '广州', '百色', '中山', '江门', '黔南布依族苗族自治州', '宜春', '新余', '南昌', '吉安', '大连', '营口', '沈阳', '鞍山', '盘锦', '丽江', '阳江', '珠海', '茂名', '上饶', '鹰潭', '金华', '清远', '惠州', '肇庆', '韶关', '上海', '湛江', '梅州', '云浮', '河源', '揭阳', '汕头', '成都', '长沙', '重庆', '常德', '益阳', '荆州', '张家界', '怀化', '大理白族自治州', '昆明', '榆林', '鄂尔多斯', '潜江', '武汉', '哈尔滨', '齐齐哈尔', '呼伦贝尔', '大庆', '黑河', '天津', '娄底', '邵阳', '湘潭', '株洲', '晋中', '太原', '吕梁', '忻州', '临汾', '长治', '阳泉', '大同', '运城', '朔州', '黄石', '鄂州', '黄冈', '温州', '咸宁', '宁波', '舟山', '铁岭', '抚顺', '辽阳', '锦州', '本溪', '阜新', '丹东', '通辽', '长春', '朝阳', '葫芦岛', '萍乡', '凉山彝族自治州', '攀枝花', '昭通', '来宾', '桂林', '贵港', '晋城', '宜宾', '毕节', '曲靖', '嘉兴', '绥化', '乐山', '眉山', '自贡', '贵阳', '安顺', '六盘水', '黔西南布依族苗族自治州', '郑州', '安阳', '鹤壁', '新乡', '濮阳', '邯郸', '济南', '泰安', '济宁', '青岛', '临沂', '淄博', '镇江', '南京', '苏州', '滁州', '马鞍山', '常州', '扬州', '无锡', '淮安', '杭州', '宿迁', '盐城', '徐州', '南通', '泰州', '合肥', '芜湖', '宣城', '连云港', '赣州', '泉州', '厦门', '潮州', '呼和浩特', '乌兰察布', '包头', '郴州', '唐山', '秦皇岛', '岳阳', '衡阳', '永州', '湘西土家族苗族自治州', '潍坊', '东营', '烟台', '日照', '滨州', '九江', '抚州', '景德镇', '平凉', '庆阳', '台州', '丽水', '宁德', '绍兴', '德州', '聊城', '菏泽', '枣庄', '铜陵', '安庆', '池州', '玉溪', '红河哈尼族彝族自治州', '孝感', '襄阳', '仙桃', '荆门', '宜昌', '随州', '信阳', '十堰', '天门', '衢州', '赤峰', '锡林郭勒盟', '广安', '遵义', '达州', '泸州', '恩施土家族苗族自治州', '南充', '福州', '铜仁', '内江', '遂宁', '资阳', '绵阳', '阜阳', '亳州', '周口', '淮南', '驻马店', '六安', '湖州', '石家庄', '保定', '邢台', '衡水', '沧州', '廊坊', '宝鸡', '咸阳', '贺州', '焦作', '开封', '楚雄彝族自治州', '松原', '白城', '普洱', '西双版纳傣族自治州', '济源', '汉中', '安康', '巴彦淖尔', '佳木斯', '双鸭山', '鹤岗', '钦州', '北海', '防城港', '玉林', '雅安', '伊春', '保山', '德宏傣族景颇族自治州', '梧州', '商丘', '许昌', '龙岩', '漳州', '三明', '海南藏族自治州', '兴安盟', '文山壮族苗族自治州', '临沧', '洛阳', '德阳', '阿坝藏族羌族自治州', '广元', '甘孜藏族自治州', '巴中', '蚌埠', '宿州', '莆田', '南平', '吉林', '汕尾', '通化', '辽源', '延安', '张家口', '承德', '渭南', '商洛', '铜川', '平顶山', '漯河', '淮北', '三门峡', '崇左', '思茅', '四平', '南阳', '黔东南苗族侗族自治州', '乌海', '威海', '延边朝鲜族自治州', '白山', '鸡西', '襄樊', '牡丹江', '海西蒙古族藏族自治州', '海北藏族自治州']"
20200119,1,['澄迈县']
20200119,2,['临高县']
20200119,3,['定安县']
20200119,4,['屯昌县']
20200119,5,['山南']
20200119,6,['日喀则']
20200119,7,['吐鲁番']
20200120,0,"['定西', '兰州', '白银', '临夏回族自治州', '武威', '天水', '西宁', '西安', '海东', '北京', '平凉', '南宁', '河池', '深圳', '东莞', '柳州', '佛山', '百色', '广州', '中山', '黔南布依族苗族自治州', '江门', '宜春', '新余', '南昌', '吉安', '大连', '营口', '沈阳', '鞍山', '盘锦', '丽江', '阳江', '珠海', '茂名', '上饶', '鹰潭', '金华', '清远', '惠州', '肇庆', '韶关', '湛江', '上海', '梅州', '云浮', '河源', '汕头', '揭阳', '重庆', '成都', '长沙', '衡阳', '常德', '益阳', '荆州', '张家界', '怀化', '大理白族自治州', '昆明', '榆林', '鄂尔多斯', '武汉', '潜江', '仙桃', '哈尔滨', '齐齐哈尔', '呼伦贝尔', '大庆', '黑河', '天津', '兴安盟', '娄底', '邵阳', '湘潭', '株洲', '晋中', '太原', '吕梁', '忻州', '临汾', '长治', '阳泉', '大同', '朔州', '运城', '黄石', '鄂州', '黄冈', '咸宁', '温州', '宁波', '舟山', '铁岭', '抚顺', '辽阳', '锦州', '本溪', '阜新', '通辽', '丹东', '朝阳', '长春', '葫芦岛', '萍乡', '凉山彝族自治州', '攀枝花', '昭通', '来宾', '桂林', '晋城', '毕节', '宜宾', '曲靖', '嘉兴', '绥化', '乐山', '眉山', '自贡', '贵港', '贵阳', '安顺', '六盘水', '黔西南布依族苗族自治州', '郑州', '安阳', '鹤壁', '新乡', '濮阳', '邯郸', '济南', '泰安', '青岛', '济宁', '临沂', '淄博', '潍坊', '镇江', '南京', '苏州', '滁州', '马鞍山', '常州', '扬州', '无锡', '淮安', '杭州', '南通', '宿迁', '泰州', '盐城', '徐州', '合肥', '芜湖', '宣城', '连云港', '陇南', '赣州', '厦门', '泉州', '抚州', '潮州', '呼和浩特', '乌兰察布', '包头', '锡林郭勒盟', '郴州', '唐山', '秦皇岛', '岳阳', '永州', '湘西土家族苗族自治州', '东营', '烟台', '日照', '九江', '景德镇', '庆阳', '台州', '宁德', '丽水', '绍兴', '德州', '聊城', '滨州', '菏泽', '枣庄', '铜陵', '安庆', '池州', '玉溪', '红河哈尼族彝族自治州', '普洱', '孝感', '襄阳', '宜昌', '荆门', '随州', '天门', '十堰', '信阳', '衢州', '赤峰', '广安', '遵义', '达州', '泸州', '恩施土家族苗族自治州', '南充', '铜仁', '内江', '资阳', '福州', '遂宁', '绵阳', '巴中', '阜阳', '亳州', '周口', '淮南', '驻马店', '六安', '湖州', '石家庄', '保定', '邢台', '衡水', '沧州', '廊坊', '宝鸡', '咸阳', '贺州', '焦作', '开封', '楚雄彝族自治州', '松原', '白城', '西双版纳傣族自治州', '济源', '汉中', '安康', '巴彦淖尔', '乌海', '佳木斯', '双鸭山', '鹤岗', '钦州', '北海', '防城港', '玉林', '雅安', '甘孜藏族自治州', '伊春', '保山', '德宏傣族景颇族自治州', '梧州', '商丘', '许昌', '龙岩', '漳州', '三明', '海南藏族自治州', '文山壮族苗族自治州', '临沧', '洛阳', '德阳', '阿坝藏族羌族自治州', '广元', '蚌埠', '宿州', '莆田', '南平', '吉林', '延边朝鲜族自治州', '汕尾', '通化', '辽源', '白山', '延安', '张家口', '承德', '渭南', '商洛', '铜川', '平顶山', '漯河', '淮北', '三门峡', '崇左', '思茅', '四平', '南阳', '黔东南苗族侗族自治州', '威海', '鸡西', '襄樊', '张掖', '牡丹江', '金昌', '海西蒙古族藏族自治州', '海北藏族自治州']"
20200120,1,['澄迈县']
20200120,2,['临高县']
20200120,3,['定安县']
20200120,4,['屯昌县']
20200120,5,['山南']
20200120,6,['日喀则']
20200120,7,['吐鲁番']
20200121,0,"['定西', '兰州', '白银', '临夏回族自治州', '武威', '天水', '西宁', '西安', '海东', '北京', '陇南', '平凉', '南宁', '河池', '柳州', '深圳', '东莞', '百色', '佛山', '广州', '中山', '黔南布依族苗族自治州', '来宾', '宜春', '新余', '南昌', '吉安', '大连', '营口', '沈阳', '鞍山', '盘锦', '丽江', '阳江', '江门', '珠海', '茂名', '上饶', '鹰潭', '金华', '抚州', '清远', '惠州', '肇庆', '韶关', '上海', '湛江', '梅州', '河源', '成都', '云浮', '长沙', '重庆', '衡阳', '武汉', '汕头', '揭阳', '赣州', '常德', '益阳', '张家界', '荆州', '怀化', '株洲', '岳阳', '大理白族自治州', '昆明', '鄂尔多斯', '榆林', '潜江', '仙桃', '哈尔滨', '齐齐哈尔', '大庆', '呼伦贝尔', '黑河', '天津', '兴安盟', '绥化', '娄底', '邵阳', '湘潭', '晋中', '太原', '吕梁', '忻州', '临汾', '长治', '阳泉', '大同', '朔州', '运城', '黄石', '鄂州', '黄冈', '咸宁', '宁波', '舟山', '杭州', '铁岭', '抚顺', '辽阳', '锦州', '本溪', '阜新', '通辽', '葫芦岛', '丹东', '朝阳', '长春', '萍乡', '凉山彝族自治州', '攀枝花', '昭通', '桂林', '晋城', '毕节', '宜宾', '曲靖', '嘉兴', '乐山', '眉山', '自贡', '贵港', '贵阳', '安顺', '六盘水', '黔西南布依族苗族自治州', '郑州', '安阳', '新乡', '鹤壁', '濮阳', '邯郸', '苏州', '济南', '泰安', '青岛', '济宁', '临沂', '淄博', '潍坊', '烟台', '镇江', '南京', '滁州', '马鞍山', '常州', '扬州', '淮安', '无锡', '宿迁', '徐州', '盐城', '南通', '泰州', '芜湖', '合肥', '宣城', '连云港', '厦门', '泉州', '福州', '呼和浩特', '乌兰察布', '包头', '锡林郭勒盟', '郴州', '唐山', '秦皇岛', '永州', '湘西土家族苗族自治州', '东营', '日照', '滨州', '九江', '景德镇', '庆阳', '温州', '台州', '丽水', '宁德', '绍兴', '德州', '聊城', '菏泽', '枣庄', '铜陵', '安庆', '池州', '玉溪', '红河哈尼族彝族自治州', '普洱', '孝感', '襄阳', '荆门', '随州', '宜昌', '十堰', '天门', '恩施土家族苗族自治州', '衢州', '赤峰', '承德', '广安', '遵义', '达州', '泸州', '南充', '铜仁', '资阳', '内江', '遂宁', '绵阳', '德阳', '巴中', '阜阳', '亳州', '周口', '淮南', '驻马店', '信阳', '六安', '湖州', '蚌埠', '石家庄', '保定', '邢台', '衡水', '沧州', '廊坊', '张家口', '宝鸡', '咸阳', '贺州', '梧州', '焦作', '开封', '楚雄彝族自治州', '松原', '白城', '西双版纳傣族自治州', '济源', '汉中', '安康', '巴彦淖尔', '乌海', '佳木斯', '双鸭山', '鹤岗', '钦州', '北海', '防城港', '玉林', '雅安', '甘孜藏族自治州', '伊春', '保山', '德宏傣族景颇族自治州', '商丘', '许昌', '龙岩', '漳州', '三明', '海南藏族自治州', '文山壮族苗族自治州', '临沧', '洛阳', '阿坝藏族羌族自治州', '广元', '宿州', '淮北', '莆田', '南平', '吉林', '延边朝鲜族自治州', '汕尾', '通化', '辽源', '白山', '延安', '渭南', '商洛', '铜川', '平顶山', '漯河', '三门峡', '崇左', '思茅', '潮州', '四平', '南阳', '黔东南苗族侗族自治州', '威海', '鸡西', '牡丹江', '襄樊', '张掖', '金昌', '海西蒙古族藏族自治州', '海北藏族自治州']"
20200121,1,['澄迈县']
20200121,2,['定安县']
20200121,3,['临高县']
20200121,4,['屯昌县']
20200121,5,['山南']
20200121,6,['日喀则']
20200121,7,['那曲']
20200121,8,['吐鲁番']
20200122,0,"['定西', '兰州', '白银', '临夏回族自治州', '武威', '西安', '天水', '西宁', '海东', '成都', '南宁', '河池', '柳州', '深圳', '百色', '东莞', '广州', '黔南布依族苗族自治州', '来宾', '佛山', '桂林', '宜春', '新余', '南昌', '吉安', '沈阳', '营口', '大连', '鞍山', '盘锦', '北京', '丽江', '阳江', '中山', '江门', '珠海', '茂名', '上饶', '鹰潭', '上海', '清远', '惠州', '肇庆', '韶关', '湛江', '衡阳', '长沙', '河源', '梅州', '重庆', '云浮', '武汉', '常德', '益阳', '张家界', '荆州', '株洲', '怀化', '岳阳', '大理白族自治州', '昆明', '潜江', '仙桃', '哈尔滨', '齐齐哈尔', '大庆', '呼伦贝尔', '黑河', '兴安盟', '绥化', '娄底', '邵阳', '湘潭', '晋中', '太原', '吕梁', '忻州', '临汾', '长治', '阳泉', '大同', '朔州', '运城', '黄石', '鄂州', '黄冈', '咸宁', '宁波', '舟山', '杭州', '铁岭', '抚顺', '辽阳', '锦州', '本溪', '阜新', '丹东', '长春', '通辽', '葫芦岛', '朝阳', '萍乡', '凉山彝族自治州', '攀枝花', '昭通', '晋城', '毕节', '宜宾', '曲靖', '乐山', '眉山', '自贡', '贵港', '贵阳', '安顺', '六盘水', '黔西南布依族苗族自治州', '郑州', '安阳', '新乡', '鹤壁', '濮阳', '邯郸', '天津', '济南', '泰安', '青岛', '济宁', '临沂', '淄博', '潍坊', '烟台', '镇江', '南京', '苏州', '滁州', '马鞍山', '常州', '扬州', '无锡', '淮安', '宿迁', '盐城', '徐州', '泰州', '南通', '芜湖', '宣城', '合肥', '连云港', '陇南', '赣州', '厦门', '泉州', '汕头', '抚州', '呼和浩特', '乌兰察布', '包头', '锡林郭勒盟', '鄂尔多斯', '张家口', '郴州', '唐山', '秦皇岛', '石家庄', '永州', '湘西土家族苗族自治州', '东营', '日照', '滨州', '九江', '景德镇', '平凉', '庆阳', '温州', '台州', '金华', '宁德', '丽水', '嘉兴', '绍兴', '德州', '聊城', '菏泽', '枣庄', '铜陵', '安庆', '池州', '玉溪', '红河哈尼族彝族自治州', '普洱', '孝感', '襄阳', '宜昌', '荆门', '随州', '十堰', '天门', '恩施土家族苗族自治州', '衢州', '赤峰', '广安', '遵义', '达州', '泸州', '南充', '资阳', '铜仁', '内江', '遂宁', '福州', '绵阳', '巴中', '德阳', '阜阳', '亳州', '周口', '淮南', '驻马店', '信阳', '六安', '蚌埠', '保定', '邢台', '衡水', '沧州', '廊坊', '宝鸡', '咸阳', '贺州', '焦作', '开封', '湖州', '楚雄彝族自治州', '松原', '白城', '西双版纳傣族自治州', '济源', '汉中', '安康', '巴彦淖尔', '乌海', '佳木斯', '双鸭山', '鹤岗', '钦州', '北海', '防城港', '玉林', '雅安', '甘孜藏族自治州', '伊春', '保山', '德宏傣族景颇族自治州', '梧州', '商丘', '许昌', '龙岩', '漳州', '三明', '海南藏族自治州', '文山壮族苗族自治州', '临沧', '洛阳', '阿坝藏族羌族自治州', '广元', '宿州', '南平', '莆田', '吉林', '延边朝鲜族自治州', '榆林', '汕尾', '揭阳', '通化', '白山', '辽源', '延安', '承德', '渭南', '商洛', '铜川', '平顶山', '漯河', '淮北', '三门峡', '崇左', '思茅', '潮州', '四平', '南阳', '黔东南苗族侗族自治州', '威海', '鸡西', '牡丹江', '襄樊', '张掖', '金昌', '海西蒙古族藏族自治州', '海北藏族自治州']"
20200122,1,['澄迈县']
20200122,2,['定安县']
20200122,3,['临高县']
20200122,4,['山南']
20200122,5,['日喀则']
20200122,6,['那曲']
20200122,7,['吐鲁番']
20200122,8,['屯昌县']
20200123,0,"['白银', '兰州', '定西', '临夏回族自治州', '西安', '武威', '西宁', '天水', '海东', '成都', '南宁', '河池', '柳州', '百色', '深圳', '东莞', '来宾', '广州', '黔南布依族苗族自治州', '宜春', '新余', '南昌', '吉安', '沈阳', '营口', '大连', '鞍山', '盘锦', '北京', '丽江', '阳江', '佛山', '中山', '江门', '珠海', '茂名', '上饶', '鹰潭', '上海', '清远', '惠州', '肇庆', '韶关', '湛江', '长沙', '梅州', '衡阳', '重庆', '河源', '武汉', '常德', '益阳', '荆州', '张家界', '株洲', '怀化', '岳阳', '大理白族自治州', '昆明', '潜江', '哈尔滨', '齐齐哈尔', '大庆', '呼伦贝尔', '黑河', '兴安盟', '绥化', '娄底', '邵阳', '湘潭', '晋中', '太原', '吕梁', '忻州', '临汾', '长治', '大同', '阳泉', '黄石', '鄂州', '黄冈', '咸宁', '宁波', '舟山', '杭州', '铁岭', '抚顺', '辽阳', '锦州', '本溪', '阜新', '长春', '丹东', '葫芦岛', '朝阳', '萍乡', '凉山彝族自治州', '攀枝花', '昭通', '桂林', '晋城', '宜宾', '毕节', '曲靖', '乐山', '眉山', '自贡', '贵港', '贵阳', '安顺', '六盘水', '黔西南布依族苗族自治州', '郑州', '安阳', '濮阳', '新乡', '鹤壁', '邯郸', '天津', '济南', '泰安', '青岛', '济宁', '淄博', '临沂', '潍坊', '菏泽', '烟台', '镇江', '南京', '苏州', '滁州', '马鞍山', '扬州', '常州', '无锡', '淮安', '宿迁', '盐城', '徐州', '泰州', '南通', '合肥', '宣城', '陇南', '赣州', '厦门', '泉州', '呼和浩特', '乌兰察布', '包头', '锡林郭勒盟', '鄂尔多斯', '张家口', '郴州', '朔州', '金昌', '唐山', '秦皇岛', '永州', '东营', '日照', '九江', '抚州', '连云港', '平凉', '庆阳', '温州', '台州', '金华', '宁德', '丽水', '嘉兴', '德州', '滨州', '聊城', '铜陵', '安庆', '池州', '芜湖', '玉溪', '红河哈尼族彝族自治州', '普洱', '楚雄彝族自治州', '孝感', '宜昌', '襄阳', '仙桃', '衢州', '赤峰', '通辽', '广安', '遵义', '达州', '泸州', '恩施土家族苗族自治州', '南充', '资阳', '内江', '遂宁', '铜仁', '绵阳', '福州', '德阳', '巴中', '湘西土家族苗族自治州', '阜阳', '亳州', '周口', '淮南', '驻马店', '信阳', '六安', '绍兴', '蚌埠', '石家庄', '保定', '邢台', '衡水', '沧州', '廊坊', '宝鸡', '咸阳', '贺州', '焦作', '开封', '洛阳', '湖州', '松原', '白城', '四平', '西双版纳傣族自治州', '济源', '汉中', '安康', '巴彦淖尔', '乌海', '佳木斯', '双鸭山', '鹤岗', '钦州', '北海', '防城港', '玉林', '雅安', '伊春', '保山', '德宏傣族景颇族自治州', '梧州', '商丘', '许昌', '龙岩', '漳州', '三明', '天门', '荆门', '海南藏族自治州', '文山壮族苗族自治州', '阿坝藏族羌族自治州', '广元', '甘孜藏族自治州', '宿州', '景德镇', '南平', '莆田', '吉林', '延边朝鲜族自治州', '榆林', '汕尾', '揭阳', '通化', '白山', '辽源', '延安', '承德', '渭南', '商洛', '铜川', '平顶山', '漯河', '临沧', '淮北', '枣庄', '三门峡', '运城', '崇左', '思茅', '汕头', '随州', '南阳', '黔东南苗族侗族自治州', '云浮', '威海', '鸡西', '牡丹江', '襄樊', '十堰', '张掖', '潮州', '海西蒙古族藏族自治州', '海北藏族自治州']"
20200123,1,['澄迈县']
20200123,2,['定安县']
20200123,3,['临高县']
20200123,4,['山南']
20200123,5,['日喀则']
20200123,6,['吐鲁番']
20200123,7,['屯昌县']
20200124,0,"['白银', '兰州', '临夏回族自治州', '定西', '西安', '武威', '西宁', '南宁', '河池', '柳州', '百色', '深圳', '宜春', '新余', '南昌', '沈阳', '营口', '大连', '鞍山', '盘锦', '北京', '丽江', '广州', '阳江', '佛山', '中山', '江门', '东莞', '珠海', '茂名', '上饶', '鹰潭', '清远', '惠州', '肇庆', '韶关', '上海', '湛江', '长沙', '常德', '益阳', '荆州', '张家界', '岳阳', '株洲', '大理白族自治州', '昆明', '潜江', '哈尔滨', '齐齐哈尔', '大庆', '呼伦贝尔', '黑河', '兴安盟', '娄底', '湘潭', '邵阳', '怀化', '衡阳', '晋中', '太原', '吕梁', '忻州', '临汾', '长治', '鄂州', '黄石', '武汉', '黄冈', '咸宁', '宁波', '舟山', '杭州', '铁岭', '抚顺', '辽阳', '锦州', '本溪', '阜新', '长春', '萍乡', '成都', '凉山彝族自治州', '昭通', '攀枝花', '重庆', '来宾', '桂林', '晋城', '宜宾', '毕节', '曲靖', '绥化', '乐山', '眉山', '自贡', '河源', '贵阳', '安顺', '六盘水', '黔西南布依族苗族自治州', '黔南布依族苗族自治州', '郑州', '安阳', '濮阳', '鹤壁', '新乡', '邯郸', '天津', '济南', '泰安', '济宁', '青岛', '淄博', '临沂', '潍坊', '镇江', '南京', '苏州', '滁州', '扬州', '常州', '马鞍山', '无锡', '淮安', '盐城', '徐州', '南通', '宿迁', '泰州', '陇南', '天水', '赣州', '厦门', '吉安', '呼和浩特', '乌兰察布', '包头', '大同', '鄂尔多斯', '锡林郭勒盟', '朔州', '唐山', '秦皇岛', '郴州', '永州', '东营', '烟台', '日照', '九江', '抚州', '连云港', '平凉', '温州', '台州', '金华', '丽水', '宁德', '德州', '滨州', '聊城', '菏泽', '合肥', '铜陵', '安庆', '池州', '芜湖', '玉溪', '红河哈尼族彝族自治州', '孝感', '衢州', '赤峰', '朝阳', '通辽', '广安', '遵义', '达州', '泸州', '恩施土家族苗族自治州', '内江', '南充', '遂宁', '资阳', '铜仁', '绵阳', '宜昌', '德阳', '福州', '泉州', '湘西土家族苗族自治州', '阜阳', '亳州', '周口', '淮南', '驻马店', '信阳', '六安', '嘉兴', '石家庄', '保定', '邢台', '衡水', '沧州', '廊坊', '宝鸡', '咸阳', '阳泉', '贺州', '焦作', '开封', '湖州', '楚雄彝族自治州', '松原', '白城', '西双版纳傣族自治州', '普洱', '济源', '汉中', '巴彦淖尔', '乌海', '佳木斯', '双鸭山', '鹤岗', '绍兴', '钦州', '北海', '防城港', '雅安', '伊春', '保山', '德宏傣族景颇族自治州', '梧州', '贵港', '商丘', '许昌', '龙岩', '漳州', '三明', '天门', '荆门', '仙桃', '海南藏族自治州', '文山壮族苗族自治州', '张家口', '洛阳', '阿坝藏族羌族自治州', '巴中', '广元', '蚌埠', '宿州', '宣城', '景德镇', '南平', '莆田', '吉林', '延边朝鲜族自治州', '榆林', '汕尾', '揭阳', '玉林', '通化', '白山', '延安', '承德', '渭南', '商洛', '铜川', '安康', '平顶山', '漯河', '临沧', '淮北', '枣庄', '甘孜藏族自治州', '三门峡', '崇左', '思茅', '梅州', '汕头', '随州', '四平', '南阳', '葫芦岛', '黔东南苗族侗族自治州', '云浮', '威海', '鸡西', '牡丹江', '十堰', '襄樊', '张掖', '庆阳', '潮州', '襄阳', '金昌', '海东', '海西蒙古族藏族自治州', '海北藏族自治州', '运城', '丹东', '辽源']"
20200124,1,['澄迈县']
20200124,2,['定安县']
20200124,3,['临高县']
20200124,4,['山南']
20200124,5,['日喀则']
20200124,6,['吐鲁番']
20200124,7,['屯昌县']
20200125,0,"['白银', '兰州', '临夏回族自治州', '定西', '武威', '南宁', '河池', '柳州', '百色', '宜春', '新余', '沈阳', '营口', '大连', '鞍山', '盘锦', '广州', '阳江', '佛山', '江门', '上饶', '鹰潭', '深圳', '东莞', '清远', '惠州', '珠海', '中山', '肇庆', '韶关', '长沙', '常德', '益阳', '荆州', '张家界', '大理白族自治州', '丽江', '昆明', '潜江', '哈尔滨', '齐齐哈尔', '大庆', '呼伦贝尔', '兴安盟', '黑河', '娄底', '邵阳', '湘潭', '株洲', '晋中', '太原', '吕梁', '北京', '忻州', '鄂州', '黄石', '武汉', '宁波', '舟山', '铁岭', '抚顺', '辽阳', '锦州', '本溪', '阜新', '萍乡', '成都', '凉山彝族自治州', '昭通', '攀枝花', '来宾', '桂林', '长治', '晋城', '宜宾', '毕节', '绥化', '乐山', '眉山', '自贡', '河源', '贵阳', '安顺', '六盘水', '黔西南布依族苗族自治州', '郑州', '安阳', '濮阳', '新乡', '鹤壁', '邯郸', '济南', '泰安', '济宁', '青岛', '德州', '镇江', '南京', '滁州', '马鞍山', '上海', '常州', '扬州', '苏州', '淮安', '无锡', '南通', '宣城', '盐城', '南昌', '赣州', '吉安', '呼和浩特', '乌兰察布', '包头', '大同', '朔州', '唐山', '秦皇岛', '岳阳', '衡阳', '潍坊', '淄博', '东营', '烟台', '临沂', '日照', '九江', '抚州', '泰州', '连云港', '平凉', '西安', '杭州', '温州', '台州', '滨州', '聊城', '菏泽', '合肥', '铜陵', '安庆', '芜湖', '池州', '玉溪', '红河哈尼族彝族自治州', '黄冈', '孝感', '咸宁', '衢州', '金华', '朝阳', '赤峰', '通辽', '重庆', '广安', '达州', '遵义', '泸州', '恩施土家族苗族自治州', '内江', '资阳', '南充', '遂宁', '铜仁', '绵阳', '宜昌', '德阳', '阜阳', '亳州', '周口', '淮南', '驻马店', '六安', '信阳', '石家庄', '保定', '邢台', '衡水', '天津', '沧州', '宝鸡', '咸阳', '廊坊', '阳泉', '焦作', '开封', '嘉兴', '郴州', '永州', '楚雄彝族自治州', '长春', '松原', '白城', '四平', '西双版纳傣族自治州', '普洱', '济源', '汉中', '安康', '巴彦淖尔', '鄂尔多斯', '乌海', '佳木斯', '双鸭山', '鹤岗', '绍兴', '钦州', '北海', '防城港', '雅安', '伊春', '保山', '德宏傣族景颇族自治州', '梧州', '商丘', '许昌', '厦门', '龙岩', '漳州', '福州', '泉州', '曲靖', '洛阳', '阿坝藏族羌族自治州', '广元', '巴中', '蚌埠', '宿州', '景德镇', '莆田', '宁德', '南平', '三明', '吉林', '延边朝鲜族自治州', '榆林', '汕尾', '揭阳', '茂名', '湛江', '玉林', '通化', '辽源', '白山', '延安', '张家口', '承德', '渭南', '商洛', '铜川', '湖州', '平顶山', '漯河', '临沧', '贵港', '淮北', '徐州', '宿迁', '枣庄', '甘孜藏族自治州', '三门峡', '崇左', '思茅', '梅州', '南阳', '葫芦岛', '怀化', '湘西土家族苗族自治州', '黔东南苗族侗族自治州', '黔南布依族苗族自治州', '云浮', '十堰', '襄樊', '丽水', '牡丹江', '仙桃', '天水', '庆阳', '汕头', '潮州', '荆门', '襄阳', '金昌', '临汾', '运城', '文山壮族苗族自治州', '丹东', '威海', '随州']"
20200125,1,"['西宁', '海北藏族自治州', '海西蒙古族藏族自治州', '海南藏族自治州', '海东']"
20200125,2,['澄迈县']
20200125,3,['定安县']
20200125,4,['临高县']
20200125,5,['山南']
20200125,6,['日喀则']
20200125,7,['张掖']
20200125,8,['吐鲁番']
20200125,9,['屯昌县']
20200126,0,"['天水', '兰州', '临夏回族自治州', '金昌', '定西', '平凉', '武威', '白银']"
