edges,indicator_value
鄂尔多斯-包头,29
苏州-无锡,29
泰安-济宁,29
武汉-孝感,29
长沙-衡阳,29
上海-苏州,28
苏州-南通,28
长沙-邵阳,28
永州-衡阳,28
嘉兴-苏州,28
邵阳-娄底,28
衡阳-郴州,28
