edges,indicator_value
广州-阳江,9
巴中-南充,8
泸州-自贡,8
广州-赣州,8
宜春-萍乡,8
衢州-上饶,8
文山壮族苗族自治州-百色,8
东莞-河源,8
宣城-南京,8
大理白族自治州-临沧,8
株洲-萍乡,8
滁州-扬州,8
长沙-萍乡,8
阜阳-六安,8
