edges,indicator_value
长春-吉林,29
忻州-太原,29
郑州-洛阳,29
保山-德宏傣族景颇族自治州,29
南昌-宜春,29
郑州-新乡,29
朝阳-赤峰,29
大理白族自治州-丽江,29
南京-滁州,29
南昌-抚州,29
长春-松原,29
长春-四平,29
新乡-焦作,29
九江-南昌,29
鄂尔多斯-呼和浩特,28
上饶-景德镇,28
厦门-龙岩,28
安阳-鹤壁,28
佛山-深圳,28
南京-马鞍山,28
周口-亳州,28
吕梁-太原,28
湛江-玉林,28
南充-广元,28
兰州-白银,28
深圳-汕尾,28
广元-绵阳,28
常德-张家界,28
贵阳-黔东南苗族侗族自治州,28
成都-广元,28
宁波-台州,28
铜仁-黔东南苗族侗族自治州,28
泰州-无锡,28
周口-开封,28
昆明-大理白族自治州,28
榆林-忻州,28
郑州-开封,28
镇江-南京,28
周口-驻马店,28
泉州-三明,28
周口-郑州,28
广州-肇庆,28
广州-韶关,28
眉山-乐山,28
郑州-许昌,28
杭州-宁波,28
新乡-安阳,28
肇庆-云浮,28
太原-晋中,28
杭州-衢州,28
惠州-河源,28
安庆-合肥,28
杭州-嘉兴,28
巴中-南充,28
许昌-漯河,28
鞍山-营口,28
驻马店-阜阳,28
兰州-临夏回族自治州,28
南昌-上饶,28
杭州-绍兴,28
广州-茂名,28
杭州-金华,28
成都-乐山,28
贵港-梧州,28
沈阳-鞍山,28
湖州-杭州,28
徐州-临沂,27
玉林-南宁,27
宿州-商丘,27
沈阳-锦州,27
南宁-贵港,27
安阳-濮阳,27
