source_city_name,target_city_name,weight,node_connectivity,edge_connectivity,hub_promoted_index,CN,AA,RA,JACC,LHN,salton_index,sorensen_index,hub_depressed_index,flag
邯郸,晋中,0.0219824604,8,9,0.3333333333333333,3,3.222888597622763,0.3541666666666666,0.15,1.9285714285714284,0.6708203932499369,0.3,0.2142857142857142,0
澳门,中山,0.02557975788,2,2,0.5,1,1.0,0.1,0.0625,7.5,0.25,0.125,0.0666666666666666,0
大同,鄂尔多斯,0.02975535972,6,7,0.1428571428571428,1,1.0479516371446924,0.1111111111111111,0.0714285714285714,1.1428571428571428,0.2672612419124244,0.1428571428571428,0.125,0
临汾,榆林,0.02206733382,7,8,0.25,2,2.3953251830172366,0.2934782608695652,0.1333333333333333,1.7777777777777777,0.5163977794943222,0.2666666666666666,0.2222222222222222,0
商丘,浙江,0.0241824900599999,12,12,0.3333333333333333,4,3.0633953551229656,0.2088993852151747,0.1333333333333333,7.333333333333333,0.7302967433402214,0.2666666666666666,0.1818181818181818,0
永州,清远,0.0240411304799999,10,10,0.4,4,3.010257046902676,0.2000429000429,0.25,4.0,1.0,0.5,0.4,0
北京,呼和浩特,0.0246736772999999,6,7,0.1428571428571428,1,1.285097208938469,0.1666666666666666,0.0238095238095238,0.1944444444444444,0.1543033499620919,0.0476190476190476,0.0277777777777777,0
北京,长春,0.02104544268,4,6,0.1,1,0.8502741537276025,0.0666666666666666,0.0222222222222222,0.2777777777777778,0.1490711984999859,0.0444444444444444,0.0277777777777777,0
北京,莱芜,0.0315957850199999,12,16,0.3125,5,4.309336501902288,0.3468165606323501,0.1063829787234042,2.2222222222222223,0.7293249574894728,0.2127659574468085,0.1388888888888889,0
张家口,唐山,0.0251429734799999,10,10,0.6,6,5.22057475044598,0.4344548425430778,0.4,5.454545454545454,1.5491933384829668,0.8,0.5454545454545454,0
张家口,鄂尔多斯,0.0204266042999999,7,10,0.2,2,2.4683918713934068,0.3095238095238095,0.1052631578947368,1.8181818181818183,0.4588314677411235,0.2105263157894736,0.1818181818181818,0
石家庄,榆林,0.02155071744,8,9,0.1111111111111111,1,1.0479516371446924,0.1111111111111111,0.04,0.5294117647058824,0.2,0.08,0.0588235294117647,0
沧州,邢台,0.0219259078199999,9,9,0.5555555555555556,5,4.172623113301288,0.3233437314319667,0.3571428571428571,4.5,1.336306209562122,0.7142857142857143,0.5,0
上海,黄山,0.02730457674,4,4,0.75,3,2.435931395941635,0.1811688311688312,0.0555555555555555,0.2264150943396226,0.408248290463863,0.1111111111111111,0.0566037735849056,0
德州,淄博,0.0233742834,10,11,0.6363636363636364,7,6.506725469440573,0.5945900289940538,0.4117647058823529,5.9230769230769225,1.697749375254331,0.8235294117647058,0.5384615384615384,0
德州,东营,0.0233257546799999,7,7,0.8571428571428571,6,5.283683374774762,0.4426419770460018,0.4285714285714285,3.230769230769231,1.6035674514745464,0.8571428571428571,0.4615384615384615,0
哈尔滨,鹤岗,0.02356916292,2,2,0.5,1,2.095903274289385,0.3333333333333333,0.0625,0.1333333333333333,0.25,0.125,0.0666666666666666,0
广州,杭州,0.0217635416999999,10,28,0.1428571428571428,4,2.555747985014447,0.1103167262712212,0.064516129032258,2.9473684210526314,0.508000508000762,0.1290322580645161,0.1052631578947368,0
广州,贺州,0.02767746672,6,6,0.8333333333333334,5,4.488302356117783,0.3897326203208556,0.1282051282051282,0.7894736842105263,0.8006407690254357,0.2564102564102564,0.131578947368421,0
广州,株洲,0.0210273424199999,9,11,0.3636363636363636,4,3.713378632496294,0.3383838383838383,0.0888888888888888,1.1578947368421053,0.5962847939999439,0.1777777777777777,0.1052631578947368,0
深圳,杭州,0.0214731972,10,28,0.1428571428571428,4,2.564549724893629,0.1116325157449054,0.0625,2.8000000000000003,0.5,0.125,0.1,0
深圳,梧州,0.0257449266,11,11,0.8181818181818182,9,7.612725052232874,0.609657292741658,0.2142857142857142,2.475,1.3887301496588271,0.4285714285714285,0.225,0
深圳,泉州,0.0210306536999999,6,9,0.2,2,1.6132161762802582,0.1203208556149732,0.0416666666666666,0.5,0.2886751345948129,0.0833333333333333,0.05,0
重庆,泉州,0.02245355316,6,9,0.1,1,0.6241963505817849,0.025,0.0232558139534883,0.2941176470588235,0.1524985703326046,0.0465116279069767,0.0294117647058823,0
重庆,眉山,0.0205272306,5,5,0.6,3,3.175118963768736,0.3479853479853479,0.0833333333333333,0.4411764705882353,0.5,0.1666666666666666,0.088235294117647,0
海口,白沙黎族自治县,0.0278482341599999,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
珠海,茂名,0.0281636918999999,10,11,0.7272727272727273,8,6.384462461311827,0.4667428542389842,0.5714285714285714,8.0,2.138089935299395,1.1428571428571428,0.7272727272727273,0
中山,梧州,0.0255339296999999,11,11,0.5454545454545454,6,4.684869976201614,0.3336769005847953,0.2727272727272727,3.882352941176471,1.2792042981336629,0.5454545454545454,0.3529411764705882,0
中山,韶关,0.0218249931599999,9,9,0.6666666666666666,6,4.469673776395204,0.2849034518113466,0.3,3.1764705882352944,1.3416407864998738,0.6,0.3529411764705882,0
怀化,娄底,0.0202159573199999,7,7,0.2857142857142857,2,1.7051744275624745,0.1363636363636363,0.1538461538461538,1.75,0.5547001962252291,0.3076923076923077,0.25,0
曲靖,玉溪,0.02224718298,3,5,0.4,2,2.442975530543222,0.3026315789473684,0.1428571428571428,0.9090909090909092,0.5345224838248488,0.2857142857142857,0.1818181818181818,0
