city_name,indicator_value,edgenum
周口,11.018322554314894,5
徐州,11.112067972264438,3
连云港,11.077716964593415,3
安顺,11.075182323524887,3
镇江,11.06470666750731,2
扬州,11.069283419875553,2
重庆,11.06928267380881,2
资阳,11.028159523674073,2
忻州,11.046840251447843,2
通辽,11.09558751209261,2
商丘,10.88647430673689,2
驻马店,10.88647430673689,2
常德,10.812390367403665,2
榆林,10.665584488704578,2
梧州,10.603217383623019,2
聊城,10.601479233914587,2
南京,10.586455715903218,2
赤峰,10.591003366783445,2
焦作,10.644758198174806,2
衡阳,10.65553883495416,2
黔南布依族苗族自治州,10.659795161473156,2
白城,10.546681917341695,2
南阳,10.547315152557397,2
黔西南布依族苗族自治州,10.563346586015577,2
六盘水,10.563346586015577,2
玉林,10.599345383846087,2
东莞,10.582337469448227,2
江门,10.572369476412806,2
漯河,10.56165573730392,2
平顶山,10.56165573730392,2
邢台,10.562980797841655,2
益阳,10.562980797841655,2
盘锦,10.55166591298285,2
大同,10.533925745209986,2
铜仁,10.524005522429283,2
阜阳,10.524005522429283,1
西安,10.467873170724548,1
运城,10.467873170724548,1
上饶,10.490563398387085,1
鹰潭,10.490563398387085,1
朔州,10.490563398387085,1
安庆,10.53928918257144,1
池州,10.53928918257144,1
荆州,10.420349618713251,1
潜江,10.420349618713251,1
沈阳,10.420349618713251,1
长沙,10.370873404241632,1
萍乡,10.370873404241632,1
亳州,10.370873404241632,1
济宁,10.370873404241632,1
张家界,10.370873404241632,1
贺州,10.370873404241632,1
潍坊,10.369649699060979,1
日照,10.369649699060979,1
钦州,10.364210416128774,1
防城港,10.364210416128774,1
邯郸,10.364210416128774,1
宣城,10.364210416128774,1
朝阳,10.364210416128774,1
济源,10.364210416128774,1
永州,10.364210416128774,1
遵义,10.364210416128774,1
兴安盟,10.364210416128774,1
内江,10.364210416128774,1
黄冈,10.3065162851681,1
九江,10.3065162851681,1
宿州,10.275654409560435,1
蚌埠,10.275654409560435,1
湛江,10.275654409560435,1
贵港,10.275654409560435,1
龙岩,10.273634986061914,1
漳州,10.273634986061914,1
洛阳,10.273634986061914,1
佛山,10.21691011710327,1
珠海,10.21691011710327,1
葫芦岛,10.18825625097316,1
秦皇岛,10.18825625097316,1
嘉兴,10.184588532932283,1
绍兴,10.184588532932283,1
岳阳,10.184588532932283,1
鞍山,10.184588532932283,1
乌兰察布,10.184588532932283,1
恩施土家族苗族自治州,10.15702817539077,1
湘西土家族苗族自治州,10.15702817539077,1
南充,10.162488459415377,1
广安,10.162488459415377,1
黔东南苗族侗族自治州,10.162488459415377,1
茂名,10.162488459415377,1
铁岭,10.14219897686573,1
四平,10.14219897686573,1
淄博,10.141020934872756,1
东营,10.141020934872756,1
枣庄,10.141020934872756,1
开封,10.141020934872756,1
许昌,10.141020934872756,1
芜湖,10.141020934872756,1
清远,10.141020934872756,1
常州,10.135852187227284,1
泰州,10.135852187227284,1
松原,10.135852187227284,1
潮州,10.13605418043743,1
揭阳,10.13605418043743,1
宿迁,10.13605418043743,1
吕梁,10.13605418043743,1
滁州,10.13605418043743,1
达州,10.13605418043743,1
巴中,10.13605418043743,1
晋中,10.021349105176467,1
临汾,10.021349105176467,1
深圳,10.021349105176467,1
盐城,10.021349105176467,1
娄底,10.010428537127256,1
湘潭,10.010428537127256,1
定西,10.004968253102648,1
临夏回族自治州,10.004968253102648,1
宜春,10.03957719738228,1
新余,10.03957719738228,1
无锡,10.03957719738228,1
营口,10.03957719738228,1
菏泽,10.03957719738228,1
曲靖,10.03877009328771,1
红河哈尼族彝族自治州,10.03877009328771,1
德州,10.014834305658907,1
滨州,10.014834305658907,1
张家口,10.014834305658907,1
遂宁,10.009352857742732,1
绵阳,10.009352857742732,1
衡水,10.009352857742732,1
株洲,10.009352857742732,1
