city_name,indicator_value,edgenum
北京,10.53898251989748,8
上海,10.819338374052784,6
哈尔滨,10.813829692082168,4
长沙,10.737106501380083,3
长春,10.958085541011155,3
南京,11.04030922267889,3
武汉,10.91060545489938,3
石家庄,10.943830880792813,2
深圳,10.943830880792813,2
呼和浩特,11.052484431396849,2
青岛,11.09121080208441,2
杭州,11.09121080208441,2
沈阳,11.09121080208441,2
宁波,11.068011066425198,2
廊坊,11.068011066425198,1
张家界,11.068011066425198,1
锡林郭勒盟,11.068011066425198,1
广州,10.627060298590722,1
南宁,10.627060298590722,1
唐山,10.627060298590722,1
徐州,10.627060298590722,1
延边朝鲜族自治州,10.627060298590722,1
湘西土家族苗族自治州,10.627060298590722,1
大同,10.627060298590722,1
威海,10.627060298590722,1
黑河,10.627060298590722,1
芜湖,10.627060298590722,1
太原,10.587216801501622,1
朔州,10.587216801501622,1
成都,10.619656131213075,1
攀枝花,10.619656131213075,1
温州,10.619656131213075,1
鸡西,10.619656131213075,1
台州,10.619656131213075,1
十堰,10.619656131213075,1
济南,10.604271093574043,1
烟台,10.604271093574043,1
连云港,10.604271093574043,1
重庆,10.604271093574043,1
苏州,10.604271093574043,1
伊春,10.604271093574043,1
镇江,10.604271093574043,1
