日期,数值
20200101,0.0
20200102,0.0
20200103,0.0516450822668174
20200104,0.05196449157629286
20200105,0.07749209690447839
20200106,0.08454647100329167
20200107,0.05245228701245559
20200108,0.10064203830336399
20200109,0.1005140858886923
20200110,0.05239507250099072
20200111,0.08638732038632024
20200112,0.05110148255975403
20200113,0.09771219443268751
20200114,0.05105371031673066
20200115,0.05100120717114816
20200116,0.0
20200117,0.0
20200118,0.0
20200119,0.0
20200120,0.0
20200121,0.0
20200122,0.0
20200123,0.0
20200124,0.0
20200125,0.0
20200126,0.0
20200127,0.0
20200128,0.0
20200129,0.0
20200130,0.0
20200131,0.0
20200201,0.0
20200202,0.0
20200203,0.0
20200204,0.0
20200205,0.0
20200206,0.0
20200207,0.0
20200208,0.0
20200209,0.0
20200210,0.0
20200211,0.0
20200212,0.0
20200213,0.0
20200214,0.0
20200215,0.0
20200216,0.0
20200217,0.0
20200218,0.0
20200219,0.0
20200220,0.0
20200221,0.0
20200222,0.0
20200223,0.0
20200224,0.0
20200225,0.0
20200226,0.0
20200227,0.0
20200228,0.0
20200229,0.0
20200301,0.0
20200302,0.0
20200303,0.0
20200304,0.0
20200305,0.0
20200306,0.0
20200307,0.0
20200308,0.0
20200309,0.0
20200310,0.0
20200311,0.0
20200312,0.0
20200313,0.0
20200314,0.0
20200315,0.0
20200316,0.0
20200317,0.0
20200318,0.0
20200319,0.0
20200320,0.0
20200321,0.0
20200322,0.0
20200323,0.0
20200324,0.0
20200325,0.0
20200326,0.0
20200327,0.0
20200328,0.0
20200329,0.0
20200330,0.0
20200331,0.0
20200401,0.0
20200402,0.0
20200403,0.0
20200404,0.0
20200405,0.0
20200406,0.0
20200407,0.0
20200408,0.0
20200409,0.0
20200410,0.0
20200411,0.0
20200412,0.0
20200413,0.0
20200414,0.0
20200415,0.0
20200416,0.0
20200417,0.0
20200418,0.0
20200419,0.0
20200420,0.0
20200421,0.0
20200422,0.0
20200423,0.0
20200424,0.0
20200425,0.0
20200426,0.0
20200427,0.0
20200428,0.0
20200429,0.0
20200430,0.0
20200501,0.0
20200502,0.0
20200503,0.0
20201001,0.12758921802912404
20201002,0.09160888994097147
20201003,0.09170458287925169
20201004,0.03724089495498789
20201005,0.10163830815037417
20201006,0.09603190357412306
20201007,0.08819287869527502
20201008,0.05168868157969744
20201009,0.05159018082000074
20201010,0.0435195378147409
20201011,0.04464086186570285
20201012,0.050727179693341416
20201013,0.0
20201014,0.0
20201015,0.0
20201016,0.05106039110712326
20201017,0.0515834427060288
20201018,0.0
20201019,0.051126653569450634
20201020,0.0
20201021,0.0
20201022,0.0
20201023,0.050809558852827896
20201024,0.05104096711583183
20201025,0.0
20201026,0.05104130034413751
20201027,0.049661017999874046
20201028,0.0
20201029,0.0
20201030,0.0510839499270974
20201031,0.05106371530318073
20201101,0.0
20201102,0.05030284244334193
20201103,0.0
20201104,0.05065293202889865
20201105,0.05006651903955754
20201106,0.0
20201107,0.05082002713815611
20201108,0.0
20201109,0.05127970701801814
20201110,0.0
20201111,0.0
20201112,0.0
20201113,0.0
20201114,0.0
20201115,0.0
20201116,0.0
20201117,0.0
20201118,0.0
20201119,0.0
20201120,0.0
20201121,0.0
20201122,0.0
20201123,0.0
20201124,0.0
20201125,0.0
20201126,0.0
20201127,0.0
20201128,0.0
20201129,0.0
20201130,0.0
20201201,0.0
20201202,0.0
20201203,0.0
20201204,0.0
20201205,0.0
20201206,0.0
20201207,0.0
20201208,0.0
