时间,连通分量,分量的城市
20200128,5,"['抚州', '南昌', '宜春', '景德镇', '九江', '上饶']"
20200128,6,"['白银', '定西', '临夏回族自治州', '兰州', '天水']"
20200128,7,"['南平', '福州', '莆田', '泉州', '漳州', '三明', '宁德', '厦门']"
20200128,8,"['日照', '临沂']"
20200129,1,"['梅州', '肇庆', '昆明', '湛江', '深圳', '重庆', '江门', '汕头', '攀枝花', '资阳', '潮州', '玉溪', '内江', '铜仁', '楚雄彝族自治州', '文山壮族苗族自治州', '云浮', '揭阳', '雅安', '北海', '清远', '眉山', '六盘水', '百色', '黔东南苗族侗族自治州', '泸州', '自贡', '乐山', '佛山', '贵阳', '绵阳', '东莞', '黔西南布依族苗族自治州', '贵港', '成都', '遵义', '来宾', '广安', '河池', '曲靖', '德阳', '汕尾', '珠海', '河源', '中山', '遂宁', '南宁', '桂林', '安顺', '广州', '红河哈尼族彝族自治州', '昭通', '恩施土家族苗族自治州', '玉林', '茂名', '惠州', '达州', '钦州', '毕节', '崇左', '凉山彝族自治州', '柳州', '韶关', '巴中', '黔南布依族苗族自治州', '广元', '南充']"
20200129,2,"['延安', '西安', '渭南', '鄂尔多斯', '榆林', '忻州', '咸阳', '商洛', '乌海', '宝鸡', '晋中', '乌兰察布', '包头', '太原', '吕梁', '呼和浩特']"
20200129,3,"['廊坊', '石家庄', '沧州', '邢台', '唐山', '衡水', '秦皇岛', '北京', '保定', '张家口', '邯郸', '天津']"
20200129,4,"['朝阳', '通辽', '赤峰']"
20200129,5,"['安庆', '商丘', '宿迁', '信阳', '连云港', '南京', '泰州', '宣城', '宁波', '常州', '阜阳', '滁州', '盐城', '金华', '周口', '亳州', '新乡', '杭州', '芜湖', '徐州', '许昌', '洛阳', '苏州', '宿州', '六安', '郑州', '平顶山', '焦作', '驻马店', '扬州', '嘉兴', '铜陵', '漯河', '无锡', '南通', '淮南', '马鞍山', '上海', '绍兴', '镇江', '合肥', '衢州', '湖州', '开封', '淮北', '蚌埠']"
20200129,6,"['大庆', '营口', '盘锦', '哈尔滨', '白城', '长春', '葫芦岛', '松原', '铁岭', '辽阳', '四平', '吉林', '抚顺', '佳木斯', '齐齐哈尔', '绥化', '阜新', '鞍山', '锦州', '大连', '牡丹江', '沈阳', '呼伦贝尔']"
20200129,7,"['衡阳', '岳阳', '常德', '娄底', '湘潭', '永州', '长沙', '株洲', '益阳', '怀化', '邵阳', '郴州']"
20200129,8,"['泰安', '枣庄', '济宁', '德州', '济南', '青岛', '潍坊', '烟台', '威海', '滨州', '淄博', '菏泽', '东营']"
20200129,9,"['武汉', '黄冈', '孝感']"
20200129,10,"['九江', '南昌', '宜春']"
20200129,11,"['大同', '朔州']"
20200129,12,"['南平', '福州', '莆田', '泉州', '漳州', '三明', '宁德', '厦门']"
20200129,13,"['濮阳', '聊城']"
20200129,14,"['临夏回族自治州', '兰州', '定西', '白银']"
20200129,15,"['日照', '临沂']"
20200129,16,"['临汾', '运城']"
20200129,17,"['景德镇', '上饶']"
20200130,1,"['肇庆', '梅州', '昆明', '深圳', '湛江', '重庆', '江门', '汕头', '攀枝花', '资阳', '潮州', '玉溪', '内江', '铜仁', '楚雄彝族自治州', '文山壮族苗族自治州', '云浮', '揭阳', '雅安', '清远', '眉山', '六盘水', '百色', '黔东南苗族侗族自治州', '泸州', '自贡', '乐山', '佛山', '贵阳', '绵阳', '东莞', '黔西南布依族苗族自治州', '贵港', '遵义', '成都', '来宾', '广安', '河池', '曲靖', '德阳', '汕尾', '珠海', '河源', '中山', '遂宁', '南宁', '桂林', '安顺', '广州', '红河哈尼族彝族自治州', '昭通', '恩施土家族苗族自治州', '玉林', '茂名', '惠州', '达州', '钦州', '毕节', '崇左', '凉山彝族自治州', '柳州', '韶关', '巴中', '黔南布依族苗族自治州', '广元', '南充']"
20200130,2,"['延安', '西安', '渭南', '太原', '鄂尔多斯', '榆林', '忻州', '商洛', '乌海', '宝鸡', '晋中', '乌兰察布', '包头', '咸阳', '吕梁', '呼和浩特']"
20200130,3,"['廊坊', '石家庄', '沧州', '邢台', '唐山', '衡水', '秦皇岛', '北京', '保定', '张家口', '邯郸', '天津', '安阳']"
20200130,4,"['朝阳', '通辽', '赤峰']"
20200130,5,"['安庆', '商丘', '宿迁', '信阳', '连云港', '南京', '泰州', '宣城', '宁波', '常州', '阜阳', '滁州', '盐城', '金华', '周口', '亳州', '新乡', '杭州', '芜湖', '徐州', '许昌', '洛阳', '苏州', '宿州', '六安', '郑州', '平顶山', '焦作', '驻马店', '扬州', '嘉兴', '铜陵', '漯河', '无锡', '南通', '淮南', '马鞍山', '上海', '绍兴', '镇江', '合肥', '湖州', '开封', '淮北', '蚌埠']"
20200130,6,"['大庆', '营口', '盘锦', '哈尔滨', '白城', '长春', '葫芦岛', '松原', '铁岭', '辽阳', '四平', '吉林', '抚顺', '佳木斯', '齐齐哈尔', '黑河', '绥化', '鞍山', '锦州', '大连', '牡丹江', '沈阳', '呼伦贝尔']"
20200130,7,"['岳阳', '常德', '娄底', '湘潭', '永州', '长沙', '株洲', '益阳', '郴州', '邵阳', '衡阳']"
20200130,8,"['泰安', '枣庄', '济宁', '德州', '济南', '青岛', '潍坊', '烟台', '威海', '滨州', '淄博', '菏泽', '东营']"
20200130,9,"['武汉', '黄冈']"
20200130,10,"['九江', '南昌', '宜春']"
20200130,11,"['大同', '朔州']"
20200130,12,"['莆田', '泉州', '厦门', '漳州']"
20200130,13,"['濮阳', '聊城']"
20200130,14,"['临夏回族自治州', '兰州', '定西', '白银']"
20200130,15,"['日照', '临沂']"
20200130,16,"['临汾', '运城']"
20200130,17,"['景德镇', '上饶']"
20200130,18,"['福州', '南平', '宁德']"
20200131,1,"['肇庆', '梅州', '昆明', '深圳', '湛江', '重庆', '汕头', '攀枝花', '资阳', '潮州', '玉溪', '内江', '楚雄彝族自治州', '铜仁', '文山壮族苗族自治州', '云浮', '揭阳', '雅安', '清远', '眉山', '六盘水', '百色', '黔东南苗族侗族自治州', '泸州', '自贡', '乐山', '佛山', '贵阳', '绵阳', '东莞', '黔西南布依族苗族自治州', '贵港', '遵义', '成都', '来宾', '广安', '河池', '曲靖', '德阳', '珠海', '河源', '中山', '遂宁', '南宁', '桂林', '安顺', '广州', '红河哈尼族彝族自治州', '昭通', '恩施土家族苗族自治州', '玉林', '茂名', '惠州', '达州', '钦州', '毕节', '崇左', '凉山彝族自治州', '柳州', '韶关', '巴中', '黔南布依族苗族自治州', '广元', '南充']"
20200131,2,"['延安', '西安', '渭南', '太原', '鄂尔多斯', '榆林', '忻州', '商洛', '乌海', '宝鸡', '晋中', '咸阳', '吕梁']"
20200131,3,"['廊坊', '石家庄', '沧州', '邢台', '唐山', '秦皇岛', '北京', '保定', '张家口', '邯郸', '天津']"
20200131,4,"['安庆', '商丘', '宁波', '连云港', '南京', '泰州', '常州', '阜阳', '滁州', '盐城', '金华', '周口', '亳州', '新乡', '杭州', '芜湖', '许昌', '洛阳', '苏州', '六安', '郑州', '平顶山', '驻马店', '扬州', '嘉兴', '无锡', '南通', '淮南', '马鞍山', '上海', '绍兴', '镇江', '合肥', '湖州', '开封', '蚌埠']"
20200131,5,"['鞍山', '铁岭', '大连', '辽阳', '营口', '沈阳', '抚顺']"
20200131,6,"['宿州', '徐州', '淮北', '宿迁']"
20200131,7,"['岳阳', '常德', '娄底', '湘潭', '永州', '长沙', '株洲', '益阳', '郴州', '邵阳', '衡阳']"
20200131,8,"['包头', '乌兰察布', '呼和浩特']"
20200131,9,"['德州', '济南', '泰安']"
20200131,10,"['锦州', '葫芦岛', '盘锦']"
20200131,11,"['武汉', '黄冈']"
20200131,12,"['青岛', '潍坊', '烟台', '威海', '滨州', '淄博']"
20200131,13,"['济宁', '菏泽', '枣庄']"
20200131,14,"['长春', '大庆', '松原', '齐齐哈尔', '四平', '绥化', '哈尔滨', '吉林']"
20200131,15,"['大同', '朔州']"
20200131,16,"['南昌', '宜春']"
20200131,17,"['泉州', '厦门', '漳州']"
20200131,18,"['濮阳', '聊城']"
20200131,19,"['日照', '临沂']"
20200131,20,"['临汾', '运城']"
20200131,21,"['景德镇', '上饶']"
20200131,22,"['朝阳', '赤峰']"
20200131,23,"['白银', '兰州']"
20200131,24,"['宁德', '福州']"
20200201,1,"['昆明', '重庆', '攀枝花', '资阳', '玉溪', '内江', '楚雄彝族自治州', '铜仁', '文山壮族苗族自治州', '雅安', '眉山', '六盘水', '黔东南苗族侗族自治州', '自贡', '泸州', '乐山', '贵阳', '绵阳', '黔西南布依族苗族自治州', '遵义', '成都', '广安', '曲靖', '德阳', '遂宁', '安顺', '红河哈尼族彝族自治州', '昭通', '恩施土家族苗族自治州', '达州', '毕节', '凉山彝族自治州', '巴中', '黔南布依族苗族自治州', '广元', '南充']"
20200201,2,"['鄂尔多斯', '榆林', '忻州', '晋中', '太原', '吕梁']"
20200201,3,"['廊坊', '石家庄', '沧州', '邢台', '唐山', '秦皇岛', '北京', '保定', '张家口', '邯郸', '天津']"
20200201,4,"['商丘', '驻马店', '许昌', '阜阳', '开封', '周口', '亳州', '郑州']"
20200201,5,"['鞍山', '铁岭', '大连', '辽阳', '营口', '沈阳', '抚顺']"
20200201,6,"['宿州', '徐州', '淮北']"
20200201,7,"['肇庆', '梅州', '深圳', '湛江', '汕头', '潮州', '云浮', '揭阳', '清远', '百色', '佛山', '东莞', '贵港', '来宾', '河池', '汕尾', '珠海', '河源', '中山', '南宁', '广州', '玉林', '茂名', '惠州', '钦州', '崇左', '韶关', '柳州']"
20200201,8,"['岳阳', '常德', '娄底', '湘潭', '永州', '长沙', '株洲', '益阳', '郴州', '邵阳', '衡阳']"
20200201,9,"['包头', '乌兰察布', '呼和浩特']"
20200201,10,"['德州', '济南']"
20200201,11,"['延安', '西安', '渭南', '商洛', '宝鸡', '咸阳']"
20200201,12,"['锦州', '葫芦岛', '盘锦']"
20200201,13,"['武汉', '黄冈', '孝感']"
20200201,14,"['安庆', '南京', '泰州', '常州', '滁州', '盐城', '金华', '杭州', '芜湖', '苏州', '六安', '扬州', '嘉兴', '无锡', '南通', '淮南', '马鞍山', '上海', '绍兴', '镇江', '合肥']"
20200201,15,"['青岛', '潍坊', '烟台', '滨州', '淄博']"
20200201,16,"['济宁', '菏泽', '枣庄']"
20200201,17,"['长春', '大庆', '松原', '齐齐哈尔', '四平', '绥化', '哈尔滨', '吉林']"
20200201,18,"['大同', '朔州']"
20200201,19,"['南昌', '宜春']"
20200201,20,"['泉州', '厦门', '漳州']"
20200201,21,"['濮阳', '聊城']"
20200201,22,"['日照', '临沂']"
20200201,23,"['临汾', '运城']"
20200201,24,"['景德镇', '上饶']"
20200201,25,"['朝阳', '赤峰']"
20200201,26,"['宁德', '福州']"
20200202,1,"['肇庆', '梅州', '昆明', '深圳', '湛江', '重庆', '江门', '汕头', '资阳', '潮州', '玉溪', '内江', '楚雄彝族自治州', '铜仁', '文山壮族苗族自治州', '云浮', '揭阳', '雅安', '清远', '眉山', '六盘水', '百色', '黔东南苗族侗族自治州', '泸州', '自贡', '乐山', '佛山', '贵阳', '绵阳', '东莞', '黔西南布依族苗族自治州', '贵港', '遵义', '成都', '来宾', '广安', '河池', '曲靖', '德阳', '汕尾', '珠海', '河源', '中山', '遂宁', '南宁', '桂林', '安顺', '广州', '红河哈尼族彝族自治州', '昭通', '恩施土家族苗族自治州', '玉林', '茂名', '惠州', '达州', '钦州', '毕节', '崇左', '凉山彝族自治州', '柳州', '韶关', '巴中', '黔南布依族苗族自治州', '广元', '南充']"
20200202,2,"['鄂尔多斯', '榆林', '忻州', '晋中', '太原', '吕梁']"
20200202,3,"['廊坊', '石家庄', '沧州', '邢台', '唐山', '德州', '济南', '衡水', '秦皇岛', '北京', '保定', '张家口', '邯郸', '天津', '安阳']"
20200202,4,"['安庆', '商丘', '宿迁', '宁波', '信阳', '南京', '泰州', '宣城', '连云港', '常州', '阜阳', '滁州', '盐城', '金华', '亳州', '新乡', '杭州', '芜湖', '徐州', '许昌', '洛阳', '苏州', '宿州', '六安', '郑州', '平顶山', '焦作', '驻马店', '扬州', '嘉兴', '漯河', '无锡', '南通', '淮南', '马鞍山', '上海', '绍兴', '镇江', '合肥', '开封', '淮北', '周口']"
20200202,5,"['鞍山', '铁岭', '大连', '辽阳', '沈阳', '抚顺']"
20200202,6,"['岳阳', '常德', '娄底', '湘潭', '永州', '长沙', '株洲', '益阳', '郴州', '邵阳', '衡阳']"
20200202,7,"['包头', '乌兰察布', '呼和浩特']"
20200202,8,"['延安', '西安', '渭南', '商洛', '宝鸡', '咸阳']"
20200202,9,"['锦州', '葫芦岛', '盘锦']"
20200202,10,"['武汉', '黄冈', '孝感']"
20200202,11,"['青岛', '潍坊', '烟台', '滨州', '淄博']"
20200202,12,"['济宁', '菏泽', '枣庄']"
20200202,13,"['长春', '大庆', '松原', '齐齐哈尔', '四平', '绥化', '哈尔滨', '吉林']"
20200202,14,"['大同', '朔州']"
20200202,15,"['南昌', '宜春']"
20200202,16,"['莆田', '泉州', '厦门', '漳州']"
20200202,17,"['濮阳', '聊城']"
20200202,18,"['兰州', '定西']"
20200202,19,"['日照', '临沂']"
20200202,20,"['临汾', '运城']"
20200202,21,"['景德镇', '上饶']"
20200202,22,"['朝阳', '赤峰']"
20200202,23,"['宁德', '福州']"
20200203,1,"['昆明', '重庆', '资阳', '玉溪', '内江', '铜仁', '楚雄彝族自治州', '文山壮族苗族自治州', '雅安', '眉山', '六盘水', '自贡', '泸州', '乐山', '贵阳', '绵阳', '遵义', '成都', '广安', '曲靖', '德阳', '遂宁', '安顺', '红河哈尼族彝族自治州', '昭通', '恩施土家族苗族自治州', '达州', '毕节', '凉山彝族自治州', '巴中', '黔南布依族苗族自治州', '广元', '南充']"
20200203,2,"['鄂尔多斯', '榆林', '晋中', '太原', '吕梁']"
20200203,3,"['廊坊', '石家庄', '沧州', '邢台', '唐山', '衡水', '秦皇岛', '北京', '保定', '张家口', '邯郸', '天津', '安阳']"
20200203,4,"['鞍山', '铁岭', '辽阳', '沈阳', '抚顺']"
20200203,5,"['商丘', '许昌', '阜阳', '开封', '周口', '亳州', '新乡', '郑州']"
20200203,6,"['宿州', '徐州', '淮北']"
20200203,7,"['梅州', '肇庆', '湛江', '深圳', '汕头', '潮州', '云浮', '揭阳', '清远', '佛山', '东莞', '汕尾', '珠海', '河源', '中山', '广州', '茂名', '惠州', '韶关']"
20200203,8,"['岳阳', '常德', '湘潭', '永州', '长沙', '株洲', '益阳', '邵阳', '衡阳']"
20200203,9,"['包头', '乌兰察布', '呼和浩特']"
20200203,10,"['德州', '济南']"
20200203,11,"['西安', '渭南', '商洛', '宝鸡', '咸阳']"
20200203,12,"['锦州', '葫芦岛', '盘锦']"
20200203,13,"['安庆', '南京', '泰州', '常州', '滁州', '盐城', '杭州', '芜湖', '苏州', '六安', '扬州', '嘉兴', '无锡', '南通', '淮南', '上海', '马鞍山', '绍兴', '镇江', '合肥']"
20200203,14,"['济宁', '菏泽', '枣庄']"
20200203,15,"['长春', '大庆', '松原', '四平', '绥化', '哈尔滨', '吉林']"
20200203,16,"['大同', '朔州']"
20200203,17,"['南昌', '宜春']"
20200203,18,"['潍坊', '淄博', '青岛', '烟台']"
20200203,19,"['河池', '钦州', '崇左', '百色', '柳州', '南宁', '来宾']"
20200203,20,"['莆田', '泉州', '厦门', '漳州']"
20200203,21,"['濮阳', '聊城']"
20200203,22,"['日照', '临沂']"
20200203,23,"['临汾', '运城']"
20200203,24,"['贵港', '玉林']"
20200203,25,"['宁德', '福州']"
20200204,1,"['红河哈尼族彝族自治州', '昭通', '曲靖', '昆明', '毕节', '六盘水', '凉山彝族自治州', '贵阳', '安顺', '玉溪', '黔南布依族苗族自治州', '楚雄彝族自治州']"
20200204,2,"['晋中', '太原', '吕梁', '榆林']"
20200204,3,"['廊坊', '石家庄', '沧州', '邢台', '唐山', '秦皇岛', '北京', '保定', '张家口', '邯郸', '天津']"
20200204,4,"['鞍山', '铁岭', '辽阳', '沈阳', '抚顺']"
20200204,5,"['广元', '恩施土家族苗族自治州', '德阳', '重庆', '达州', '眉山', '自贡', '泸州', '遂宁', '资阳', '乐山', '巴中', '绵阳', '遵义', '内江', '成都', '南充', '广安']"
20200204,6,"['宿州', '徐州', '淮北']"
20200204,7,"['梅州', '肇庆', '茂名', '湛江', '惠州', '清远', '深圳', '汕尾', '河源', '汕头', '佛山', '潮州', '东莞', '广州', '揭阳']"
20200204,8,"['岳阳', '常德', '湘潭', '永州', '长沙', '株洲', '益阳', '衡阳']"
20200204,9,"['德州', '济南']"
20200204,10,"['西安', '渭南', '商洛', '宝鸡', '咸阳']"
20200204,11,"['武汉', '黄冈', '孝感']"
20200204,12,"['淮南', '安庆', '镇江', '南京', '合肥', '滁州', '六安']"
20200204,13,"['上海', '常州', '盐城', '苏州', '无锡', '南通']"
20200204,14,"['开封', '许昌', '郑州']"
20200204,15,"['长春', '吉林', '四平', '松原']"
20200204,16,"['大同', '朔州']"
20200204,17,"['南昌', '宜春']"
20200204,18,"['潍坊', '青岛', '烟台']"
20200204,19,"['来宾', '柳州']"
20200204,20,"['哈尔滨', '绥化', '大庆']"
20200204,21,"['济宁', '菏泽']"
20200204,22,"['马鞍山', '芜湖']"
20200204,23,"['阜阳', '周口', '商丘', '亳州']"
20200204,24,"['泉州', '厦门', '漳州']"
20200204,25,"['杭州', '嘉兴', '绍兴']"
20200204,26,"['河池', '钦州', '崇左', '百色', '南宁']"
20200204,27,"['扬州', '泰州']"
20200204,28,"['日照', '临沂']"
20200204,29,"['宁德', '福州']"
20200204,30,"['中山', '珠海']"
20200205,1,"['红河哈尼族彝族自治州', '昭通', '曲靖', '昆明', '毕节', '六盘水', '凉山彝族自治州', '贵阳', '安顺', '玉溪', '黔南布依族苗族自治州', '楚雄彝族自治州']"
20200205,2,"['晋中', '太原', '吕梁', '榆林']"
20200205,3,"['廊坊', '石家庄', '沧州', '邢台', '唐山', '秦皇岛', '北京', '保定', '张家口', '邯郸', '天津']"
20200205,4,"['鞍山', '铁岭', '辽阳', '沈阳', '抚顺']"
20200205,5,"['内江', '成都', '德阳', '眉山', '达州', '重庆', '自贡', '泸州', '遂宁', '资阳', '乐山', '巴中', '绵阳', '广元', '遵义', '南充', '广安']"
20200205,6,"['宿州', '徐州', '淮北']"
20200205,7,"['梅州', '肇庆', '茂名', '湛江', '惠州', '清远', '深圳', '汕尾', '河源', '汕头', '佛山', '潮州', '东莞', '广州', '揭阳']"
20200205,8,"['岳阳', '常德', '娄底', '湘潭', '永州', '长沙', '株洲', '益阳', '邵阳', '衡阳']"
20200205,9,"['德州', '济南']"
20200205,10,"['宝鸡', '西安', '渭南', '咸阳']"
20200205,11,"['武汉', '黄冈', '孝感']"
20200205,12,"['淮南', '安庆', '镇江', '南京', '合肥', '滁州', '六安']"
20200205,13,"['无锡', '上海', '常州', '苏州']"
20200205,14,"['开封', '郑州']"
20200205,15,"['长春', '吉林', '四平', '松原']"
20200205,16,"['大同', '朔州']"
20200205,17,"['南昌', '宜春']"
20200205,18,"['潍坊', '青岛', '烟台']"
20200205,19,"['来宾', '柳州']"
20200205,20,"['盐城', '南通']"
20200205,21,"['济宁', '菏泽']"
20200205,22,"['马鞍山', '芜湖']"
20200205,23,"['阜阳', '周口', '商丘', '亳州']"
20200205,24,"['泉州', '厦门', '漳州']"
20200205,25,"['杭州', '绍兴']"
20200205,26,"['河池', '钦州', '崇左', '百色', '南宁']"
20200205,27,"['日照', '临沂']"
20200205,28,"['绥化', '哈尔滨']"
20200205,29,"['宁德', '福州']"
20200205,30,"['中山', '珠海']"
20200206,1,"['红河哈尼族彝族自治州', '昭通', '曲靖', '昆明', '毕节', '六盘水', '凉山彝族自治州', '贵阳', '安顺', '玉溪', '黔南布依族苗族自治州', '楚雄彝族自治州']"
20200206,2,"['晋中', '太原', '吕梁', '榆林']"
20200206,3,"['鞍山', '铁岭', '辽阳', '沈阳', '抚顺']"
20200206,4,"['内江', '成都', '德阳', '眉山', '达州', '重庆', '自贡', '泸州', '遂宁', '资阳', '乐山', '巴中', '绵阳', '广元', '遵义', '南充', '广安']"
20200206,5,"['宿州', '徐州', '淮北']"
20200206,6,"['梅州', '肇庆', '茂名', '深圳', '惠州', '湛江', '清远', '汕尾', '河源', '汕头', '韶关', '佛山', '潮州', '东莞', '广州', '揭阳']"
20200206,7,"['岳阳', '常德', '娄底', '湘潭', '永州', '长沙', '株洲', '益阳', '邵阳', '衡阳']"
20200206,8,"['德州', '济南']"
20200206,9,"['西安', '渭南', '咸阳']"
20200206,10,"['武汉', '黄冈', '孝感']"
20200206,11,"['石家庄', '廊坊', '沧州', '邢台', '唐山', '秦皇岛', '北京', '保定', '邯郸', '天津']"
20200206,12,"['淮南', '安庆', '镇江', '南京', '合肥', '滁州', '六安']"
20200206,13,"['无锡', '上海', '常州', '苏州']"
20200206,14,"['长春', '吉林', '四平', '松原']"
20200206,15,"['大同', '朔州']"
20200206,16,"['南昌', '宜春']"
20200206,17,"['潍坊', '青岛', '烟台']"
20200206,18,"['来宾', '柳州']"
20200206,19,"['盐城', '南通']"
20200206,20,"['阜阳', '周口', '商丘', '亳州']"
20200206,21,"['泉州', '厦门', '漳州']"
20200206,22,"['杭州', '绍兴']"
20200206,23,"['河池', '钦州', '百色', '南宁']"
20200206,24,"['绥化', '哈尔滨']"
20200206,25,"['宁德', '福州']"
20200206,26,"['中山', '珠海']"
20200207,1,"['红河哈尼族彝族自治州', '昭通', '曲靖', '昆明', '毕节', '六盘水', '凉山彝族自治州', '贵阳', '安顺', '玉溪', '黔南布依族苗族自治州', '楚雄彝族自治州']"
20200207,2,"['鄂尔多斯', '榆林', '晋中', '太原', '吕梁']"
20200207,3,"['鞍山', '铁岭', '辽阳', '沈阳', '抚顺']"
20200207,4,"['内江', '成都', '德阳', '眉山', '达州', '重庆', '遂宁', '泸州', '乐山', '资阳', '巴中', '绵阳', '自贡', '广元', '遵义', '南充', '广安']"
20200207,5,"['宿州', '徐州', '淮北']"
20200207,6,"['茂名', '深圳', '惠州', '湛江', '清远', '汕尾', '河源', '中山', '珠海', '汕头', '佛山', '潮州', '东莞', '广州', '揭阳']"
20200207,7,"['岳阳', '常德', '娄底', '湘潭', '永州', '长沙', '株洲', '益阳', '邵阳', '衡阳']"
20200207,8,"['德州', '济南']"
20200207,9,"['西安', '渭南', '咸阳']"
20200207,10,"['武汉', '黄冈', '孝感']"
20200207,11,"['石家庄', '廊坊', '沧州', '邢台', '唐山', '秦皇岛', '北京', '保定', '邯郸', '天津']"
20200207,12,"['南京', '滁州', '镇江']"
20200207,13,"['无锡', '上海', '常州', '苏州']"
20200207,14,"['开封', '郑州']"
20200207,15,"['济宁', '枣庄']"
20200207,16,"['长春', '吉林', '四平', '松原']"
20200207,17,"['大同', '朔州']"
20200207,18,"['南昌', '宜春']"
20200207,19,"['潍坊', '青岛', '烟台']"
20200207,20,"['来宾', '柳州']"
20200207,21,"['周口', '商丘']"
20200207,22,"['泉州', '厦门', '漳州']"
20200207,23,"['日照', '临沂']"
20200207,24,"['绥化', '哈尔滨']"
20200207,25,"['淮南', '六安', '合肥']"
20200207,26,"['阜阳', '亳州']"
20200208,1,"['红河哈尼族彝族自治州', '昭通', '曲靖', '昆明', '毕节', '六盘水', '凉山彝族自治州', '贵阳', '安顺', '玉溪', '黔南布依族苗族自治州', '楚雄彝族自治州']"
20200208,2,"['鄂尔多斯', '榆林', '晋中', '太原', '吕梁']"
20200208,3,"['鞍山', '铁岭', '辽阳', '沈阳', '抚顺']"
20200208,4,"['成都', '德阳', '眉山', '达州', '重庆', '遂宁', '泸州', '乐山', '资阳', '巴中', '绵阳', '自贡', '内江', '遵义', '南充', '广安']"
20200208,5,"['宿州', '徐州', '淮北']"
20200208,6,"['茂名', '湛江', '惠州', '清远', '深圳', '汕尾', '河源', '中山', '珠海', '韶关', '汕头', '佛山', '潮州', '东莞', '广州', '揭阳']"
20200208,7,"['岳阳', '常德', '娄底', '湘潭', '永州', '长沙', '株洲', '益阳', '邵阳', '衡阳']"
20200208,8,"['德州', '济南']"
20200208,9,"['西安', '渭南', '咸阳']"
20200208,10,"['武汉', '黄冈', '孝感']"
20200208,11,"['石家庄', '廊坊', '邢台', '北京', '保定', '邯郸']"
20200208,12,"['淮南', '镇江', '南京', '合肥', '滁州', '六安']"
20200208,13,"['淄博', '滨州']"
20200208,14,"['无锡', '上海', '常州', '苏州']"
20200208,15,"['开封', '郑州']"
20200208,16,"['长春', '吉林', '四平', '松原']"
20200208,17,"['大同', '朔州']"
20200208,18,"['南昌', '宜春']"
20200208,19,"['潍坊', '青岛', '烟台']"
20200208,20,"['盐城', '南通']"
20200208,21,"['秦皇岛', '唐山']"
20200208,22,"['阜阳', '周口', '商丘', '亳州']"
20200208,23,"['泉州', '厦门', '漳州']"
20200208,24,"['日照', '临沂']"
20200208,25,"['绥化', '哈尔滨']"
20200209,1,"['红河哈尼族彝族自治州', '曲靖', '昆明', '玉溪', '楚雄彝族自治州']"
20200209,2,"['鄂尔多斯', '榆林', '晋中', '太原', '吕梁']"
20200209,3,"['鞍山', '铁岭', '辽阳', '沈阳', '抚顺']"
20200209,4,"['恩施土家族苗族自治州', '德阳', '重庆', '达州', '眉山', '遂宁', '泸州', '乐山', '资阳', '巴中', '绵阳', '遵义', '成都', '南充', '广安']"
20200209,5,"['宿州', '徐州', '淮北']"
20200209,6,"['茂名', '深圳', '惠州', '湛江', '清远', '珠海', '中山', '佛山', '东莞', '广州']"
20200209,7,"['昭通', '毕节', '六盘水', '凉山彝族自治州', '贵阳', '安顺', '黔南布依族苗族自治州']"
20200209,8,"['岳阳', '常德', '娄底', '湘潭', '永州', '长沙', '株洲', '益阳', '郴州', '邵阳', '衡阳']"
20200209,9,"['包头', '呼和浩特']"
20200209,10,"['德州', '济南']"
20200209,11,"['西安', '渭南', '咸阳']"
20200209,12,"['武汉', '黄冈', '孝感']"
20200209,13,"['石家庄', '廊坊', '沧州', '邢台', '唐山', '北京', '保定', '邯郸', '天津']"
20200209,14,"['南京', '镇江']"
20200209,15,"['潮州', '汕头', '揭阳']"
20200209,16,"['青岛', '潍坊', '烟台', '威海', '滨州', '淄博']"
20200209,17,"['上海', '苏州']"
20200209,18,"['开封', '郑州']"
20200209,19,"['济宁', '菏泽', '枣庄']"
20200209,20,"['长春', '吉林', '四平', '松原']"
20200209,21,"['大同', '朔州']"
20200209,22,"['南昌', '宜春']"
20200209,23,"['盐城', '南通']"
20200209,24,"['阜阳', '周口', '商丘', '亳州']"
20200209,25,"['泉州', '厦门', '漳州']"
20200209,26,"['内江', '自贡']"
20200209,27,"['濮阳', '聊城']"
20200209,28,"['日照', '临沂']"
20200209,29,"['绥化', '哈尔滨']"
20200209,30,"['无锡', '常州']"
20200209,31,"['淮南', '六安', '合肥']"
20200210,1,"['红河哈尼族彝族自治州', '昭通', '曲靖', '昆明', '毕节', '六盘水', '凉山彝族自治州', '贵阳', '安顺', '玉溪', '黔南布依族苗族自治州', '楚雄彝族自治州']"
20200210,2,"['鄂尔多斯', '榆林', '忻州', '晋中', '太原', '吕梁']"
20200210,3,"['鞍山', '铁岭', '辽阳', '沈阳', '抚顺']"
20200210,4,"['成都', '德阳', '眉山', '重庆', '遂宁', '泸州', '乐山', '资阳', '绵阳', '遵义', '南充', '广安']"
20200210,5,"['开封', '许昌', '新乡', '郑州']"
20200210,6,"['宿州', '徐州', '淮北']"
20200210,7,"['茂名', '深圳', '惠州', '湛江', '清远', '江门', '珠海', '中山', '佛山', '东莞', '广州']"
20200210,8,"['岳阳', '常德', '娄底', '湘潭', '永州', '长沙', '株洲', '益阳', '郴州', '邵阳', '衡阳']"
20200210,9,"['包头', '呼和浩特']"
20200210,10,"['德州', '济南']"
