,段起点,段止点,w
147,东太路,杨南路,0.5
148,殷高西路,恒高路,0.1962809917355372
149,恒高路,一二八纪念东路,0.25394128197866517
150,铁路南何支线,殷高路,0.22373048682667984
151,联泰路,富长路,0.2639758756668986
152,蕰川路西辅道,联泰路,0.2052322212103651
153,共江路,一二八纪念路,0.09473536036036036
154,长江西路,共江路,0.15873411412908048
155,呼玛路,长江西路,0.19796988895701342
156,一二八纪念路,共康路(与静安交界处),0.12307527227855572
157,呼兰路,呼玛路,0.21931763057187517
158,蕰藻浜,呼兰路,0.12009547963598388
159,虎林路,爱辉路,0.36253776435045315
160,通河路,共和新路,0.37167199148029817
161,爱辉路,通河路,0.3669527896995708
162,阳泉路,阳曲路,0.375
163,阳曲路,岭南路,0.3750763591936469
164,岭南路,部队弹药库围墙,0.3747178329571106
165,长临路,东茭泾桥,0.26385999265695753
166,东茭泾桥,刘场路,0.29802955665024633
167,大康路,八六二终点站,0.30939226519337015
168,刘场路,大康路,0.30939226519337015
169,共和新路,三泉路,0.5220030349013657
170,三泉路,长临路,0.6086956521739131
171,共和新路,三泉路,0.3883495145631068
172,蕴川路,塔源路,0.47144078492040875
173,杨盛河桥,蕰川路(与宝山公路交界,0.23121387283236994
174,电台路,潘泾路,0.0
175,蕰川路,盛桥老街,0.0
176,盛桥老街,鹤林路,0.0
177,顾太路,幼儿园路,0.42857142857142855
178,电台南路,厂门口,0.4166666666666667
179,军工路,杨浦交界,0.21287236355729505
180,西沙河桥,殷高路,0.4281217208814271
181,殷高路,三门路(与杨浦交界处),0.444656208767043
182,何家湾路,西沙河桥,0.46153846153846156
183,牡丹江路,海滨四村东门,0.0
184,海江四路,海江路,0.2194311045437754
185,海江五路,海江四路,0.21720243266724587
186,宝杨路,海江五路,0.2222222222222222
187,海江路,永乐路,0.21572074334505273
188,双庆路,同济路,0.2676674691969976
189,牡丹江路,双庆路,0.22042522260585135
190,宝东路,淞宝路,0.29308797127468583
191,永清路,牡丹江路,0.3254310344827586
192,塘后路,宝东路,0.21012734990903578
193,淞宝路,永清路,0.3115396203675806
194,海江二路,牡丹江路,0.25157232704402516
195,牡丹江路,海江二路,0.2664298401420959
196,牡丹江路,海江一路,0.3000753012048193
197,海江二路,牡丹江路,0.321285140562249
198,海江一路,牡丹江路,0.2108876900441393
199,牡丹江路,海江二路,0.2222222222222222
200,海江五路,海江四路,0.2222222222222222
201,海江三路,栀子花路,0.3083832335329341
202,海江路,海江三路,0.2972972972972973
203,宝杨路,海江五路,0.26175115207373273
204,海江四路,海江路,0.2169853268119164
205,栀子花路,永乐路,0.4225526641883519
206,牡丹江路,海滨五至八村大门,0.20663114268798105
207,蒋巷街,来龙路,0.0
208,来龙路,亭前街,0.0
209,国权北路,逸仙路,0.32558139534883723
210,东升路,同泰路,0.26666666666666666
211,金桂路,弄内,0.0
212,共和新路,三泉路,0.36458333333333337
213,殷高西路,云西路,0.3333333333333333
214,蕰藻浜,安达路,0.43727522741696634
215,安达路,仓储公司,0.2647953216374269
216,顾泾河桥,古莲路,0.6875
217,石太,顾泾河桥,0.46218487394957986
218,江杨南路,高境路,0.28557520687976634
219,塘西街,邓家弄,0.0
220,通河路,共和新路,0.35845964768537486
221,爱辉路,通河路,0.38241601143674053
222,虎林路,爱辉路,0.3454619371887387
223,西泗塘河桥,虎林路,0.3109461966604824
224,江杨南路,西泗塘河桥,0.29770491803278687
225,东茭泾,长临路,0.37176363082546454
226,长临路,共和新路,0.3749649250799708
227,虎林路,爱辉路,0.38653496230829215
228,通河路,共和新路,0.3905984976980858
229,爱辉,通河路,0.38795180722891565
230,呼玛路,呼兰路,0.0874360507607468
231,武警大门,通河路,0.2253549695740365
232,装卸储运总公司,呼兰路,0.4381823546768958
233,蕰藻浜,安达路,0.0
234,长江西路,共江路,0.43765541740674957
235,呼玛路,长江西路,0.42592839078929856
236,呼兰路,呼玛路,0.3685393258426966
237,共江路,一二八纪念路,0.38985768691120465
238,虎林路九五十号,呼兰路,0.32075471698113206
239,纬地路,锦秋路,0.12633352049410443
240,锦秋路,上大路,0.12781065088757396
241,顾陈路,联牧路,0.1294664951004652
242,联牧路,塘祁路,0.14559139784946237
243,塘祁路,南蕰藻路,0.12381839968046865
