,段起点,段止点,w
646,杨鑫路,水产路,0.22857142857142856
647,杨桃路,杨鑫路,0.22857142857142856
648,水产路,莲花山路,0.1885354438952401
649,莲花山路,泰和路,0.12538863231609768
650,宝杨路,杨桃路,0.15279460352422908
651,庵木港桥,镇泰路,0.2623977727510005
652,镇泰路,镇新路,0.2771828146654907
653,镇新路,宝杨路,0.24527366706790343
654,影院路,杨盛路,0.4
655,宝杨路,杨泰路,0.0
656,松兰路,杨泰路,0.3181025830648143
657,江杨北路,松兰路,0.3382432164223539
658,杨泰路,竹韵路,0.1990851191834533
659,竹韵路,梅林路,0.35478461489163987
660,梅林路,蕰川路（与路政局交界处）,0.3014197306152166
661,镇东路,杨盛河,0.0
662,高境路,江杨南路,0.21217518860016765
663,规划二路（与淞南交界处）,新二路,0.17142857142857143
664,江杨南路,一二八纪念路桥,0.41114754098360656
665,通河路,共和新路,0.2296219728292971
666,一二八纪念路桥,虎林路/阳曲路,0.39201473830449096
667,爱辉路/岭南路,通河路,0.27938266719430155
668,虎林路/阳曲路,爱辉路/岭南路,0.40145985401459855
669,新沪路,华灵路,0.4655326768128917
670,华灵路,夏场浦,0.5480225988700564
671,长江南路,殷高西路,0.1632498819083609
672,长江路,军工路,0.1466030989272944
673,军工路,长逸路,0.12293399035006673
674,殷高西路,安汾路(与虹口交界处),0.12065886088509625
675,长逸路,长江南路,0.12143722670038459
676,安达路,长江路,0.10588708678964963
677,国权北路,小吉浦河桥,0.21142874957134397
678,铁路,逸仙路,0.1982857647786516
679,小吉浦河桥,铁路,0.2084717607973422
680,逸仙路,斜塘河,0.21119096926137979
681,斜塘河,江杨南路,0.2812117918761038
682,杨北路,宝杨路,0.0
683,塘后路,宝东路,0.2677849636216653
684,淞宝路,永清路,0.27240196809303713
685,牡丹江路,双庆路,0.41302027748132336
686,永清路,牡丹江路,0.24562191288729232
687,宝东路,淞宝路,0.3136580992229528
688,水产路,淞宝路,0.25462561433940445
689,海江路,永乐路,0.3432574430823117
690,永乐路,双城路,0.37185929648241206
691,宝杨路,海江路,0.29098966026587886
692,双城路,水产路,0.2971887550200803
693,顾泾河,罗溪路,0.6088235294117647
694,北泗塘河,克山路,0.2043545428212803
695,团结路,牡丹江路,0.2907456886082099
696,牡丹江路,密山路,0.3447534917034738
697,密山路,同济路,0.36
698,同济路,北泗塘河,0.20448298739455975
699,友谊支路,团结路,0.36
700,东林路,友谊支路,0.35599673646994834
701,跨线桥,铁山路,0.1920309530274233
702,（辅道）法院东门,公安局东围墙,0.25797691785471827
703,铁力路,跨线桥,0.2661418514873969
704,克山路,铁力路,0.22403396208210719
705,铁山路,江杨北路,0.200231976069837
706,江杨北路,西长浜桥,0.20812182741116753
707,西长浜桥,富杨路,0.20077808308621486
708,富杨路,规划杨泰路,0.19162193251533743
709,规划杨泰路,杨泰北路,0.1918842403271469
710,杨泰北路,杨盛河桥,0.15046406070049453
711,杨盛河桥,蕰川路（与路政局交界处）,0.15237534931607588
712,蕰川路,辅道（同济路）,0.16648917287894924
713,宝林路,宝杨路,0.223692704970949
714,漠河路,盘古路,0.38596491228070173
715,盘古路,友谊路,0.26673180263800683
716,密山路,宝林路,0.4168905950095969
717,友谊路,密山路,0.24914049965619986
718,宝山港务公司四号门,漠河路,0.3357664233576642
719,友谊路,铁通路,0.18569266840713705
720,顾贸路,顾新路,0.0
721,长江西路,通南路,0.2700666473485946
722,镇新路,镇泰路,0.27523296341879633
723,镇泰路,庵木港桥,0.305744971019434
724,庵木港桥,友谊路,0.2871052217732286
725,友谊路,老杨泰路,0.2520406027626622
726,老杨泰路,盘古路,0.2874115983026874
727,盘古路,和平路,0.31739262869326834
728,和平路,友谊路,0.3538160469667319
729,河曲路,斜塘河,0.0
730,联谊路（西),共富路,0.2857142857142857
731,泰和路,联谊路（东）,0.19170984455958548
732,联谊路（东）,联谊路（西）,0.25
733,东千步泾,江杨南路,0.33073929961089493
734,上海硫酸厂,东千步泾,0.48739495798319327
735,市二路,东南路,0.0
736,塘西街,塘东街,0.0
737,塘东街,市二路,0.0
738,月罗路,来龙路,0.0
739,漠河路,盘古路,0.5137635379061372
740,罗溪路,北街,0.0
741,汶水路（与宝山公路交界处）,行知路,0.268389662027833
742,华灵路,大华三路,0.25
743,大华三路,大华二路(与普陀交界处),0.2501253970907875
744,行知路,华灵路,0.2500831393415364
745,汶水路,行知路,0.2949571836346337
746,行知路,华灵路,0.25
747,华灵路,武威东路,0.25
748,武威东路,横港河(与普陀交界处,0.25
749,宝杨路,杨行环卫所,0.0
750,江杨北路（与宝山公路交界处）,松兰路,0.22779369627507162
751,松兰路,富杨路,0.28815733219324496
752,富杨路,杨泰路,0.27571801566579635
753,杨泰路,月城路,0.32107113876115767
754,月城路,杨盛河,0.5351089588377724
755,镇东路,关庙,0.5384615384615384
756,牡丹江路,海江二路,0.4048582995951417
757,海江一路,牡丹江路,0.4188034188034188
758,盛桥老街,桥边西路,0.0
759,东南弄街,蒋巷街,0.0
760,蒋巷街,亭前街,0.0
761,步长街,东南弄街,0.0
762,亭前街,罗溪路,0.0
763,友谊路（东）,松兰路,0.2553784243925089
764,杨鑫路,水产路,0.3500775079353362
765,水产路,北黄泥塘桥,0.4264507422402159
766,北黄泥塘桥,钱鑫路,0.41453831041257366
767,钱鑫路,莲花山路,0.27940354948218815
768,密山东路,宝林路,0.4086916319926029
