city_name,city_name_another
曲靖,昆明
曲靖,毕节
曲靖,六盘水
曲靖,超级节点
昆明,玉溪
昆明,楚雄彝族自治州
昆明,红河哈尼族彝族自治州
昆明,昭通
昆明,超级节点
玉溪,超级节点
楚雄彝族自治州,超级节点
红河哈尼族彝族自治州,文山壮族苗族自治州
红河哈尼族彝族自治州,超级节点
昭通,凉山彝族自治州
昭通,毕节
昭通,超级节点
鄂尔多斯,榆林
鄂尔多斯,超级节点
榆林,吕梁
榆林,延安
榆林,忻州
榆林,超级节点
吕梁,晋中
吕梁,超级节点
延安,超级节点
忻州,超级节点
遵义,铜仁
遵义,贵阳
遵义,毕节
遵义,泸州
遵义,重庆
遵义,黔南布依族苗族自治州
遵义,超级节点
铜仁,重庆
铜仁,黔东南苗族侗族自治州
重庆,泸州
重庆,广安
重庆,成都
重庆,超级节点
黔东南苗族侗族自治州,黔南布依族苗族自治州
黔东南苗族侗族自治州,超级节点
辽阳,鞍山
辽阳,超级节点
鞍山,营口
鞍山,超级节点
贵阳,毕节
贵阳,黔南布依族苗族自治州
贵阳,安顺
贵阳,超级节点
毕节,六盘水
毕节,安顺
泸州,超级节点
黔南布依族苗族自治州,安顺
黔南布依族苗族自治州,超级节点
郑州,新乡
郑州,开封
郑州,许昌
郑州,超级节点
新乡,超级节点
宿州,徐州
宿州,淮北
宿州,超级节点
徐州,超级节点
淮北,超级节点
清远,广州
清远,佛山
清远,超级节点
广州,东莞
广州,惠州
广州,中山
广州,佛山
广州,深圳
广州,江门
广州,超级节点
佛山,中山
佛山,肇庆
佛山,江门
佛山,超级节点
文山壮族苗族自治州,超级节点
凉山彝族自治州,超级节点
益阳,岳阳
益阳,常德
益阳,超级节点
岳阳,超级节点
常德,超级节点
德州,济南
德州,超级节点
济南,泰安
济南,超级节点
渭南,西安
渭南,超级节点
西安,咸阳
西安,超级节点
湖州,杭州
湖州,嘉兴
湖州,超级节点
杭州,金华
杭州,绍兴
杭州,嘉兴
杭州,宁波
杭州,超级节点
嘉兴,上海
嘉兴,超级节点
葫芦岛,锦州
葫芦岛,超级节点
锦州,盘锦
锦州,超级节点
邵阳,娄底
邵阳,超级节点
娄底,湘潭
娄底,超级节点
黄冈,武汉
黄冈,超级节点
武汉,孝感
武汉,超级节点
金华,超级节点
潮州,汕头
潮州,超级节点
汕头,揭阳
汕头,超级节点
淄博,滨州
淄博,潍坊
淄博,超级节点
滨州,超级节点
盘锦,超级节点
上海,苏州
上海,南通
上海,超级节点
苏州,无锡
苏州,南通
苏州,超级节点
南通,盐城
南通,超级节点
泰安,超级节点
永州,衡阳
永州,超级节点
衡阳,超级节点
开封,超级节点
沧州,天津
沧州,超级节点
天津,唐山
天津,廊坊
天津,北京
天津,超级节点
六盘水,黔西南布依族苗族自治州
六盘水,安顺
六盘水,超级节点
保定,北京
保定,超级节点
北京,廊坊
